,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,nlp_lyrics,nlp_annotations,valence+nlp,mood
0,Honesty,['Pink Sweat$'],0.919,0.616,191000,0.204,0.0,6,0.106,-11.421,0,0.0331,79.826,4,0.419,0.949,0.949,0.438,Sad
1,Get You (feat. Kali Uchis),"['Daniel Caesar', 'Kali Uchis']",0.426,0.659,277297,0.295,6.95e-05,11,0.0795,-8.528,0,0.0322,74.037,4,0.36,0.6124,0.6124,0.3722,Sad
2,Easy,['Mac Ayres'],0.373,0.722,314358,0.282,0.00557,5,0.147,-7.484,1,0.106,91.367,4,0.217,0.9933,0.9933,0.2369,Sad
3,Feel No Ways,['Drake'],0.0312,0.582,240653,0.677,6.6e-06,7,0.122,-7.081,1,0.172,193.818,4,0.205,0.931,0.931,0.2236,Sad
4,Want U Around (feat. Ruel),"['Omar Apollo', 'Ruel']",0.3,0.571,247720,0.443,6.95e-06,0,0.101,-6.76,1,0.0451,143.923,3,0.621,0.9123,0.9123,0.6392,Sad
5,Pretty Little Fears (feat. J. Cole),"['6LACK', 'J. Cole']",0.696,0.61,240342,0.458,0.000103,9,0.0852,-11.336,1,0.36,192.099,4,0.246,0.9934,0.9934,0.2659,Sad
6,Poison,['Brent Faiyaz'],0.711,0.689,212992,0.394,0.000905,2,0.0859,-10.102,0,0.065,117.489,3,0.382,-0.9828,-0.9828,0.3623,Sad
7,Easily,['Bruno Major'],0.491,0.772,210240,0.256,0.00612,7,0.144,-8.545,0,0.0481,118.902,3,0.357,-0.8408,-0.8408,0.3402,Sad
8,"Yo Love - From ""Queen & Slim: The Soundtrack""","['Vince Staples', '6LACK', 'Mereba']",0.565,0.703,143830,0.573,3.13e-06,0,0.0987,-9.032,1,0.0724,147.038,4,0.491,0.9899,0.9899,0.5108,Sad
9,Favorite Mistake,['Giveon'],0.777,0.535,172907,0.409,0.0,7,0.129,-9.517,0,0.0855,170.123,4,0.138,-0.8931,-0.8931,0.1201,Sad
10,Lullaby,"['UMI', 'Yeek']",0.549,0.849,200880,0.19,0.00229,7,0.102,-9.628,1,0.0447,113.955,3,0.203,0.8732,0.8732,0.2205,Sad
11,Wylin',['Always Never'],0.111,0.497,269268,0.489,0.00167,4,0.0912,-7.849,0,0.0413,163.814,4,0.0348,0.9812,0.9812,0.0544,Sad
12,Teenage Fever,['Drake'],0.111,0.766,219692,0.283,0.0172,8,0.115,-10.33,0,0.0846,97.04,4,0.144,0.9829,0.9829,0.1637,Sad
13,Sober,['Childish Gambino'],0.0972,0.699,252013,0.601,1.17e-05,0,0.562,-6.48,1,0.0304,98.04,4,0.434,0.9313,0.9313,0.4526,Sad
14,Provider,['Frank Ocean'],0.74,0.654,243238,0.325,2.14e-05,2,0.152,-11.925,1,0.282,139.886,4,0.39,0.9944,0.9944,0.4099,Sad
15,Playing Games (with Bryson Tiller) - Extended Version,"['Summer Walker', 'Bryson Tiller']",0.603,0.726,143227,0.408,0.0,11,0.225,-6.606,0,0.0614,115.918,4,0.459,,,0.459,Sad
16,Around Me,['Brent Faiyaz'],0.572,0.654,183022,0.177,6.64e-05,1,0.0969,-12.522,1,0.0618,74.945,4,0.132,-0.9924,-0.9924,0.1122,Sad
17,Blue Lights,['Jorja Smith'],0.666,0.692,250454,0.57,0.0,7,0.107,-8.077,1,0.185,91.917,4,0.309,0.9824,0.9824,0.3286,Sad
18,Could've Been (feat. Bryson Tiller),"['H.E.R.', 'Bryson Tiller']",0.64,0.545,248467,0.33,7e-06,1,0.22,-11.719,0,0.164,103.553,4,0.399,-0.6486,-0.6486,0.386,Sad
19,Die For You,['The Weeknd'],0.111,0.582,260253,0.525,0.0,1,0.134,-7.163,0,0.0627,133.249,4,0.51,-0.9961,-0.9961,0.4901,Sad
20,Jungle,['Drake'],0.62,0.697,320400,0.235,0.000144,7,0.107,-8.651,1,0.0534,99.947,4,0.378,0.9855,0.9855,0.3977,Sad
21,Waiting For (feat. Jamila Woods),"['rum.gold', 'Jamila Woods']",0.201,0.738,200215,0.379,1.1e-05,2,0.0806,-11.644,0,0.084,122.042,4,0.598,0.7179,0.7179,0.6124,Sad
22,You Can't Save Me,['SiR'],0.0628,0.622,174947,0.584,0.000152,0,0.119,-7.891,1,0.122,158.276,4,0.545,0.9215,0.9215,0.5634,Sad
23,Girls Need Love (with Drake) - Remix,"['Summer Walker', 'Drake']",0.443,0.656,222374,0.432,0.0,6,0.132,-9.481,0,0.217,97.022,4,0.0897,0.8832,0.8832,0.1074,Sad
24,Best Part (feat. H.E.R.),"['Daniel Caesar', 'H.E.R.']",0.808,0.524,209831,0.364,0.0,7,0.1,-10.209,1,0.0367,75.24,4,0.436,0.992,0.992,0.4558,Sad
