,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,nlp_lyrics,nlp_annotations,valence+nlp,mood
0,Audi.,['Smokepurpp'],0.0214,0.793,159522,0.366,0.0,7,0.0964,-10.051,1,0.136,122.991,4,0.278,-0.9985,-0.9985,0.258,Angry
1,Gospel,"['Rich Brian', 'Keith Ape', 'XXXTENTACION']",0.000856,0.681,173294,0.659,8.17e-06,9,0.11,-6.405,1,0.268,156.004,4,0.225,-0.9923,-0.9923,0.2052,Angry
2,Take A Step Back,"['Ski Mask The Slump God', 'XXXTENTACION']",0.104,0.808,210387,0.581,0.0,6,0.379,-8.793,1,0.269,116.988,4,0.722,-0.9993,-0.9993,0.702,Angry
3,DNA.,['Kendrick Lamar'],0.00454,0.638,185947,0.523,0.0,1,0.0842,-6.664,1,0.357,139.913,4,0.422,-0.9754,-0.9754,0.4025,Angry
4,You're Now Tuning Into 66.6 FM With DJ Rapture (The Hottest Hour Of The Evening),['$uicideboy$'],0.125,0.678,133903,0.77,0.0,6,0.184,-3.206,0,0.145,75.009,4,0.284,-0.9976,-0.9976,0.264,Angry
5,Perses (feat. Dash),"['Fat Nick', 'Dash']",0.00319,0.753,220150,0.839,0.00707,4,0.0738,-6.289,1,0.201,132.957,4,0.309,-0.9989,-0.9989,0.289,Angry
6,Killa,['Young Pappy'],0.199,0.676,203012,0.787,0.0,0,0.175,-6.175,0,0.246,119.986,4,0.601,-0.9999,-0.9999,0.581,Angry
7,No Heart No Love (feat. Project Pat),"['Juicy J', 'Project Pat']",0.0643,0.928,243293,0.724,0.0,1,0.261,-3.46,1,0.195,136.032,4,0.648,-0.9964,-0.9964,0.6281,Angry
8,"F**k Out My Face (feat. B-Real, Onyx & Aston Matthews)","['A$AP Ferg', 'B-Real', 'Onyx', 'A$Ton Matthews']",0.103,0.783,236493,0.717,0.0,9,0.27,-6.718,1,0.462,130.072,4,0.595,,,0.595,Angry
9,Dump Dump,['A$AP Ferg'],0.207,0.65,214827,0.638,0.0,8,0.266,-5.94,1,0.127,134.044,4,0.418,-0.9997,-0.9997,0.398,Angry
10,Shabba (feat. A$AP Rocky),"['A$AP Ferg', 'A$AP Rocky']",0.0715,0.869,275867,0.712,0.0,9,0.272,-6.136,1,0.103,120.0,4,0.435,-0.7506,-0.7506,0.42,Angry
11,I'm so Groovy,['Future'],0.0418,0.938,261752,0.478,0.00884,1,0.0801,-9.739,1,0.265,138.059,4,0.386,-0.9974,-0.9974,0.3661,Angry
12,F 'em,['Chief Keef'],0.00304,0.764,196258,0.544,0.0,6,0.0673,-9.639,0,0.278,128.993,4,0.544,-0.9992,-0.9992,0.524,Angry
13,Laughin' To The Bank,['Chief Keef'],0.0537,0.728,227120,0.836,0.0,11,0.442,-6.577,0,0.266,129.932,4,0.529,0.9978,0.9978,0.549,Angry
14,Fuck Her Brains Out,['Montana of 300'],0.104,0.741,302376,0.861,0.0,6,0.281,-3.543,1,0.0309,115.005,4,0.889,-0.9985,-0.9985,0.869,Angry
15,6th Sense,['Kodak Black'],0.0056,0.761,194297,0.617,0.0,1,0.17,-5.022,1,0.0564,80.52,4,0.295,0.9945,0.9945,0.3149,Angry
16,Mase in '97,"['Carnage', 'Lil Yachty']",0.308,0.684,100009,0.785,2.69e-05,11,0.15,-3.903,1,0.274,143.84,4,0.486,0.8044,0.8044,0.5021,Angry
17,Bricks (feat. Migos),"['Carnage', 'Migos']",0.198,0.8,263430,0.706,0.0,8,0.118,-6.134,1,0.327,145.938,4,0.394,0.999,0.999,0.414,Angry
18,I Like Tuh,"['Carnage', 'ILOVEMAKONNEN']",0.337,0.598,187561,0.564,0.0,1,0.379,-3.89,0,0.0684,174.909,4,0.546,0.9956,0.9956,0.5659,Angry
19,DipSet,"['Lil Yachty', 'Offset']",0.459,0.772,172907,0.55,0.0,1,0.229,-6.914,1,0.166,114.941,4,0.148,-0.9979,-0.9979,0.128,Angry
20,BabyWipe,['Ski Mask The Slump God'],0.0261,0.886,168640,0.516,0.0,1,0.375,-8.377,1,0.263,148.055,4,0.583,0.9925,0.9925,0.6028,Angry
21,Who Is That,['Chief Keef'],0.287,0.684,260441,0.771,0.0,9,0.109,-6.782,0,0.293,130.249,4,0.609,-0.9978,-0.9978,0.589,Angry
22,Mr. Clean,['Yung Gravy'],0.786,0.717,210861,0.76,0.000188,9,0.107,-4.892,1,0.164,106.32,4,0.669,0.9911,0.9911,0.6888,Angry
23,The Human Centipede,['Ski Mask The Slump God'],0.182,0.902,140356,0.675,0.0,2,0.12,-6.717,1,0.164,130.118,4,0.62,-0.9996,-0.9996,0.6,Angry
24,Dresser,['Yung Bans'],0.034,0.833,155533,0.513,1.56e-06,1,0.111,-7.454,1,0.225,75.023,4,0.262,-0.9901,-0.9901,0.2422,Angry
25,20 Joints,['Berner'],0.251,0.836,190287,0.731,0.0,6,0.0679,-7.396,0,0.146,100.861,4,0.766,-0.2421,-0.2421,0.7612,Angry
26,Look At Me!,['XXXTENTACION'],0.259,0.763,126346,0.726,0.0,1,0.0976,-6.405,1,0.282,139.059,4,0.349,-0.9971,-0.9971,0.3291,Angry
27,Broke Boi,['Playboi Carti'],0.000893,0.833,189322,0.423,2.43e-05,1,0.135,-10.296,1,0.383,142.078,4,0.255,-0.9995,-0.9995,0.235,Angry
