,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,nlp_lyrics,nlp_annotations,valence+nlp,mood
0,Hopeful,['The Tides'],0.96,0.161,264000,0.142,0.923,6,0.0821,-23.983,0,0.0323,108.896,4,0.0897,0.8363,0.8363,0.1064,Calm
1,Stella,['The Lost Astronaut'],0.959,0.467,180500,0.054,0.928,0,0.11,-23.784,1,0.0324,111.989,4,0.0721,0.9557,0.9557,0.0912,Calm
2,Solar Winds,['Ninna Hall'],0.927,0.274,182069,0.101,0.937,5,0.0979,-22.767,1,0.0377,75.366,3,0.0868,1.0,1.0,0.1068,Calm
3,Serenitivity,['Adumbration'],0.983,0.198,213788,0.0657,0.963,7,0.0684,-20.771,1,0.0375,64.911,4,0.0372,,,0.0372,Calm
4,Suhpratti,['Parazal'],0.974,0.564,186543,0.0515,0.765,11,0.114,-15.118,0,0.0338,93.961,4,0.214,,,0.214,Calm
5,Pan Serenade,['X-Genie'],0.95,0.147,214699,0.148,0.871,11,0.0984,-30.063,1,0.044,73.17,4,0.039,,,0.039,Calm
6,NYC/Night Time,['Erik Reno'],0.984,0.42,227278,0.00801,0.966,0,0.135,-33.966,0,0.0376,93.685,4,0.037,0.9984,0.9984,0.057,Calm
7,Looking at the Stars,['chillchild'],0.092,0.199,193339,0.19,0.82,0,0.112,-20.543,1,0.0471,118.79,4,0.0497,,,0.0497,Calm
8,Response,['Corre'],0.932,0.587,189231,0.19,0.902,5,0.0864,-25.7,1,0.0342,140.015,4,0.277,0.1931,0.1931,0.2809,Calm
9,Birthmark,['Minotauro'],0.976,0.26,189525,0.216,0.956,11,0.0991,-21.924,1,0.0456,140.102,3,0.0482,,,0.0482,Calm
10,Bright Morning,['Eline Moss'],0.986,0.265,204923,0.233,0.898,7,0.0735,-16.922,1,0.0478,68.686,4,0.127,0.9996,0.9996,0.147,Calm
11,Becoming,['Teen Daze'],0.981,0.245,85467,0.287,0.95,2,0.168,-12.988,1,0.0289,80.239,4,0.226,-0.5994,-0.5994,0.214,Calm
12,Brightest Star,['Sam Joe Gahn/Xi Lautman'],0.767,0.487,190197,0.0588,0.876,5,0.0971,-20.551,1,0.04,82.7,5,0.0585,,,0.0585,Calm
13,Butterfly Waltz,['Facing the Void'],0.148,0.566,174915,0.349,0.851,0,0.0969,-21.232,1,0.0314,118.025,4,0.605,1.0,1.0,0.625,Calm
14,Mystery of Time,['Dopplar'],0.908,0.133,153000,0.222,0.592,0,0.0851,-17.596,1,0.0386,69.662,4,0.0374,-0.8147,-0.8147,0.0211,Calm
15,Parameters,['The Album Leaf'],0.29,0.617,315227,0.573,0.945,10,0.0797,-8.292,1,0.0299,115.003,4,0.672,,,0.672,Calm
