,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,nlp_lyrics,nlp_annotations,valence+nlp,mood
0,What’s Next,['Drake'],0.0136,0.781,178154,0.594,0.0,0,0.162,-6.959,0,0.0485,129.895,4,0.0628,0.9969,0.9969,0.0827,Energised
1,Life Is Good (feat. Drake),"['Future', 'Drake']",0.0706,0.676,237735,0.609,0.0,2,0.152,-5.831,0,0.481,142.037,4,0.508,0.8688,0.8688,0.5254,Energised
2,Spicy (feat. Post Malone),"['Ty Dolla $ign', 'Post Malone']",0.14,0.784,144028,0.496,0.0,7,0.113,-5.746,1,0.0435,100.002,4,0.132,-0.8105,-0.8105,0.1158,Energised
3,FRANCHISE (feat. Young Thug & M.I.A.),"['Travis Scott', 'Young Thug', 'M.I.A.']",0.00671,0.835,202795,0.699,0.0,8,0.195,-5.405,0,0.277,154.981,4,0.547,-0.846,-0.846,0.5301,Energised
4,THE SCOTTS,"['THE SCOTTS', 'Travis Scott', 'Kid Cudi']",0.233,0.716,165978,0.537,0.0,0,0.157,-7.648,0,0.0514,129.979,4,0.28,0.5223,0.5223,0.2904,Energised
5,Enemies (feat. DaBaby),"['Post Malone', 'DaBaby']",0.0588,0.542,196760,0.674,0.0,6,0.0955,-4.169,1,0.21,76.388,4,0.667,0.4145,0.4145,0.6753,Energised
6,Deep End Freestyle,"['Sleepy Hallow', 'Fousheé']",0.703,0.868,115200,0.479,0.0,4,0.102,-6.687,0,0.445,133.928,4,0.776,-0.9756,-0.9756,0.7565,Energised
7,POPSTAR (feat. Drake),"['DJ Khaled', 'Drake']",0.057,0.8,200221,0.56,0.0,5,0.134,-4.818,0,0.261,163.071,4,0.45,0.9792,0.9792,0.4696,Energised
8,Come & Go (with Marshmello),"['Juice WRLD', 'Marshmello']",0.0172,0.625,205485,0.814,0.0,0,0.158,-5.181,1,0.0657,144.991,4,0.535,0.995,0.995,0.5549,Energised
9,Show Out (with Skepta & Pop Smoke),"['Kid Cudi', 'Skepta', 'Pop Smoke']",0.43,0.619,174960,0.589,0.000392,1,0.378,-6.531,1,0.124,143.896,4,0.158,-0.9351,-0.9351,0.1393,Energised
10,May I,['Flo Milli'],0.0828,0.896,163019,0.78,0.0,1,0.0857,-3.547,1,0.202,106.032,4,0.85,-0.9844,-0.9844,0.8303,Energised
11,Yikes,['Nicki Minaj'],0.0409,0.911,156882,0.637,3.68e-05,8,0.238,-8.381,1,0.447,149.996,4,0.66,-0.3989,-0.3989,0.652,Energised
12,Runnin,"['21 Savage', 'Metro Boomin']",0.00748,0.819,195906,0.626,0.101,10,0.167,-4.574,0,0.202,143.01,4,0.415,-0.9988,-0.9988,0.395,Energised
13,Don't Rush (feat. DaBaby),"['Young T & Bugsey', 'DaBaby']",0.144,0.959,201960,0.508,9.82e-05,2,0.136,-7.857,1,0.257,107.998,4,0.346,-0.9745,-0.9745,0.3265,Energised
14,Turks (feat. Travis Scott),"['NAV', 'Gunna', 'Travis Scott']",0.0827,0.893,161377,0.618,0.0,7,0.542,-4.425,0,0.112,119.099,4,0.389,0.9826,0.9826,0.4087,Energised
15,"King's Dead (with Kendrick Lamar, Future & James Blake)","['Jay Rock', 'Kendrick Lamar', 'Future', 'James Blake']",0.000813,0.645,229670,0.705,0.0,1,0.128,-5.008,1,0.299,137.133,4,0.376,-0.9523,-0.9523,0.357,Energised
16,Paramedic!,['SOB X RBE'],0.177,0.856,219307,0.652,0.0,1,0.193,-5.324,1,0.143,97.017,4,0.471,0.9994,0.9994,0.491,Energised
17,Swervin (feat. 6ix9ine),"['A Boogie Wit da Hoodie', '6ix9ine']",0.0153,0.581,189487,0.662,0.0,9,0.111,-5.239,1,0.303,93.023,4,0.434,0.1776,0.1776,0.4376,Energised
18,The Box,['Roddy Ricch'],0.104,0.896,196653,0.586,0.0,10,0.79,-6.687,0,0.0559,116.971,4,0.642,-0.9905,-0.9905,0.6222,Energised
19,Hot (feat. Gunna),"['Young Thug', 'Gunna']",0.063,0.855,193027,0.651,0.0,0,0.0772,-8.044,0,0.235,111.997,4,0.559,-0.9023,-0.9023,0.541,Energised
20,Batman,['LPB Poody'],0.0754,0.893,156432,0.565,0.0,1,0.0375,-4.74,1,0.268,81.009,4,0.808,-0.9572,-0.9572,0.7889,Energised
21,Dior,['Pop Smoke'],0.212,0.548,216387,0.805,0.000389,7,0.408,-5.732,1,0.351,142.094,4,0.648,0.9692,0.9692,0.6674,Energised
