,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,nlp_lyrics,nlp_annotations,valence+nlp,mood
0,Bulls On Parade,['Rage Against The Machine'],0.0124,0.412,229467,0.919,0.0601,5,0.424,-7.291,1,0.184,166.367,4,0.572,-0.9509,-0.9509,0.553,Energised
1,Maybe Memories,['The Used'],0.0134,0.481,175133,0.93,0.0,4,0.182,-4.655,0,0.0572,109.131,4,0.383,0.8343,0.8343,0.3997,Energised
2,Warrior (feat. Travis Barker),"['Atreyu', 'Travis Barker']",0.0485,0.528,165891,0.908,0.000581,1,0.239,-4.243,0,0.0913,154.958,4,0.296,0.9492,0.9492,0.315,Energised
3,DOMINATION,"['Kayzo', 'Sullivan King', 'Papa Roach']",0.000138,0.506,168800,0.993,0.843,1,0.446,-1.343,1,0.207,149.987,4,0.47,-0.9607,-0.9607,0.4508,Energised
4,Obey (with YUNGBLUD),"['Bring Me The Horizon', 'YUNGBLUD']",0.000103,0.462,220539,0.99,0.0,1,0.374,-3.175,0,0.211,137.061,4,0.204,0.9836,0.9836,0.2237,Energised
5,Papercut,['Linkin Park'],0.00022,0.524,184867,0.939,0.0,9,0.623,-3.994,1,0.113,150.184,4,0.661,0.9892,0.9892,0.6808,Energised
6,My Name Is Thunder,"['The Bloody Beetroots', 'Jet']",0.000482,0.457,167344,0.95,0.00189,2,0.141,-2.533,1,0.0776,128.034,4,0.27,0.897,0.897,0.2879,Energised
7,Welcome To The Jungle,"[""Guns N' Roses""]",0.0195,0.453,273480,0.987,0.283,8,0.268,-4.485,1,0.0889,123.544,4,0.316,0.9954,0.9954,0.3359,Energised
8,Popular Monster,['Falling In Reverse'],0.00821,0.461,220537,0.897,0.0,3,0.0965,-3.982,0,0.092,165.107,4,0.358,-0.894,-0.894,0.3401,Energised
9,Hurricane,['I Prevail'],0.000372,0.389,223173,0.885,0.000311,6,0.202,-5.063,0,0.0551,164.989,4,0.187,0.9961,0.9961,0.2069,Energised
10,Dark Love (ft. Aaron Gillespie),"['Sullivan King', 'Aaron Gillespie']",0.000823,0.515,165000,0.602,0.0,11,0.0673,-5.515,0,0.0977,140.105,4,0.438,0.9931,0.9931,0.4579,Energised
11,Liar (with OST),"['Kayzo', 'OST']",0.0292,0.49,296250,0.964,0.0,3,0.168,-0.332,0,0.31,127.886,4,0.416,-0.9939,-0.9939,0.3961,Energised
12,Chop Suey!,['System Of A Down'],0.000278,0.417,210240,0.934,0.0015,7,0.132,-3.908,0,0.119,127.066,4,0.287,-0.9962,-0.9962,0.2671,Energised
13,The Devil's Bleeding Crown,['Volbeat'],1.62e-05,0.32,238653,0.909,0.139,7,0.0443,-4.612,1,0.0412,109.649,3,0.21,-0.6416,-0.6416,0.1972,Energised
14,All My Life,['Foo Fighters'],0.000218,0.577,263440,0.604,0.000579,5,0.477,-5.703,1,0.0495,167.719,4,0.637,-0.8568,-0.8568,0.6199,Energised
15,No One Knows,['Queens of the Stone Age'],0.0359,0.507,278707,0.588,0.000129,0,0.373,-4.881,1,0.0641,170.889,4,0.637,-0.7506,-0.7506,0.622,Energised
16,Stigmata,['grandson'],0.000248,0.469,217459,0.862,0.000322,4,0.0661,-6.48,0,0.109,87.048,4,0.322,-0.9161,-0.9161,0.3037,Energised
17,Ohms,['Deftones'],0.000108,0.112,250222,0.978,0.0241,4,0.117,-2.64,1,0.117,173.097,3,0.371,-0.3612,-0.3612,0.3638,Energised
18,Breathe Again,['Pop Evil'],2.42e-05,0.569,191440,0.891,3.32e-05,3,0.32,-4.527,0,0.0671,116.985,4,0.646,-0.4348,-0.4348,0.6373,Energised
19,Born For Greatness,['Papa Roach'],0.0571,0.525,227847,0.85,0.0,9,0.0555,-5.469,0,0.0678,134.115,4,0.275,-0.9953,-0.9953,0.2551,Energised
20,Break Stuff,['Limp Bizkit'],0.00325,0.427,166653,0.908,6.12e-05,8,0.0475,-5.399,1,0.165,108.681,4,0.617,-0.9978,-0.9978,0.597,Energised
21,Down with the Sickness,['Disturbed'],0.000319,0.649,278707,0.896,1.19e-05,10,0.102,-2.704,0,0.056,90.009,4,0.924,-0.9982,-0.9982,0.904,Energised
22,Sabotage,['Beastie Boys'],0.032,0.324,178440,0.938,0.0321,6,0.0961,-7.332,0,0.102,168.131,4,0.543,-0.9771,-0.9771,0.5235,Energised
23,Enter Sandman,['Metallica'],0.00206,0.579,331573,0.824,0.00903,6,0.059,-8.71,0,0.03,123.331,4,0.635,0.9117,0.9117,0.6532,Energised
24,Thunderstruck,['AC/DC'],0.000147,0.502,292880,0.89,0.0117,4,0.217,-5.175,1,0.0364,133.52,4,0.259,0.971,0.971,0.2784,Energised
25,Rock and Roll - Remaster,['Led Zeppelin'],0.000582,0.317,220561,0.887,0.00258,9,0.0891,-7.292,1,0.0375,169.613,4,0.871,-0.9969,-0.9969,0.8511,Energised
