,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,nlp_lyrics,nlp_annotations,valence+nlp,mood
0,Heartless,['The Weeknd'],0.0236,0.537,198267,0.746,1.01E-06,10,0.156,-5.507,0,0.15,170.062,4,0.252,-0.9991,-0.9991,0.232,Energised
1,Laugh Now Cry Later (feat. Lil Durk),"['Drake', 'Lil Durk']",0.244,0.761,261493,0.518,3.47E-05,0,0.107,-8.871,1,0.134,133.976,4,0.522,0.9792,0.9792,0.5416,Energised
2,"Ego Death (feat. Kanye West, FKA twigs & Skrillex)","['Ty Dolla $ign', 'FKA twigs', 'Skrillex', 'Kanye West']",0.061,0.813,231067,0.615,0,10,0.654,-5.624,0,0.132,111.039,4,0.321,0.9986,0.9986,0.341,Energised
3,Go Crazy,"['Chris Brown', 'Young Thug']",0.316,0.755,176960,0.578,0,0,0.25,-8.932,0,0.145,94.148,4,0.581,-0.8775,-0.8775,0.5635,Energised
4,Dandelion,"['Galantis', 'JVKE']",0.158,0.8,140012,0.66,0.02,0,0.14,-4.903,1,0.158,117.923,4,0.634,0.9765,0.9765,0.6535,Energised
5,HIGHEST IN THE ROOM,['Travis Scott'],0.0546,0.598,175721,0.427,5.83E-06,7,0.21,-8.764,0,0.0317,76.469,4,0.0605,0.9747,0.9747,0.08,Energised
6,Lemonade,"['Internet Money', 'Gunna', 'Don Toliver', 'NAV']",0.256,0.799,195429,0.66,0,1,0.111,-6.153,0,0.079,140.04,4,0.471,-0.9686,-0.9686,0.4516,Energised
7,Ecstasy (Over & Over),['Prospa'],0.00426,0.757,216797,0.82,0.421,10,0.173,-4.999,1,0.0406,128.012,4,0.656,0.9864,0.9864,0.6757,Energised
8,What’s Next,['Drake'],0.0136,0.781,178154,0.594,0,0,0.162,-6.959,0,0.0485,129.895,4,0.0628,0.9969,0.9969,0.0827,Energised
9,Save Your Tears,['The Weeknd'],0.0212,0.68,215627,0.826,1.24E-05,0,0.543,-5.487,1,0.0309,118.051,4,0.644,0.8992,0.8992,0.662,Energised
10,Pressure (feat. Tove Lo),"['Martin Garrix', 'Tove Lo']",0.659,0.859,144391,0.558,0.324,7,0.124,-8.991,0,0.0902,114.978,4,0.357,0.7081,0.7081,0.3712,Energised
