,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,nlp_lyrics,nlp_annotations,valence+nlp,mood
0,Waves of Blue,['Majid Jordan'],0.00743,0.652,208747,0.861,2.25e-05,6,0.337,-4.863,0,0.0565,99.983,4,0.333,0.9991,0.9991,0.353,Aroused
1,Damage,['H.E.R.'],0.113,0.646,223415,0.696,0.0,1,0.115,-6.505,1,0.065,81.336,4,0.18,-0.0373,-0.0373,0.1793,Aroused
2,Nobody But You,"['Sonder', 'Jorja Smith']",0.742,0.637,213214,0.299,0.0,7,0.359,-11.314,1,0.0366,83.872,4,0.364,0.9956,0.9956,0.3839,Aroused
3,Pretty,"['Col3trane', 'Mahalia']",0.86,0.599,166920,0.336,0.0623,5,0.111,-12.528,1,0.0572,177.908,3,0.427,0.9987,0.9987,0.447,Aroused
4,Situationship,['Nbdy'],0.358,0.565,176640,0.508,5.95e-06,10,0.113,-6.847,0,0.107,124.848,4,0.372,0.9911,0.9911,0.3918,Aroused
5,PEAKING,['Tay Iwar'],0.834,0.635,193235,0.284,0.023,5,0.119,-12.211,1,0.0683,140.058,4,0.363,0.9783,0.9783,0.3826,Aroused
6,Leave The Door Open,"['Bruno Mars', 'Anderson .Paak', 'Silk Sonic']",0.182,0.586,242096,0.616,0.0,5,0.0927,-7.964,1,0.0324,148.088,4,0.719,-0.184,-0.184,0.7153,Aroused
7,Julie.,['Gallant'],0.293,0.424,231733,0.647,0.0,2,0.209,-6.593,0,0.156,147.681,4,0.571,0.8144,0.8144,0.5873,Aroused
8,On The Way (feat. Mila J),"['Jhené Aiko', 'Mila J']",0.756,0.575,222600,0.443,0.0,7,0.109,-11.626,0,0.28,113.862,4,0.658,0.5508,0.5508,0.669,Aroused
9,City Girl,"['Ari PenSmith', 'Jonah Christian']",0.695,0.453,159365,0.495,0.000117,7,0.108,-10.541,0,0.0927,88.811,4,0.297,-0.9734,-0.9734,0.2775,Aroused
10,Moon,['Karl Benjamin'],0.766,0.657,216160,0.369,0.000674,0,0.103,-6.686,1,0.0502,74.991,4,0.603,0.8771,0.8771,0.6205,Aroused
11,Show U Off,['Brent Faiyaz'],0.643,0.583,251133,0.405,0.00391,0,0.108,-11.295,1,0.0534,84.997,4,0.549,0.9805,0.9805,0.5686,Aroused
12,Slippery (feat. DESTIN CONRAD),"['Phabo', 'DESTIN CONRAD']",0.122,0.714,160250,0.675,0.0,1,0.123,-5.767,0,0.0752,115.926,4,0.695,0.9824,0.9824,0.7146,Aroused
13,In My Corner,['ELHAE'],0.258,0.678,188235,0.47,0.0,1,0.175,-7.306,1,0.235,89.992,4,0.272,0.9974,0.9974,0.2919,Aroused
14,HMU,['Sevyn Streeter'],0.372,0.755,153772,0.704,7.65e-05,6,0.0804,-6.954,0,0.0488,81.988,4,0.553,-0.9552,-0.9552,0.5339,Aroused
15,Messed Up,"['Asiahn', 'Jordan Hawkins']",0.115,0.667,210051,0.479,0.0,1,0.108,-8.032,1,0.0658,112.051,4,0.459,0.9942,0.9942,0.4789,Aroused
16,Too Sweet (feat. Unknown Mortal Orchestra),"['India Shawn', 'Unknown Mortal Orchestra']",0.113,0.697,226506,0.668,5.46e-05,10,0.239,-6.274,0,0.0646,119.764,4,0.642,0.6433,0.6433,0.6549,Aroused
17,Tangerine,['Barii'],0.648,0.78,165605,0.452,3.16e-05,5,0.101,-11.252,0,0.237,92.983,4,0.336,0.9961,0.9961,0.3559,Aroused
18,Devotion,['Tone Stith'],0.027,0.593,249494,0.842,0.0,1,0.175,-3.196,1,0.0347,105.028,4,0.608,0.981,0.981,0.6276,Aroused
19,Real (feat. Boogie),"['BJRNCK', 'WESTSIDE BOOGIE']",0.132,0.37,219700,0.65,0.0,0,0.143,-6.032,1,0.108,91.55,1,0.256,0.9168,0.9168,0.2743,Aroused
20,Ecstasy,['Ayanis'],0.19,0.808,187362,0.504,7.33e-06,5,0.112,-10.238,0,0.271,95.033,4,0.581,0.9997,0.9997,0.601,Aroused
21,Intruded,"['Justine Skye', 'Timbaland']",0.498,0.633,186368,0.498,7.27e-06,9,0.173,-5.722,1,0.0418,107.223,4,0.371,0.996,0.996,0.3909,Aroused
22,Time (Remix) [feat. KIRBY],"['Sebastian Mikael', 'KIRBY']",0.478,0.475,213333,0.521,0.0,5,0.0823,-10.43,0,0.149,134.689,4,0.709,0.9909,0.9909,0.7288,Aroused
23,Last Time (feat. Snoh Aalegra),"['Giveon', 'Snoh Aalegra']",0.364,0.634,193850,0.427,1.32e-05,1,0.442,-8.599,0,0.047,81.503,3,0.396,0.9959,0.9959,0.4159,Aroused
24,Caught Up,['Dee Gatti'],0.644,0.663,132519,0.149,2.5e-05,4,0.0851,-14.239,0,0.0466,107.19,4,0.397,0.9746,0.9746,0.4165,Aroused
25,F.U.C.K.,['Victoria Monét'],0.709,0.761,205374,0.397,0.105,8,0.166,-9.48,0,0.0516,127.971,4,0.464,0.9995,0.9995,0.484,Aroused
26,Bad Habits,['Usher'],0.0934,0.62,257249,0.829,0.0,5,0.111,-4.433,1,0.101,152.279,4,0.636,0.9992,0.9992,0.656,Aroused
27,Peaches (feat. Daniel Caesar & Giveon),"['Justin Bieber', 'Daniel Caesar', 'Giveon']",0.321,0.677,198082,0.696,0.0,0,0.42,-6.181,1,0.119,90.03,4,0.464,0.9889,0.9889,0.4838,Aroused
28,You Love Me,['RAAHiiM'],0.0913,0.68,252133,0.389,0.000281,4,0.102,-9.656,0,0.0455,99.983,4,0.155,0.9993,0.9993,0.175,Aroused
29,Situations,['DaniLeigh'],0.478,0.663,225919,0.714,0.0,1,0.0968,-6.323,0,0.402,80.994,4,0.441,0.9989,0.9989,0.461,Aroused
30,GLA,['Trey Songz'],0.105,0.5,206305,0.412,4.03e-06,5,0.156,-8.558,0,0.0517,106.831,3,0.289,0.9885,0.9885,0.3088,Aroused
31,I’m Her (feat. Kiana Ledé),"['Queen Naija', 'Kiana Ledé']",0.137,0.688,198749,0.65,1.71e-06,6,0.119,-5.059,0,0.062,128.119,4,0.457,-0.9721,-0.9721,0.4376,Aroused
32,Good & Plenty - Remix,"['Lucky Daye', 'Masego', 'Alex Isley']",0.811,0.65,204706,0.582,0.00314,9,0.0812,-6.543,0,0.101,135.894,4,0.369,0.9959,0.9959,0.3889,Aroused
33,Come Over Again,['VanJess'],0.0568,0.793,194733,0.555,0.0228,10,0.344,-7.941,0,0.0359,137.981,4,0.516,0.8863,0.8863,0.5337,Aroused
34,All About You,"['Leon Bridges', 'Lucky Daye']",0.122,0.746,180095,0.454,1.52e-05,9,0.296,-8.79,1,0.0583,121.921,4,0.268,0.9943,0.9943,0.2879,Aroused
35,Inhale,['Bryson Tiller'],0.317,0.464,174091,0.714,0.00274,4,0.247,-8.23,0,0.411,77.524,4,0.456,0.9966,0.9966,0.4759,Aroused
36,Use Somebody,['dvsn'],0.162,0.619,270873,0.801,0.000143,3,0.106,-6.857,0,0.042,153.056,4,0.193,0.9277,0.9277,0.2116,Aroused
37,Dead Man Walking,['Brent Faiyaz'],0.279,0.505,247080,0.267,0.0,9,0.096,-13.763,0,0.05,143.929,4,0.439,-0.9812,-0.9812,0.4194,Aroused
38,Genius,['Eric Bellinger'],0.346,0.711,188798,0.535,0.0,5,0.0874,-6.235,1,0.215,149.938,4,0.49,0.9938,0.9938,0.5099,Aroused
39,Hooked,['Keke Palmer'],0.0279,0.723,158850,0.263,0.0,9,0.127,-10.138,1,0.075,112.946,4,0.107,0.9642,0.9642,0.1263,Aroused
40,Hype Beast,"['Eric Bellinger', 'Hitmaka']",0.0111,0.748,161311,0.603,0.0,7,0.206,-4.1,0,0.0461,121.998,4,0.45,0.9967,0.9967,0.4699,Aroused
41,Opia,['Savannah Ré'],0.541,0.373,231661,0.276,0.000197,10,0.229,-14.61,1,0.0485,61.428,4,0.137,-0.9953,-0.9953,0.1171,Aroused
42,Hit Different,"['SZA', 'The Neptunes', 'Pharrell Williams', 'Ty Dolla $ign']",0.199,0.679,202008,0.516,0.0,0,0.0965,-6.371,0,0.0452,120.074,4,0.716,0.993,0.993,0.7359,Aroused
43,Chocolate Pomegranate,['Ari Lennox'],0.177,0.535,247792,0.371,2.03e-05,10,0.116,-11.668,1,0.0474,176.061,4,0.208,0.997,0.997,0.2279,Aroused
44,Feel,['Kaleem Taylor'],0.803,0.616,248250,0.573,0.0,8,0.145,-6.313,0,0.107,119.725,4,0.442,0.9948,0.9948,0.4619,Aroused
45,You Got It,['Vedo'],0.143,0.762,203145,0.433,0.0,5,0.118,-8.937,1,0.187,122.074,4,0.394,0.979,0.979,0.4136,Aroused
46,Fool 4 U,['ROE'],0.462,0.657,196000,0.491,4.89e-06,10,0.511,-7.242,0,0.0428,119.961,4,0.256,-0.5882,-0.5882,0.2442,Aroused
47,At My Worst (feat. Kehlani),"['Pink Sweat$', 'Kehlani']",0.73,0.731,169128,0.484,3.01e-06,0,0.326,-5.579,1,0.0354,92.043,4,0.35,-0.9602,-0.9602,0.3308,Aroused
