,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,nlp_lyrics,nlp_annotations,valence+nlp,mood
0,Branches,['Harbours & Oceans'],0.869,0.114,216542,0.221,0.868,10,0.298,-19.288,1,0.0366,179.802,4,0.106,1.0,1.0,0.126,Calm
1,Saman Aftur,['Elvar Arngrimsson'],0.954,0.337,178000,0.178,0.813,2,0.0853,-18.206,1,0.0311,89.935,3,0.0425,,,0.0425,Calm
2,Supposing,['Infinity Ripple'],0.938,0.371,187012,0.127,0.868,0,0.119,-15.525,1,0.0322,67.972,3,0.0991,1.0,1.0,0.1191,Calm
3,Illumination,['Dmitry Evgrafov'],0.988,0.324,152657,0.0345,0.964,2,0.0955,-25.031,1,0.0299,60.387,4,0.108,,,0.108,Calm
4,Rest,['Borghild Wenn'],0.993,0.334,142439,0.00376,0.902,1,0.104,-23.23,1,0.0365,91.418,1,0.15,,,0.15,Calm
5,When It Rains It Pours,['Jakob Ahlbom'],0.966,0.121,148105,0.0325,0.955,7,0.162,-26.875,1,0.0337,95.455,4,0.0796,,,0.0796,Calm
6,Linnesondagen gynnas icke,['Kiri Ra!'],0.966,0.268,190515,0.0731,0.53,7,0.1,-29.008,0,0.0482,127.328,4,0.0891,,,0.0891,Calm
7,Distant Glow,['Rannar Sillard'],0.913,0.199,131316,0.045,0.93,0,0.11,-22.016,1,0.0385,74.677,4,0.0513,,,0.0513,Calm
8,Sunrise,['HILMA'],0.981,0.273,176875,0.007,0.779,2,0.103,-29.955,1,0.0529,85.007,4,0.0666,0.9999,0.9999,0.0866,Calm
9,Revenons à nos moutons,['Dagmar Collier'],0.995,0.275,155000,0.00943,0.872,4,0.13,-31.218,0,0.0521,94.092,3,0.165,,,0.165,Calm
10,Nowhere,['Efrim'],0.98,0.35,222888,0.096,0.93,11,0.113,-20.721,1,0.0324,60.6,4,0.0715,-0.9917,-0.9917,0.0517,Calm
11,Aurelian,"['Anders Schill Paulsen', 'S.A. Karl']",0.941,0.25,148929,0.134,0.912,0,0.112,-14.095,1,0.0326,96.765,4,0.0975,,,0.0975,Calm
12,Thinking Back,['EON NOIRE'],0.995,0.402,183214,0.00261,0.956,7,0.116,-32.574,0,0.0467,148.234,4,0.207,1.0,1.0,0.227,Calm
13,Sostenuto,['Camilla Solheim'],0.977,0.119,129864,0.0735,0.934,0,0.0997,-23.969,1,0.0425,151.549,3,0.0959,,,0.0959,Calm
14,Sioux,['Olim'],0.995,0.699,126857,0.0418,0.93,0,0.0791,-26.124,0,0.0528,105.03,4,0.115,0.0,0.0,0.115,Calm
15,When We First Met,['Ricki Westberg'],0.994,0.383,112750,0.018,0.95,10,0.153,-28.209,1,0.0345,89.114,4,0.388,1.0,1.0,0.408,Calm
16,Presque l'amour,['Roland Toubin'],0.991,0.435,142719,0.031,0.954,8,0.0997,-25.814,1,0.0373,110.152,4,0.197,,,0.197,Calm
17,Dvale,['Jacob David'],0.964,0.306,179000,0.164,0.896,10,0.0973,-28.914,1,0.0468,119.859,4,0.0874,1.0,1.0,0.1074,Calm
18,The Orchard (I),['Christopher Dicker'],0.994,0.33,167414,0.0547,0.954,9,0.0835,-25.13,0,0.059,176.296,3,0.218,0.9997,0.9997,0.238,Calm
19,Older,['C.J. Wilkins'],0.996,0.32,165904,0.00892,0.919,8,0.11,-29.206,1,0.0532,91.366,4,0.338,0.9992,0.9992,0.358,Calm
20,Sunset Aglow,['Edgar De Vries'],0.995,0.396,162625,0.0181,0.931,8,0.0989,-31.202,1,0.0439,129.868,4,0.393,,,0.393,Calm
21,Daydream,['HILMA'],0.99,0.188,135375,0.0212,0.944,7,0.112,-30.198,0,0.0345,77.026,4,0.0878,1.0,1.0,0.1078,Calm
22,In questo momento,['Eliodoro Russo'],0.985,0.223,160000,0.0144,0.881,0,0.0989,-30.695,1,0.0408,88.991,3,0.0326,,,0.0326,Calm
23,I Wrote You A Song,['Chad Lawson'],0.962,0.347,183055,0.0183,0.933,3,0.104,-27.986,1,0.0428,71.763,3,0.0731,0.9999,0.9999,0.0931,Calm
24,A World Without Pain,['Daigo Hanada'],0.994,0.381,156000,0.00324,0.885,6,0.0746,-33.019,0,0.0351,101.624,4,0.0839,,,0.0839,Calm
25,I'll Be The One,['Comet Blue'],0.981,0.354,134250,0.0423,0.923,0,0.105,-27.243,1,0.0334,93.35,4,0.103,0.9983,0.9983,0.123,Calm
26,De seu,['Mirta da Silva'],0.995,0.322,155107,0.0343,0.95,8,0.106,-27.406,1,0.0444,178.422,4,0.312,-0.9579,-0.9579,0.2928,Calm
27,Sweet Redolence,['Cedric Armfeldt'],0.991,0.395,114400,0.0307,0.896,2,0.109,-31.07,1,0.0482,131.514,4,0.386,,,0.386,Calm
28,Looking Back,['JON'],0.992,0.341,170292,0.0573,0.899,1,0.121,-26.771,1,0.0412,112.874,4,0.36,0.6808,0.6808,0.3736,Calm
29,Filotimo,['Borghild Wenn'],0.993,0.295,133200,0.0285,0.931,11,0.117,-22.689,0,0.0423,202.81,4,0.219,,,0.219,Calm
30,Sonder,['Niall Byrne'],0.992,0.343,137793,0.00498,0.96,5,0.0876,-36.491,0,0.041,136.699,4,0.203,-0.9735,-0.9735,0.1835,Calm
31,After the Storm,['HILMA'],0.977,0.187,176250,0.0275,0.866,5,0.116,-27.442,0,0.0348,81.322,4,0.0894,-0.9969,-0.9969,0.0695,Calm
32,Aegean Fantaisie,['Jase Moran'],0.993,0.344,171123,0.0244,0.905,4,0.105,-24.601,1,0.0504,133.685,4,0.153,,,0.153,Calm
33,Softly Spoken,['Atticus Laines'],0.996,0.527,136692,0.00635,0.959,0,0.12,-31.134,1,0.0659,69.758,3,0.736,,,0.736,Calm
34,Mother,['Peter Cavallo'],0.993,0.529,166812,0.0012,0.888,7,0.106,-26.288,1,0.0946,96.494,4,0.137,1.0,1.0,0.157,Calm
35,Airborne,['Maria Novotna'],0.995,0.347,161644,0.0239,0.895,10,0.11,-29.286,1,0.0371,83.96,3,0.154,,,0.154,Calm
36,lei sogna di noi,['Zeppi'],0.989,0.335,120625,0.0522,0.942,8,0.103,-26.91,1,0.0333,110.403,4,0.184,0.5661,0.5661,0.1953,Calm
37,Megaclite,['Lionel Scardino'],0.992,0.221,146864,0.0755,0.924,0,0.11,-27.125,1,0.0366,158.791,4,0.273,,,0.273,Calm
38,"A mal tiempo, buena cara",['Claribel Ramón'],0.996,0.307,148825,0.0225,0.905,2,0.0979,-31.068,1,0.0572,170.392,4,0.234,-0.9853,-0.9853,0.2143,Calm
39,Whispered Winds,"['Jesse Brown', 'Rich Batsford']",0.99,0.488,148844,0.0773,0.943,2,0.108,-21.414,1,0.0594,79.586,4,0.249,0.9975,0.9975,0.269,Calm
40,Deliquescence,['Laura Olejnik'],0.996,0.393,166462,0.0462,0.859,7,0.0906,-25.187,1,0.0362,73.464,4,0.485,,,0.485,Calm
41,Mind Tranquility,['NREM'],0.987,0.0896,211765,0.0124,0.981,11,0.103,-42.314,1,0.0459,169.365,3,0.0694,0.9246,0.9246,0.0879,Calm
42,Ripples (Echoes),['Harbours & Oceans'],0.908,0.182,174400,0.0457,0.841,9,0.0716,-21.788,0,0.0452,108.549,4,0.136,1.0,1.0,0.156,Calm
43,Space Comfort,['JOMALU'],0.971,0.144,141229,0.0152,0.898,2,0.135,-40.371,0,0.0386,97.852,4,0.32,,,0.32,Calm
44,In This Way,['Jacob LaVallee'],0.99,0.439,189968,0.0944,0.933,4,0.0916,-17.814,0,0.0372,132.334,1,0.147,0.992,0.992,0.1668,Calm
45,Prelude In A-Flat,['Jackson Love'],0.996,0.274,160286,0.032,0.935,0,0.096,-28.993,0,0.0388,202.592,3,0.531,1.0,1.0,0.551,Calm
46,Clocks,['Luke Faulkner'],0.995,0.353,169750,0.075,0.886,10,0.117,-25.635,0,0.0379,120.308,3,0.317,1.0,1.0,0.337,Calm
47,Arkata (Munich Session),['Carlos Cipa'],0.984,0.314,242000,0.0252,0.88,1,0.125,-29.52,0,0.0389,95.683,4,0.0966,,,0.0966,Calm
48,Nord,['SUBLIMINIS'],0.993,0.246,142625,0.0438,0.912,4,0.117,-28.726,0,0.0334,56.077,4,0.114,0.7312,0.7312,0.1286,Calm
49,Onthou,['Ever So Blue'],0.996,0.307,128333,0.05,0.94,0,0.105,-27.964,1,0.0345,138.484,4,0.41,0.9992,0.9992,0.43,Calm
50,Here,['Leonardo Cupelli'],0.994,0.309,146300,0.0259,0.94,0,0.0897,-35.156,1,0.046,114.393,3,0.216,1.0,1.0,0.236,Calm
51,Cadeques,['Niall Byrne'],0.99,0.392,172322,0.01,0.326,3,0.0859,-31.828,0,0.0424,93.517,4,0.227,,,0.227,Calm
52,Silhouette,['Robert Gafforelli'],0.995,0.409,212375,0.00617,0.915,3,0.111,-33.092,1,0.042,111.009,4,0.327,,,0.327,Calm
53,Glow,['Michael Logozar'],0.992,0.423,143377,0.0265,0.943,7,0.0799,-22.044,1,0.0462,68.263,3,0.188,,,0.188,Calm
54,Love Will Set Us Free,['Novum Cordis'],0.996,0.375,145314,0.0229,0.951,9,0.0893,-28.864,1,0.108,178.953,4,0.226,,,0.226,Calm
55,Waves,['Oscar Basza'],0.994,0.583,127395,0.0898,0.961,7,0.103,-26.106,1,0.0336,113.186,4,0.337,-1.0,-1.0,0.317,Calm
56,Waves,['Lux Tigon'],0.99,0.307,124750,0.00767,0.918,5,0.11,-29.993,1,0.0374,68.919,3,0.0373,-1.0,-1.0,0.0173,Calm
57,Ártabra,['Biba Dupont'],0.995,0.241,202147,0.0167,0.917,10,0.115,-29.403,1,0.0443,204.195,4,0.139,,,0.139,Calm
58,Memories In Red,['Fredrik Lundberg'],0.99,0.547,135000,0.0174,0.954,5,0.134,-25.614,1,0.0314,51.053,3,0.342,,,0.342,Calm
59,Komorebi,['Kyūka'],0.986,0.499,126500,0.0565,0.933,0,0.107,-26.777,1,0.0519,126.188,3,0.203,-0.8271,-0.8271,0.1865,Calm
60,By the Swings,['Jacob David'],0.988,0.401,218000,0.139,0.938,6,0.0923,-27.918,1,0.0477,123.681,4,0.396,0.9969,0.9969,0.4159,Calm
61,Pour toujours,['Bernadette Boulet'],0.994,0.227,144576,0.0643,0.915,0,0.104,-29.419,1,0.0461,165.015,4,0.31,-0.6402,-0.6402,0.2972,Calm
62,Kaleidoscope,['Elliott Jacqués'],0.992,0.366,121068,0.0161,0.951,5,0.11,-27.355,1,0.0632,49.668,4,0.171,,,0.171,Calm
63,Aldebaran,['S.A. Karl'],0.986,0.366,198000,0.014,0.918,5,0.121,-21.955,0,0.0386,69.575,4,0.128,1.0,1.0,0.148,Calm
64,Closure,['Franz Becker'],0.995,0.399,237875,0.0283,0.939,5,0.104,-33.842,1,0.0425,129.154,4,0.252,0.9984,0.9984,0.272,Calm
65,Le Beau,['Ossie Woods'],0.991,0.397,205303,0.0173,0.962,5,0.115,-24.128,1,0.0465,129.808,3,0.15,,,0.15,Calm
66,Somewhere,['Niall Byrne'],0.984,0.278,182633,0.0172,0.84,7,0.0872,-38.658,1,0.0446,173.655,4,0.254,0.998,0.998,0.274,Calm
67,Matria,['Lara Di Umbra'],0.995,0.4,152001,0.0117,0.869,3,0.0935,-27.834,1,0.0346,98.24,4,0.214,-0.9999,-0.9999,0.194,Calm
68,Notes From Tom,"['Jesse Brown', 'Tom Merrall']",0.99,0.466,167768,0.137,0.942,3,0.0895,-21.85,0,0.0442,103.02,4,0.152,0.9949,0.9949,0.1719,Calm
69,Lillian,"['Jacob David', 'Søren Tarding']",0.98,0.239,127000,0.0609,0.939,0,0.102,-26.694,0,0.0333,203.679,4,0.259,0.0,0.0,0.259,Calm
70,Quiet Cove,['Edgar De Vries'],0.994,0.244,201125,0.0408,0.924,3,0.106,-31.731,1,0.0489,199.993,3,0.371,,,0.371,Calm
71,Just a Thought,['Victor Kovacs'],0.984,0.454,154292,0.0619,0.941,0,0.11,-29.3,1,0.035,95.39,4,0.2,,,0.2,Calm
72,Nel bisogno si riconosce il vero amico,['Fioretta Rizzo'],0.992,0.3,110035,0.0845,0.951,0,0.123,-25.451,0,0.0485,67.976,4,0.148,,,0.148,Calm
73,Freddie's Theme,['Stephan Moccio'],0.994,0.429,135360,0.00955,0.955,3,0.108,-32.046,0,0.0352,65.547,4,0.359,,,0.359,Calm
74,Súlur,['Petra Birgisdóttir'],0.995,0.289,136625,0.0652,0.946,3,0.108,-27.508,0,0.0412,176.623,4,0.477,,,0.477,Calm
75,Homecoming,['Matthew Paull'],0.993,0.277,177280,0.0168,0.889,10,0.112,-30.656,0,0.048,166.904,4,0.175,-0.9999,-0.9999,0.155,Calm
76,Time is the Longest Distance,['Danielle Fleur'],0.994,0.427,124452,0.00442,0.897,10,0.107,-29.795,1,0.0424,69.962,4,0.278,1.0,1.0,0.298,Calm
77,Young Love,['Pamela Goldings'],0.994,0.401,143500,0.0273,0.916,7,0.107,-30.596,1,0.0532,133.722,4,0.236,1.0,1.0,0.256,Calm
78,mondaufgang,['Albert Puck'],0.995,0.244,169160,0.00649,0.907,2,0.108,-24.998,0,0.0417,169.187,4,0.0404,,,0.0404,Calm
79,Melts Into Air,['Jill Corazina'],0.991,0.414,166728,0.00739,0.954,8,0.12,-23.104,1,0.0467,74.253,3,0.228,,,0.228,Calm
80,Träumerin,['Pontiver Bogross'],0.991,0.384,202500,0.054,0.923,8,0.107,-26.519,1,0.0457,83.217,4,0.195,,,0.195,Calm
81,Bolero Chiquito,['Eu Nice'],0.991,0.401,140647,0.0814,0.95,1,0.104,-25.158,1,0.0322,78.553,4,0.175,,,0.175,Calm
82,Manglar,['Luna Bauer'],0.995,0.447,141746,0.0498,0.943,6,0.105,-25.321,1,0.0374,78.91,4,0.174,-0.7096,-0.7096,0.1598,Calm
83,Longing For Yesterday,['Charles Weathersby'],0.995,0.422,217000,0.0136,0.943,2,0.108,-33.47,0,0.0568,135.948,4,0.229,1.0,1.0,0.249,Calm
84,Days Gone By,['Tiny Rhino'],0.994,0.305,188500,0.0167,0.948,0,0.104,-33.381,1,0.045,166.454,4,0.376,0.9961,0.9961,0.3959,Calm
85,Now and Then,['Carluccio'],0.993,0.267,147250,0.0338,0.879,5,0.0979,-28.036,1,0.0481,74.461,1,0.321,0.6638,0.6638,0.3343,Calm
86,Isle of Arran,['Quinn MacKenzie'],0.995,0.427,170125,0.0147,0.945,4,0.13,-30.289,1,0.059,51.357,4,0.108,,,0.108,Calm
87,stronger together,['Hugo Vanbrooke'],0.995,0.273,141360,0.0132,0.864,11,0.104,-27.314,1,0.0392,68.822,3,0.104,,,0.104,Calm
88,Mar De Ardora,['Biba Dupont'],0.995,0.237,186353,0.0082,0.925,0,0.0993,-30.464,0,0.0426,206.236,3,0.262,,,0.262,Calm
89,New Dawn,['Edvard Kravchuk'],0.989,0.37,174000,0.0122,0.927,8,0.0942,-28.003,0,0.0349,70.854,4,0.215,,,0.215,Calm
90,Serendipity,['Patrick Hamilton'],0.981,0.318,141224,0.0629,0.935,0,0.103,-24.465,1,0.0399,118.339,4,0.111,,,0.111,Calm
91,Dream Until the First Rays of Dawn,['Dravde'],0.994,0.396,155665,0.00929,0.949,2,0.0795,-32.832,1,0.0532,70.463,3,0.338,1.0,1.0,0.358,Calm
92,All that Glitters,['Mino Monterosso'],0.995,0.401,161073,0.00743,0.939,8,0.113,-32.336,1,0.0522,118.212,3,0.123,,,0.123,Calm
93,Včeraj,['Zemfira Mironova'],0.995,0.354,125500,0.0112,0.923,10,0.109,-31.111,0,0.044,146.302,3,0.211,,,0.211,Calm
94,Notes in the Stars,['Laura Sherwin'],0.969,0.419,181814,0.00546,0.956,2,0.107,-22.497,1,0.0524,70.361,4,0.15,1.0,1.0,0.17,Calm
