,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,nlp_lyrics,nlp_annotations,valence+nlp,mood
0,Good Days,['SZA'],0.499,0.436,279204,0.655,8.1e-06,1,0.688,-8.37,0,0.0583,121.002,4,0.412,0.8209,0.8209,0.4284,Chill
1,Daylight,"['Joji', 'Diplo']",0.00488,0.528,163906,0.749,9.6e-05,7,0.0949,-7.571,1,0.0479,163.944,4,0.729,-0.9583,-0.9583,0.7098,Chill
2,It's Not The Same Anymore,['Rex Orange County'],0.873,0.666,386200,0.317,3.74e-05,5,0.111,-10.644,1,0.0327,117.676,4,0.359,-0.9199,-0.9199,0.3406,Chill
3,Pressure (with SG Lewis),"['James Vickery', 'SG Lewis']",0.0355,0.682,169412,0.574,0.000131,4,0.254,-5.241,0,0.0519,93.481,4,0.731,0.9854,0.9854,0.7507,Chill
4,Just Like You,['Emotional Oranges'],0.00496,0.715,215227,0.677,0.00145,1,0.156,-7.209,1,0.0339,101.03,4,0.48,0.9919,0.9919,0.4998,Chill
5,Falling For You with Justin Bieber,"['Jaden', 'Justin Bieber']",0.721,0.69,222717,0.541,4.64e-05,4,0.112,-9.259,1,0.042,130.024,4,0.787,0.9522,0.9522,0.806,Chill
6,Painkiller,['Ruel'],0.105,0.675,213598,0.414,0.0,5,0.192,-6.508,1,0.0569,128.927,4,0.439,-0.9932,-0.9932,0.4191,Chill
7,Hell N Back,['Bakar'],0.312,0.584,213573,0.684,9.05e-05,10,0.112,-4.314,0,0.567,210.164,4,0.72,0.4777,0.4777,0.7296,Chill
8,Eleven (feat. Summer Walker),"['Khalid', 'Summer Walker']",0.133,0.679,206080,0.408,0.00455,4,0.23,-9.754,0,0.0882,129.079,4,0.151,0.9959,0.9959,0.1709,Chill
9,right here,['keshi'],0.378,0.619,194907,0.445,0.0,5,0.151,-10.332,1,0.0503,160.125,4,0.35,0.9837,0.9837,0.3697,Chill
10,Heat Waves,['Glass Animals'],0.44,0.761,238805,0.525,6.7e-06,11,0.0921,-6.9,1,0.0944,80.87,4,0.531,0.386,0.386,0.5387,Chill
11,Scared To Live,['The Weeknd'],0.131,0.504,191307,0.498,0.0,0,0.0929,-8.24,1,0.0499,87.221,4,0.196,0.9967,0.9967,0.2159,Chill
12,Off the Grid (feat. Khalid),"['Alina Baraz', 'Khalid']",0.313,0.677,200303,0.533,0.0359,10,0.171,-8.454,1,0.077,83.498,4,0.52,0.6275,0.6275,0.5325,Chill
13,I Like It When You Love Me,['Oh Wonder'],0.824,0.481,226560,0.432,0.000347,5,0.105,-11.982,0,0.383,83.595,4,0.194,-0.9737,-0.9737,0.1745,Chill
14,17,['Pink Sweat$'],0.169,0.558,160737,0.364,9.94e-05,5,0.109,-8.663,1,0.0502,129.17,4,0.252,0.9917,0.9917,0.2718,Chill
15,Mystery Lady (feat. Don Toliver),"['Masego', 'Don Toliver']",0.393,0.747,228453,0.494,0.0,3,0.0982,-7.957,0,0.141,76.006,4,0.624,-0.7306,-0.7306,0.6094,Chill
16,Real Thing,['Ruel'],0.133,0.671,192327,0.586,0.0,4,0.383,-6.477,0,0.0786,125.806,4,0.478,-0.6356,-0.6356,0.4653,Chill
17,Space Makes Me Sad,['Fiji Blue'],0.389,0.556,136419,0.431,0.000428,6,0.186,-10.254,1,0.187,90.413,4,0.596,-0.9435,-0.9435,0.5771,Chill
18,Feels (feat. Khalid),"['WATTS', 'Khalid']",0.273,0.548,221975,0.35,0.0041,7,0.362,-12.52,1,0.0579,167.682,4,0.0802,0.8809,0.8809,0.0978,Chill
19,Still Don't Know My Name,['Labrinth'],0.471,0.316,153294,0.63,0.262,5,0.205,-5.963,1,0.117,89.643,1,0.313,0.2382,0.2382,0.3178,Chill
20,"1,000,000 X Better","['Griff', 'HONNE']",0.629,0.746,191739,0.775,0.000548,0,0.0622,-7.871,1,0.122,120.009,4,0.594,-0.9749,-0.9749,0.5745,Chill
21,Put Your Records On,['Ritt Momney'],0.058,0.399,210463,0.492,0.00101,6,0.11,-10.777,0,0.0538,91.066,4,0.159,0.9922,0.9922,0.1788,Chill
