,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,nlp_lyrics,nlp_annotations,valence+nlp,mood
0,I’ll Keep You Safe,"['Vluestar', 'Shiloh Dynasty']",0.802,0.54,140339,0.341,0.00921,10,0.13,-10.399,0,0.0717,137.753,4,0.283,0.9999,0.9999,0.303,Chill
1,dreamin',['53 Thieves'],0.359,0.831,207706,0.419,0.00228,1,0.0959,-7.381,0,0.44,84.983,4,0.339,0.9371,0.9371,0.3577,Chill
2,homebody,['Kamal.'],0.575,0.762,189000,0.244,0.000661,4,0.11,-14.089,1,0.0711,94.949,4,0.255,0.3778,0.3778,0.2626,Chill
3,You're All I Want,['Cigarettes After Sex'],0.363,0.233,264453,0.471,0.828,5,0.113,-10.947,1,0.0294,182.161,4,0.277,0.936,0.936,0.2957,Chill
4,Sunrise,['Kevitch'],0.527,0.609,208744,0.389,0.113,5,0.11,-11.675,0,0.0341,138.037,4,0.144,0.9332,0.9332,0.1627,Chill
5,Rain,['Lucy Park'],0.86,0.716,151150,0.231,0.0393,0,0.112,-14.739,1,0.0527,107.049,4,0.231,0.1134,0.1134,0.2333,Chill
6,I Need U,['yaeow'],0.513,0.402,142588,0.405,0.0167,9,0.155,-12.486,1,0.0713,84.873,4,0.072,-0.7343,-0.7343,0.0573,Chill
7,Fleur Blanche,['Orsten'],0.0121,0.783,252267,0.402,0.896,8,0.168,-9.56,1,0.119,83.003,4,0.613,0.5435,0.5435,0.6239,Chill
8,Sola,['Nina Cobham'],0.294,0.749,198661,0.383,6.63e-05,4,0.115,-13.404,0,0.152,125.384,4,0.334,-0.981,-0.981,0.3144,Chill
9,walk but in a garden,['LLusion'],0.859,0.773,110250,0.403,0.944,8,0.1,-11.617,0,0.0449,80.003,4,0.537,0.9273,0.9273,0.5555,Chill
10,Slipping Away,['LEISURE'],0.427,0.707,235507,0.546,0.17,11,0.101,-9.017,0,0.0399,78.007,4,0.774,0.8399,0.8399,0.7908,Chill
11,4:38am,"['ford.', 'Barrie']",0.841,0.754,226657,0.342,0.0312,9,0.109,-11.3,1,0.052,125.093,4,0.349,0.9886,0.9886,0.3688,Chill
12,Yours,['maye'],0.714,0.67,220887,0.707,0.065,11,0.0634,-9.726,0,0.0358,89.008,4,0.799,0.9535,0.9535,0.8181,Chill
13,Crazy,['Hope Tala'],0.265,0.672,259213,0.503,0.000321,2,0.204,-5.141,1,0.0464,60.496,4,0.465,-0.9493,-0.9493,0.446,Chill
14,cloud castle,['Luna Li'],0.04,0.556,63214,0.563,0.9,0,0.245,-6.731,1,0.0523,83.9,4,0.349,1.0,1.0,0.369,Chill
15,peppermint,['lavender'],0.895,0.564,132916,0.379,0.257,4,0.0874,-7.732,1,0.0391,104.912,4,0.564,0.9996,0.9996,0.584,Chill
16,3am,"['Jaspa', 'Chill Winston']",0.626,0.565,151173,0.44,0.000205,6,0.0893,-10.009,0,0.051,119.728,4,0.229,0.9484,0.9484,0.248,Chill
