,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,nlp_lyrics,nlp_annotations,valence+nlp,mood
0,Good & Plenty - Remix,"['Lucky Daye', 'Masego', 'Alex Isley']",0.811,0.65,204706,0.582,0.00314,9,0.0812,-6.543,0,0.101,135.894,4,0.369,0.9959,0.9959,0.3889,Chill
1,Can't Let It Show,['Tank'],0.376,0.392,217391,0.548,0.000138,6,0.084,-5.929,1,0.101,78.443,3,0.162,0.4191,0.4191,0.1704,Chill
2,Same Space? - Remix,"['Tiana Major9', 'SiR']",0.221,0.545,248413,0.387,0.0,4,0.0974,-8.558,1,0.0541,67.829,1,0.409,0.9912,0.9912,0.4288,Chill
3,Dynamite.,"['Gallant', 'Brandy']",0.799,0.358,211347,0.356,0.0,8,0.196,-7.477,0,0.0543,81.154,4,0.231,-0.988,-0.988,0.2112,Chill
4,Set Him Up (feat. Ari Lennox),"['Queen Naija', 'Ari Lennox']",0.206,0.762,222269,0.527,0.0086,1,0.0963,-7.266,0,0.203,77.493,4,0.516,0.8009,0.8009,0.532,Chill
5,Nobody But You,"['Sonder', 'Jorja Smith']",0.742,0.637,213214,0.299,0.0,7,0.359,-11.314,1,0.0366,83.872,4,0.364,0.9956,0.9956,0.3839,Chill
6,Addicted,['Joyce Wrice'],0.46,0.466,196033,0.619,0.0,1,0.0556,-6.126,1,0.0855,117.279,4,0.377,0.9389,0.9389,0.3958,Chill
7,Right,['Bri Feel'],0.662,0.441,256926,0.196,5.23e-05,6,0.104,-14.036,0,0.0558,98.925,4,0.0822,0.9238,0.9238,0.1007,Chill
8,Get Away,['Asiahn'],0.661,0.358,156635,0.534,1.07e-05,3,0.102,-4.762,0,0.0379,76.443,3,0.187,0.7149,0.7149,0.2013,Chill
9,In My Corner,['ELHAE'],0.258,0.678,188235,0.47,0.0,1,0.175,-7.306,1,0.235,89.992,4,0.272,0.9974,0.9974,0.2919,Chill
