,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,nlp_lyrics,nlp_annotations,valence+nlp,mood
0,Worst of Times,"['Trash Talk', 'Kenny Beats']",0.000521,0.608,122147,0.916,0.876,8,0.0437,-6.387,1,0.0541,132.032,4,0.533,,,0.533,Angry
1,Green,['Touché Amoré'],1.16e-05,0.547,182933,0.917,0.000227,1,0.12,-6.944,1,0.0681,90.005,4,0.3,-0.9188,-0.9188,0.2816,Angry
2,Traverse,['Typecaste'],1.24e-05,0.374,144918,0.921,0.0448,1,0.329,-2.353,1,0.0647,108.933,4,0.309,0.0,0.0,0.309,Angry
3,Bliss Out,['Drug Church'],0.00464,0.506,113000,0.986,4.98e-05,9,0.311,-3.118,1,0.124,135.549,4,0.252,-0.8028,-0.8028,0.2359,Angry
4,Purer Form of Pain,['Counterparts'],0.00235,0.248,185217,0.949,0.0,7,0.0497,-3.192,1,0.283,194.988,5,0.349,-0.9285,-0.9285,0.3304,Angry
5,Parasitic Cleanse,['Hail The Sun'],0.00183,0.223,204786,0.981,0.000159,11,0.0648,-3.483,1,0.22,180.835,3,0.165,-0.9894,-0.9894,0.1452,Angry
6,Paragons of Virtue,['Hesitation Wounds'],6.89e-06,0.149,110653,0.997,0.000574,1,0.675,-4.985,1,0.386,167.201,4,0.0335,0.7227,0.7227,0.048,Angry
7,List & Heel,['Defeater'],9.66e-06,0.409,167006,0.987,0.69,9,0.296,-2.655,0,0.0677,75.983,4,0.15,0.7964,0.7964,0.1659,Angry
8,Fade Out,['Tunic'],7.29e-06,0.162,135322,0.94,0.00111,3,0.328,-6.533,0,0.0812,108.151,4,0.226,-0.9136,-0.9136,0.2077,Angry
9,FT. FRANK TURNER,['The Armed'],8.69e-05,0.28,88040,0.988,0.945,5,0.367,-4.107,0,0.0945,104.658,4,0.0309,,,0.0309,Angry
