,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,nlp_lyrics,nlp_annotations,valence+nlp,mood
0,Escaping Time,['Benjamin Martins'],0.64,0.32,200346,0.256,0.862,10,0.112,-17.98,1,0.0445,115.011,4,0.191,-1.0,-1.0,0.171,Calm
1,Just Look at You,['369'],0.985,0.558,187386,0.249,0.925,7,0.103,-14.715,1,0.0303,94.991,4,0.111,0.9991,0.9991,0.131,Calm
2,Flowing,['Lucas Delphy'],0.896,0.2,131116,0.138,0.929,0,0.207,-20.417,1,0.0301,71.631,4,0.138,1.0,1.0,0.158,Calm
3,With Resolve,['Jacob Yoffee'],0.982,0.456,129762,0.0195,0.924,9,0.106,-33.594,1,0.04,126.086,4,0.269,,,0.269,Calm
4,Infinite Sustain,['Amaranth Cove'],0.8,0.529,149000,0.214,0.907,6,0.109,-19.268,1,0.0315,124.069,4,0.0903,0.9993,0.9993,0.1103,Calm
5,Ingénue,['Eline Moss'],0.993,0.283,158176,0.122,0.905,9,0.0927,-23.074,1,0.0285,83.746,4,0.112,-0.9968,-0.9968,0.0921,Calm
6,Hidden Chambers,['Marlee Tuaine'],0.957,0.297,169000,0.209,0.907,2,0.134,-12.715,1,0.035,141.603,3,0.0867,,,0.0867,Calm
7,The Five Times I Loved You,['Cora Zea'],0.988,0.41,205696,0.0845,0.93,4,0.109,-21.814,1,0.0327,92.033,4,0.0795,0.9996,0.9996,0.0995,Calm
8,Golden,['Clear Blue Skies'],0.483,0.521,140357,0.322,0.904,2,0.108,-14.505,1,0.0355,140.059,3,0.148,-0.7216,-0.7216,0.1336,Calm
9,Atlavík,['Hugar'],0.867,0.535,155733,0.147,0.797,2,0.0825,-25.141,1,0.0382,126.823,4,0.238,,,0.238,Calm
10,Hold the Handle,['Forest Landing'],0.895,0.219,208421,0.222,0.903,9,0.121,-18.832,0,0.0448,79.121,4,0.0396,0.9975,0.9975,0.0596,Calm
11,Vague,['Amaranth Cove'],0.881,0.32,143000,0.253,0.935,10,0.121,-17.843,0,0.0356,140.029,4,0.125,1.0,1.0,0.145,Calm
12,Collapse Into Light,['Evin Iris'],0.933,0.305,179500,0.229,0.904,1,0.104,-18.329,0,0.0334,121.599,4,0.0562,1.0,1.0,0.0762,Calm
13,Will to Live,['Jacob Yoffee'],0.949,0.434,135798,0.112,0.922,6,0.0946,-29.82,1,0.036,112.001,4,0.104,,,0.104,Calm
14,When You Left,['Rouge Haven'],0.984,0.56,177224,0.0853,0.918,5,0.108,-15.918,1,0.0324,96.646,4,0.113,0.8381,0.8381,0.1298,Calm
15,Mil Sonidos,['Reina del Mar'],0.958,0.221,192000,0.183,0.821,6,0.102,-17.59,1,0.0362,117.321,4,0.057,-0.9993,-0.9993,0.037,Calm
16,Falling Rivers,['Yolta'],0.849,0.26,218836,0.0561,0.874,9,0.112,-25.702,0,0.0346,103.122,1,0.0357,-0.9999,-0.9999,0.0157,Calm
17,Dawning,['Light of Sun'],0.64,0.526,206419,0.471,0.817,0,0.096,-11.965,1,0.0424,119.972,4,0.286,0.928,0.928,0.3046,Calm
18,Cabin Jam,['Sad Monologue'],0.689,0.477,192710,0.37,0.799,4,0.0977,-12.394,1,0.0315,179.707,4,0.638,1.0,1.0,0.658,Calm
19,What You Love You Must Love Now,['The Six Parts Seven'],0.367,0.256,322160,0.456,0.881,4,0.119,-10.865,1,0.0306,70.357,4,0.0682,0.9999,0.9999,0.0882,Calm
20,Levare,['ANDRIEU'],0.946,0.223,109771,0.0671,0.738,4,0.351,-28.043,1,0.0429,108.595,4,0.0612,0.9999,0.9999,0.0812,Calm
21,Curiosity,['Beau Projet'],0.985,0.43,155821,0.256,0.867,2,0.106,-22.088,1,0.0641,133.955,4,0.173,0.9998,0.9998,0.193,Calm
22,Squaric,['Martin Gauffin'],0.988,0.409,153152,0.212,0.903,5,0.0966,-17.016,0,0.0368,183.837,4,0.135,,,0.135,Calm
23,Between Planets,['Radical Blue'],0.828,0.521,174900,0.121,0.876,3,0.116,-19.652,0,0.0378,100.013,4,0.19,1.0,1.0,0.21,Calm
24,Coda,['Jakob Ahlbom'],0.93,0.351,180614,0.24,0.904,9,0.101,-15.363,1,0.034,79.919,3,0.0968,,,0.0968,Calm
25,The Times Are Tired,['Alaskan Tapes'],0.792,0.216,242467,0.195,0.93,8,0.102,-14.026,1,0.0382,61.555,3,0.14,0.9719,0.9719,0.1594,Calm
26,For a Moment,['Amaranth Cove'],0.945,0.551,169207,0.214,0.913,11,0.112,-17.887,0,0.0339,140.033,4,0.0471,1.0,1.0,0.0671,Calm
27,Lupina's Dream,['Lama House'],0.928,0.271,209239,0.134,0.897,2,0.111,-14.984,1,0.0327,129.814,4,0.0693,,,0.0693,Calm
28,Portico,['Gae Terragni'],0.968,0.278,219130,0.128,0.957,1,0.0967,-19.267,0,0.0426,119.969,4,0.0387,,,0.0387,Calm
29,You Want Dark Tunes?,['Ave Air'],0.702,0.403,297288,0.44,0.927,1,0.556,-12.954,1,0.0284,176.043,4,0.111,0.9996,0.9996,0.131,Calm
30,Las Violetas,['Alleppey'],0.974,0.684,173256,0.262,0.912,8,0.124,-17.085,0,0.0506,103.148,4,0.483,,,0.483,Calm
