,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,nlp_lyrics,nlp_annotations,valence+nlp,mood
0,Appreciation,['Vishal Casey'],0.99,0.206,169000,0.0132,0.974,7,0.108,-30.649,1,0.0406,74.014,3,0.0872,-1.0,-1.0,0.0672,Sleepy
1,Turndown Service,['Adeline Verver'],0.946,0.164,115800,0.0188,0.893,10,0.081,-34.105,1,0.0341,71.96,4,0.0593,,,0.0593,Sleepy
2,Tirana Wolves,['Wolves Club'],0.952,0.145,206426,0.00504,0.977,5,0.109,-31.338,1,0.0472,138.263,5,0.0373,1.0,1.0,0.0573,Sleepy
3,Sueno,['Roland Mercier'],0.961,0.174,163053,0.023,0.902,0,0.14,-34.037,1,0.0384,66.427,5,0.07,,,0.07,Sleepy
4,Origami,['Regentum'],0.992,0.185,142364,0.0165,0.968,1,0.158,-32.971,0,0.045,71.305,4,0.0459,-0.9988,-0.9988,0.0259,Sleepy
5,No Matter What,['Tuva Meyer'],0.974,0.0623,194625,0.0403,0.962,9,0.0909,-29.219,1,0.0527,62.484,4,0.0359,-0.9951,-0.9951,0.016,Sleepy
6,Portraits,['For The Lost'],0.971,0.195,193714,0.0669,0.91,8,0.0986,-27.78,0,0.0416,70.65,4,0.063,0.9882,0.9882,0.0828,Sleepy
7,Reoite,['Mila Harper'],0.957,0.0896,142638,0.0183,0.86,9,0.074,-33.507,1,0.0466,85.095,5,0.0369,-1.0,-1.0,0.0169,Sleepy
8,Monrovia,['Prescient Liquids'],0.974,0.0661,210000,0.0186,0.933,1,0.0969,-32.479,0,0.0445,70.273,4,0.0407,0.9993,0.9993,0.0607,Sleepy
9,Clear Conscience,['Benjamin Martins'],0.972,0.162,192000,0.00109,0.913,11,0.0851,-47.452,0,0.0478,109.255,4,0.0536,-1.0,-1.0,0.0336,Sleepy
10,Just Because,['Skye Baird'],0.958,0.168,171000,0.032,0.823,7,0.128,-30.525,1,0.0427,71.611,4,0.0742,0.9775,0.9775,0.0938,Sleepy
11,Views from Tower Two,['Alaskan Tapes'],0.974,0.135,393000,0.0015,0.95,10,0.103,-32.248,0,0.0487,70.412,4,0.034,1.0,1.0,0.054,Sleepy
12,Sineway,['Boreal Embla'],0.974,0.123,141138,0.00485,0.832,1,0.116,-36.102,1,0.0481,77.05,3,0.0394,1.0,1.0,0.0594,Sleepy
13,Slow Down the Night,['Maximilian Sievert'],0.975,0.175,220800,0.0171,0.915,0,0.0998,-32.054,1,0.04,80.512,4,0.0318,,,0.0318,Sleepy
14,The Nimrod Expedition,['Anthropological'],0.986,0.172,216000,0.0355,0.895,0,0.106,-30.442,1,0.0407,138.015,1,0.0386,1.0,1.0,0.0586,Sleepy
15,Moment To Moment,['Modal Colours'],0.946,0.113,155202,0.0413,0.886,5,0.103,-29.786,1,0.0432,78.745,4,0.152,1.0,1.0,0.172,Sleepy
16,cloudwalking,"['oh, the joy.']",0.926,0.162,156739,0.0323,0.809,6,0.11,-40.145,1,0.0545,130.908,3,0.0343,,,0.0343,Sleepy
17,Eternal Glow,['Soothe My Soul'],0.973,0.0791,167500,0.00782,0.94,3,0.107,-38.003,1,0.0594,83.457,4,0.0345,0.9841,0.9841,0.0542,Sleepy
18,Norrbotten,['Lugnet före stormen'],0.797,0.161,156000,0.0276,0.833,1,0.106,-31.676,1,0.043,69.962,3,0.083,,,0.083,Sleepy
19,Define,['Till Kahn'],0.541,0.142,208421,0.159,0.783,0,0.104,-24.167,1,0.0378,139.901,3,0.0576,-0.9877,-0.9877,0.0378,Sleepy
20,Querencia,['Cameron Sinosa'],0.991,0.17,194649,0.00316,0.931,5,0.111,-38.615,0,0.0422,70.964,3,0.0946,,,0.0946,Sleepy
21,Mahola,['Turquoise Palms'],0.827,0.0851,232000,0.199,0.766,0,0.108,-25.653,1,0.0447,77.681,4,0.054,,,0.054,Sleepy
22,Gravitational Waves,['Ocean Mysteries'],0.861,0.134,200776,0.107,0.575,7,0.105,-27.483,1,0.0444,144.29,3,0.0357,1.0,1.0,0.0557,Sleepy
23,Neogothic,['Elivvia'],0.89,0.171,213291,0.00773,0.828,8,0.11,-27.732,1,0.0404,136.192,1,0.0292,,,0.0292,Sleepy
24,Cartography Of Water,['Beautiful Storms'],0.898,0.175,167295,0.0822,0.793,0,0.0704,-25.286,1,0.0414,77.682,4,0.0304,0.9985,0.9985,0.0504,Sleepy
25,Acending,['So Jao'],0.97,0.205,174748,0.0406,0.979,5,0.143,-30.85,1,0.0462,87.113,3,0.0592,0.9979,0.9979,0.0792,Sleepy
26,Contemplation,['Spirit Minds'],0.73,0.137,200000,0.125,0.958,0,0.0927,-23.093,1,0.0433,78.996,3,0.0328,0.9998,0.9998,0.0528,Sleepy
27,Schlafmittel,['Felix Hertzog'],0.938,0.152,168000,0.012,0.805,0,0.101,-34.256,1,0.0458,68.978,3,0.0939,,,0.0939,Sleepy
28,La amabilidad,['Amor de la luna'],0.936,0.154,143406,0.0121,0.675,11,0.134,-33.914,1,0.041,135.653,3,0.0379,0.9961,0.9961,0.0578,Sleepy
29,Tones Of Sleep,['Shoo Zen'],0.9,0.218,132261,0.0185,0.769,0,0.109,-33.584,0,0.0787,143.386,5,0.489,-0.9977,-0.9977,0.469,Sleepy
30,Universo,['Universo'],0.971,0.0697,176953,0.0936,0.84,3,0.09,-22.559,1,0.0459,76.302,4,0.0262,0.5255,0.5255,0.0367,Sleepy
31,The Journey,['Malik Jeremiassen'],0.93,0.165,157000,0.0375,0.939,9,0.0855,-30.391,1,0.0446,75.222,4,0.0654,,,0.0654,Sleepy
32,Mirrors,['Tairata'],0.979,0.181,138361,0.00879,0.937,5,0.0957,-33.139,1,0.0458,69.255,1,0.0478,1.0,1.0,0.0678,Sleepy
33,Perspective,['Jorin Williams'],0.938,0.129,176636,0.0376,0.892,6,0.112,-34.587,1,0.0399,68.571,4,0.0516,0.9992,0.9992,0.0716,Sleepy
34,Bylgjur,['Einingu'],0.799,0.106,141062,0.0202,0.769,8,0.109,-32.719,1,0.043,92.214,3,0.0342,,,0.0342,Sleepy
35,I´ll See A Light,['Tryggve Malmberg'],0.934,0.147,148500,0.104,0.811,4,0.102,-27.913,1,0.0423,70.876,5,0.0405,,,0.0405,Sleepy
36,From Above,['Jack Rosslyn'],0.771,0.148,139272,0.0299,0.994,0,0.112,-27.491,1,0.043,67.556,5,0.0308,,,0.0308,Sleepy
37,Long Distances,['Counting Tides'],0.866,0.0977,172375,0.0338,0.842,0,0.0863,-34.726,1,0.0463,60.525,4,0.0373,0.9985,0.9985,0.0573,Sleepy
38,Beautiful Imagination,['Little Circuits'],0.797,0.102,143053,0.0333,0.927,3,0.111,-34.177,1,0.0476,89.605,4,0.0591,0.9998,0.9998,0.0791,Sleepy
39,always,['Florence Adame'],0.989,0.196,176500,0.0409,0.997,7,0.0867,-27.052,1,0.0422,67.264,5,0.0342,1.0,1.0,0.0542,Sleepy
40,Stellaristique Vision,['Degravitated'],0.802,0.22,206769,0.162,0.913,1,0.105,-22.44,0,0.0332,63.806,4,0.039,,,0.039,Sleepy
41,Deep Soul,['Sydney Woods'],0.934,0.162,163909,0.172,0.845,2,0.1,-22.401,1,0.0585,89.49,3,0.115,0.9984,0.9984,0.135,Sleepy
