,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,nlp_lyrics,nlp_annotations,valence+nlp,mood
0,Remedies,"['Mollie Collins', 'Ruth Royall']",0.0172,0.477,282759,0.581,0.0,8,0.109,-8.765,0,0.0569,85.375,4,0.0473,0.6954,0.6954,0.0612,Energised
1,Easier (feat. LOWES) - Sub Focus Remix,"['CamelPhat', 'LOWES', 'Sub Focus']",0.0509,0.439,276373,0.924,3.39e-05,11,0.0911,-2.959,0,0.0415,174.048,4,0.0468,,,0.0468,Energised
2,Frontline,['Wilkinson'],0.000999,0.426,243000,0.983,0.924,5,0.0883,-3.553,0,0.0533,174.0,4,0.125,0.0,0.0,0.125,Energised
3,Reason,"['The Prototypes', 'LOWES']",0.0566,0.411,247586,0.863,1.69e-05,2,0.172,-2.512,1,0.0528,173.975,4,0.0604,-0.9969,-0.9969,0.0405,Energised
4,Falling Down,"['Friction', 'Poppy Baskcomb']",0.00105,0.481,228645,0.87,0.00634,9,0.304,-4.521,1,0.0362,173.929,4,0.0948,0.5007,0.5007,0.1048,Energised
5,I Got You (feat. Tyler Daley),"['SHY FX', 'Breakage', 'Break', 'Tyler Daley']",0.00853,0.611,262588,0.83,0.0803,5,0.119,-3.329,1,0.107,169.662,4,0.192,,,0.192,Energised
6,That Feeling,['Bensley'],0.000826,0.277,228966,0.989,0.831,1,0.171,-0.813,1,0.0669,173.985,4,0.245,0.9991,0.9991,0.265,Energised
7,Mystery,['Blanke'],0.0167,0.505,248276,0.962,0.101,2,0.269,-3.596,1,0.395,174.05,4,0.0723,0.8841,0.8841,0.09,Energised
8,Forget the Rain,"['Paper Dragon', 'Grafix']",0.0316,0.411,226207,0.959,0.000595,2,0.131,-2.467,1,0.0459,173.887,4,0.391,-0.9991,-0.9991,0.371,Energised
9,Take Me There,['Krakota'],0.000232,0.375,278621,0.978,0.337,0,0.294,-3.08,0,0.0645,173.988,4,0.0807,,,0.0807,Energised
10,A Taste of Hope,['IMANU'],0.0264,0.422,223281,0.772,0.555,1,0.0741,-4.674,1,0.0875,75.66,1,0.0791,-0.9849,-0.9849,0.0594,Energised
11,Flex,"['K Motionz', 'Simula']",0.109,0.576,309771,0.645,0.0369,11,0.378,-5.573,1,0.129,87.435,4,0.194,0.836,0.836,0.2107,Energised
12,Gimmie a Sec,"['Lenzman', 'Danny Sanchez']",0.00625,0.604,271762,0.917,0.03,2,0.117,-2.657,0,0.0561,170.055,4,0.819,,,0.819,Energised
13,Cadence - VIP,"['Metrik', 'Reija Lee']",0.000264,0.512,231824,0.793,0.598,1,0.308,-2.668,0,0.057,174.095,4,0.038,,,0.038,Energised
14,Poison,"['Maduk', 'Gid Sedgwick']",0.000417,0.333,272257,0.955,0.0151,6,0.0921,-4.034,0,0.043,173.96,4,0.167,-0.9761,-0.9761,0.1475,Energised
15,Glitter (feat. Ambré Perkins) - Netsky Remix,"['Keys N Krates', 'Ambré', 'Netsky']",0.0257,0.426,173793,0.676,0.0996,8,0.166,-6.119,1,0.0781,173.938,4,0.331,,,0.331,Energised
16,Everything Boss,"['The Sauce', 'Fox']",0.0194,0.775,292222,0.751,2.54e-05,11,0.377,-0.33,0,0.294,175.028,4,0.6,0.9939,0.9939,0.6199,Energised
17,Sensory Division,['Dimension'],0.0537,0.482,297931,0.945,0.579,8,0.0981,-2.265,0,0.0595,173.963,4,0.136,-0.4939,-0.4939,0.1261,Energised
18,Magnify - Justin Hawkes Remix,"['Lexurus', 'Rhode', 'Justin Hawkes']",0.000123,0.384,287241,0.962,0.775,8,0.74,-1.317,0,0.0546,173.976,4,0.0343,0.8156,0.8156,0.0506,Energised
19,What We Gonna Do,"['Harriet Jaxxon', 'Tali']",0.00073,0.591,245526,0.845,0.00815,10,0.0888,-3.558,0,0.0381,175.014,4,0.323,,,0.323,Energised
20,All You Ever Wanted (Sub Focus Remix),"[""Rag'n'Bone Man"", 'Sub Focus']",0.00892,0.378,261307,0.674,0.118,2,0.143,-3.761,1,0.0345,174.082,4,0.0539,,,0.0539,Energised
21,Michael Knight,"['SHY FX', 'Breakage']",0.000693,0.628,178028,0.995,0.835,1,0.0901,-3.073,1,0.21,173.956,4,0.268,,,0.268,Energised
22,Searching For,"['Linguistics', 'GLXY', 'Charlie Perry']",0.0153,0.611,184113,0.897,0.0139,11,0.076,-4.432,0,0.123,174.07,4,0.0389,0.9784,0.9784,0.0585,Energised
23,Turn Back Time - Wilkinson Remix,"['Diplo', 'Sonny Fodera', 'Wilkinson']",0.036,0.5,253793,0.952,0.196,10,0.139,-4.238,0,0.0458,173.941,4,0.331,,,0.331,Energised
24,Save Me From Myself - Harriet Jaxxon Remix,"['Voltage', 'Harriet Jaxxon']",0.00918,0.413,261753,0.861,0.00237,10,0.355,-4.156,0,0.21,174.005,4,0.0643,,,0.0643,Energised
25,Bringing Me Down,['Maduk'],0.00852,0.419,249529,0.911,0.702,10,0.0784,-4.378,0,0.0458,173.993,4,0.206,,,0.206,Energised
26,Devices,['Dub Elements'],0.00967,0.531,273561,0.89,0.827,4,0.103,-5.672,1,0.13,174.04,4,0.0993,1.0,1.0,0.1193,Energised
27,YES - Fox Stevenson Remix,"['Koven', 'Fox Stevenson']",0.000374,0.539,221860,0.965,0.0143,9,0.102,-2.527,0,0.211,172.06,4,0.222,0.9975,0.9975,0.2419,Energised
28,Waterfalls,['Murdock'],0.000959,0.512,269943,0.826,0.00206,2,0.238,-4.072,1,0.0325,87.506,4,0.0399,-0.9827,-0.9827,0.0202,Energised
29,Under,"['Pola & Bryson', 'Lauren Archer']",0.0217,0.566,272546,0.859,0.0188,7,0.106,-4.718,1,0.0661,86.959,4,0.0355,0.9828,0.9828,0.0552,Energised
30,Ride To You,['K Motionz'],0.0472,0.724,275866,0.933,0.261,10,0.114,-2.112,0,0.0739,86.995,4,0.523,-0.9994,-0.9994,0.503,Energised
31,Going Nowhere Soon,"['FooR', 'Cameron Bloomfield']",0.108,0.609,165129,0.459,0.0,6,0.0943,-6.398,1,0.0438,174.961,4,0.292,-0.942,-0.942,0.2732,Energised
32,Oracle,"['Audioscribe', 'Aleya Mae']",0.0931,0.283,256552,0.441,0.186,3,0.112,-7.238,0,0.0459,87.019,4,0.0387,,,0.0387,Energised
33,Deconstruct,['Culture Shock'],0.00066,0.494,281379,0.968,0.874,8,0.539,-2.59,1,0.0497,173.912,4,0.133,0.9542,0.9542,0.1521,Energised
34,Alive (feat. Poppy Baskcomb),"['Dimension', 'Poppy Baskcomb']",0.0718,0.393,248276,0.989,1.52e-05,2,0.328,-0.424,1,0.0706,173.972,4,0.186,0.9922,0.9922,0.2058,Energised
35,Run,"['BCee', 'Dynamite MC']",0.00016,0.709,237309,0.978,0.901,2,0.263,-2.063,1,0.0566,172.03,4,0.818,-0.9971,-0.9971,0.7981,Energised
36,Light Up,['Koven'],0.00304,0.477,237241,0.924,0.006,0,0.186,-1.865,1,0.0437,173.996,4,0.144,-0.8725,-0.8725,0.1265,Energised
37,Sleepwalker,"['Nu:Tone', 'Charlotte Haining']",0.00169,0.362,349881,0.781,0.251,5,0.356,-4.924,0,0.0413,86.987,4,0.068,0.9159,0.9159,0.0863,Energised
38,Woman - Original,['Cyantific'],0.000109,0.439,233103,0.959,0.564,7,0.106,-2.126,0,0.0499,173.936,4,0.0369,0.9999,0.9999,0.0569,Energised
39,Hold On,"['Subsonic', 'Ruth Royall']",0.0391,0.44,226207,0.967,0.339,1,0.673,-3.252,0,0.0666,173.986,4,0.18,-0.8354,-0.8354,0.1633,Energised
40,Deliverance,['Polaris'],0.00119,0.433,292428,0.959,0.917,10,0.11,-3.102,0,0.0464,174.018,4,0.0349,-0.9724,-0.9724,0.0155,Energised
41,Junipero,"['Jack Mirror', 'Elle Exxe']",0.00328,0.512,253793,0.944,0.00947,10,0.387,-2.254,0,0.0394,174.019,4,0.554,1.0,1.0,0.574,Energised
42,Continua,"['Lexurus', 'Dualistic']",8.06e-05,0.493,252504,0.992,0.906,5,0.146,-2.258,0,0.0664,174.056,4,0.12,,,0.12,Energised
43,Instinct,['Kumarion'],0.000418,0.644,230962,0.951,0.231,1,0.346,-3.561,1,0.163,174.92,4,0.179,-0.9997,-0.9997,0.159,Energised
44,Alchemy,['Blanke'],0.0585,0.547,286897,0.92,0.542,1,0.109,-2.982,1,0.0629,174.004,4,0.0685,,,0.0685,Energised
45,Full Send,['1991'],0.0363,0.514,229138,0.956,0.0759,5,0.123,-0.846,0,0.0297,173.955,4,0.489,0.9836,0.9836,0.5087,Energised
46,Air I Breathe - Sub Focus & Wilkinson,"['Sub Focus', 'Wilkinson']",0.0995,0.431,252170,0.922,0.0118,5,0.173,-4.417,0,0.0504,174.023,4,0.0457,0.0,0.0,0.0457,Energised
47,Danger (feat. MC GQ),"['Dimension', 'MC GQ']",0.0223,0.606,182069,0.996,0.61,9,0.322,0.07,0,0.277,173.962,4,0.261,-0.9062,-0.9062,0.2429,Energised
48,I'll Never Change,"['SØL', 'Alec Primavera']",0.0689,0.612,235886,0.822,0.0207,1,0.119,-1.983,1,0.0466,175.032,4,0.0684,-0.9949,-0.9949,0.0485,Energised
49,Empty Bottles,"['Grafix', 'Degs']",0.0231,0.584,248389,0.685,0.000391,11,0.0732,-3.137,1,0.0396,86.977,4,0.0792,-0.9916,-0.9916,0.0594,Energised
50,One Day At A Time,"['Nu:Tone', 'Lalin St. Juste']",0.0227,0.67,233095,0.8,0.657,6,0.0742,-4.433,1,0.0623,173.977,4,0.726,-0.8417,-0.8417,0.7092,Energised
51,Lost,['Culture Shock'],0.0711,0.542,241379,0.947,0.0157,8,0.641,-1.946,0,0.0634,173.979,4,0.457,-0.9965,-0.9965,0.4371,Energised
52,Need Me,['Subsonic'],0.00736,0.459,247750,0.966,0.452,8,0.133,-3.142,0,0.13,175.078,4,0.538,-0.989,-0.989,0.5182,Energised
53,All Eyes On Me,['Fox Stevenson'],0.00183,0.448,180699,0.917,6.13e-06,11,0.294,-2.938,0,0.0797,172.1,4,0.603,-0.7634,-0.7634,0.5877,Energised
54,Love Is Not Enough - Hybrid Minds Remix,"['Above & Beyond', 'Zoë Johnston', 'Hybrid Minds']",0.00343,0.412,303448,0.869,0.227,10,0.111,-1.557,0,0.0463,174.017,4,0.0604,0.999,0.999,0.0804,Energised
55,Follow Me,['ShockOne'],0.000753,0.492,230984,0.983,0.00367,1,0.716,-3.134,1,0.102,175.006,4,0.804,-0.9312,-0.9312,0.7854,Energised
56,Affirmations,"['Echo Brown', 'KinKai']",0.000311,0.646,290371,0.968,0.216,2,0.263,-5.148,1,0.0716,174.001,4,0.0887,1.0,1.0,0.1087,Energised
