,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,nlp_lyrics,nlp_annotations,valence+nlp,mood
0,Sorry,['Joel Corry'],0.0547,0.744,188640,0.79,0.000802,8,0.32,-4.617,0,0.0562,125.002,4,0.847,-0.9915,-0.9915,0.8272,Energised
1,Latch,"['Disclosure', 'Sam Smith']",0.0159,0.503,255632,0.727,9.45e-05,1,0.0895,-5.456,1,0.167,121.985,4,0.521,0.987,0.987,0.5407,Energised
2,Say Something - Zac Samuel Remix,"['Karen Harding', 'Zac Samuel']",0.0121,0.701,213135,0.667,6.53e-06,7,0.148,-6.177,1,0.0361,119.975,4,0.675,0.6124,0.6124,0.6872,Energised
3,Desire - Gryffin Remix,"['Years & Years', 'Gryffin']",0.0606,0.543,268840,0.876,0.0,10,0.157,-5.069,0,0.0512,122.058,4,0.415,0.9996,0.9996,0.435,Energised
4,My Love (feat. Jess Glynne),"['Route 94', 'Jess Glynne']",0.000132,0.814,259934,0.622,0.72,8,0.0658,-7.573,1,0.0492,119.976,4,0.726,0.9985,0.9985,0.746,Energised
5,Need U (100%) [feat. A*M*E] - Radio Edit,"['Duke Dumont', 'A*M*E']",0.00176,0.681,174853,0.835,0.00183,0,0.354,-5.705,0,0.049,124.047,4,0.469,,,0.469,Energised
6,Ready For Your Love,"['Gorgon City', 'MNEK']",0.0531,0.677,198881,0.753,0.0128,5,0.333,-7.038,1,0.154,121.939,4,0.471,0.9996,0.9996,0.491,Energised
7,Body (feat. brando),"['Loud Luxury', 'Brando']",0.0476,0.752,163216,0.764,9.44e-05,1,0.0543,-4.399,1,0.038,121.958,4,0.582,0.9901,0.9901,0.6018,Energised
8,Would You Ever,"['Skrillex', 'Poo Bear']",0.0079,0.653,234286,0.91,0.0,10,0.318,-3.36,1,0.0566,126.047,4,0.0921,0.9419,0.9419,0.1109,Energised
9,Memories (feat. Kid Cudi),"['David Guetta', 'Kid Cudi']",0.00144,0.546,210853,0.916,4.34e-06,8,0.251,-3.932,1,0.255,129.983,4,0.375,0.5202,0.5202,0.3854,Energised
10,Your Love (9PM),"['ATB', 'Topic', 'A7S']",0.194,0.669,150053,0.784,6.28e-06,7,0.115,-5.603,1,0.112,125.993,4,0.517,0.9966,0.9966,0.5369,Energised
11,Be Right There,"['Diplo', 'Sleepy Tom', 'Cameron Thomas Tatham']",0.00259,0.695,237051,0.797,0.112,7,0.664,-5.199,1,0.0548,124.972,4,0.297,0.9984,0.9984,0.317,Energised
12,Bad At Love - Dillon Francis Remix,"['Halsey', 'Dillon Francis']",0.189,0.736,200727,0.949,0.0169,9,0.067,-3.246,0,0.0527,109.991,4,0.687,0.999,0.999,0.707,Energised
13,I Got U,"['Duke Dumont', 'Jax Jones']",0.00377,0.636,285596,0.761,0.00784,9,0.0851,-7.752,0,0.035,120.837,4,0.463,0.9726,0.9726,0.4825,Energised
14,Nevada,"['Vicetone', 'Cozi Zuehlsdorff']",0.299,0.605,208562,0.783,0.000175,3,0.133,-4.271,1,0.0324,124.015,4,0.105,0.9975,0.9975,0.125,Energised
15,New - Ryan Riback Remix,"['Daya', 'Ryan Riback']",0.00347,0.741,206294,0.659,0.000425,0,0.251,-7.894,1,0.0388,110.049,4,0.196,0.9964,0.9964,0.2159,Energised
16,Outside,"['Calvin Harris', 'Ellie Goulding']",0.193,0.645,227267,0.803,0.0,2,0.304,-4.667,0,0.0398,128.019,4,0.449,0.9835,0.9835,0.4687,Energised
17,Glitch,"['Martin Garrix', 'Julian Jordan']",0.055,0.715,185161,0.792,0.0236,2,0.269,-6.4,0,0.0325,128.024,4,0.357,,,0.357,Energised
18,Your Love (9PM),"['ATB', 'Topic', 'A7S']",0.194,0.669,150053,0.784,6.28e-06,7,0.115,-5.603,1,0.112,125.993,4,0.517,0.9966,0.9966,0.5369,Energised
19,Seek Bromance - Avicii Vocal Edit,"['Tim Berg', 'Avicii']",0.0896,0.49,200992,0.811,0.0,1,0.0898,-2.524,0,0.044,125.965,4,0.547,,,0.547,Energised
20,Never Sleep Alone (feat. Tess Comrie),"['Kaskade', 'Tess Comrie']",0.185,0.621,224133,0.831,0.000925,6,0.102,-3.793,0,0.038,125.946,4,0.527,0.985,0.985,0.5467,Energised
21,Wild Things - Young Bombs Remix,"['Alessia Cara', 'G-Eazy', 'Young Bombs']",0.00477,0.675,242440,0.771,0.0,1,0.202,-5.197,0,0.169,106.043,4,0.432,-0.9833,-0.9833,0.4123,Energised
22,Take Me Home (feat. Bebe Rexha),"['Cash Cash', 'Bebe Rexha']",0.0615,0.571,206320,0.903,1.23e-06,7,0.186,-2.184,1,0.214,127.951,4,0.477,-0.4522,-0.4522,0.468,Energised
23,Rinse & Repeat - Radio Edit,"['Riton', 'Kah-Lo']",0.0377,0.78,151230,0.726,0.00337,6,0.133,-6.486,1,0.0612,122.007,4,0.623,,,0.623,Energised
24,Consideration - MK Remix,"['Rihanna', 'SZA', 'MK']",0.0207,0.693,235307,0.893,0.0,0,0.204,-4.26,1,0.0504,130.053,4,0.342,0.8531,0.8531,0.3591,Energised
25,The Nights,['Avicii'],0.0166,0.527,176658,0.835,0.0,6,0.249,-5.298,1,0.0433,125.983,4,0.654,0.3265,0.3265,0.6605,Energised
26,Angel,"['DVBBS', 'Dante Leon']",0.0247,0.512,209652,0.85,0.0,7,0.334,-4.956,0,0.0329,128.031,4,0.331,0.9836,0.9836,0.3507,Energised
27,I Would Like - Gorgon City Remix,"['Zara Larsson', 'Gorgon City']",0.00806,0.719,263655,0.557,0.00877,2,0.0965,-6.187,0,0.0355,121.997,4,0.488,0.9994,0.9994,0.508,Energised
28,Runaway (U & I),['Galantis'],0.00711,0.506,227074,0.805,0.00193,1,0.0856,-4.119,1,0.0469,126.008,4,0.383,-0.1531,-0.1531,0.3799,Energised
29,Sweet Nothing (feat. Florence Welch),"['Calvin Harris', 'Florence Welch']",0.197,0.573,212560,0.929,0.000112,8,0.0567,-3.942,0,0.109,127.934,4,0.582,0.9946,0.9946,0.6019,Energised
30,Love Me Again - Kove Remix,"['John Newman', 'Kove']",0.00572,0.543,260667,0.845,0.0,2,0.37,-4.282,0,0.257,174.057,4,0.341,0.9958,0.9958,0.3609,Energised
31,Take My Breath Away,['Alesso'],0.0567,0.533,188710,0.9,0.0,10,0.351,-3.891,0,0.131,120.938,4,0.505,0.9766,0.9766,0.5245,Energised
32,We All Fall Down,"['A-Trak', 'Jamie Lidell']",0.0023,0.651,221035,0.906,1.2e-06,11,0.344,-2.619,1,0.0366,126.036,4,0.43,0.2493,0.2493,0.435,Energised
33,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,"['Lana Del Rey', 'Cedric Gervais']",0.0157,0.572,214912,0.81,6.53e-06,1,0.13,-5.791,0,0.0558,126.052,4,0.11,,,0.11,Energised
34,Sick Boy - Trobi Remix,"['The Chainsmokers', 'Trobi']",0.0136,0.726,169187,0.748,0.0,4,0.217,-4.819,0,0.111,107.986,4,0.349,-0.9924,-0.9924,0.3292,Energised
35,The One - Radio Edit,['W&W'],0.169,0.614,148738,0.922,0.00664,2,0.197,-3.257,1,0.23,126.025,4,0.615,0.999,0.999,0.635,Energised
36,Where Have You Been,['Rihanna'],0.00201,0.719,242680,0.847,0.0204,0,0.223,-6.34,0,0.0916,127.963,4,0.444,0.9785,0.9785,0.4636,Energised
37,Let Me Think About It,"['Ida Corr', 'Fedde Le Grand']",0.00022,0.762,151973,0.754,0.0665,0,0.146,-3.425,0,0.046,129.026,4,0.715,0.9883,0.9883,0.7348,Energised
38,The Right Song,"['Tiësto', 'Oliver Heldens', 'Natalie La Rose']",0.459,0.546,205440,0.894,0.000106,8,0.322,-3.56,1,0.0898,125.031,4,0.387,0.6424,0.6424,0.3998,Energised
39,House Work,"['Jax Jones', 'Mike Dunn', 'MNEK']",0.253,0.759,157208,0.947,0.255,11,0.0498,-5.261,0,0.0655,123.964,4,0.726,0.8295,0.8295,0.7426,Energised
40,Love Myself - KREAM Remix,"['Hailee Steinfeld', 'Daniel Slettebakken', 'Ian Spurrier', ""K'ream""]",0.00764,0.775,221720,0.772,1.26e-05,7,0.0515,-4.79,0,0.0962,124.947,4,0.274,0.9984,0.9984,0.294,Energised
41,Sweet Escape,"['Alesso', 'Sirena']",0.0736,0.566,232533,0.851,1.07e-06,2,0.198,-3.799,1,0.0389,126.046,4,0.511,0.867,0.867,0.5283,Energised
42,Astronomia - Never Go Home,['Tony Igy'],0.0424,0.697,156888,0.81,0.000233,6,0.322,-5.128,0,0.0669,125.979,4,0.558,0.4504,0.4504,0.567,Energised
43,Insomnia - King Topher Remix,"['Daya', 'King Topher']",0.0107,0.733,176098,0.718,0.0102,4,0.33,-7.149,0,0.0376,122.993,4,0.206,,,0.206,Energised
44,How Deep Is Your Love,"['Calvin Harris', 'Disciples']",0.0392,0.738,212640,0.868,0.00169,11,0.388,-4.373,0,0.0731,122.003,4,0.336,0.9992,0.9992,0.356,Energised
45,Your Song - Cheat Codes Remix,"['Rita Ora', 'Cheat Codes']",0.0288,0.728,215593,0.755,0.0,1,0.295,-4.359,1,0.0307,118.003,4,0.424,0.9991,0.9991,0.444,Energised
46,Personal - PBH & Jack Shizzle Remix,"['HRVY', 'PBH & JACK']",0.0103,0.728,158210,0.813,0.0,1,0.256,-4.296,1,0.0859,126.043,4,0.666,0.9343,0.9343,0.6847,Energised
47,Chasing The Sun - Tantrum Desire Remix,['The Wanted'],0.00138,0.593,322978,0.948,0.00157,7,0.253,-6.164,0,0.0324,140.034,4,0.5,0.9898,0.9898,0.5198,Energised
48,I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit,"['Avicii', 'Nicky Romero']",0.332,0.509,208316,0.79,6.67e-05,6,0.316,-3.782,0,0.0374,127.946,4,0.638,0.9878,0.9878,0.6578,Energised
49,Mr. Navigator,"['Armin van Buuren', 'Tempo Giusto']",0.0212,0.759,152239,0.948,0.336,1,0.366,-5.465,1,0.114,134.085,4,0.181,0.9972,0.9972,0.2009,Energised
50,Antidote - Radio Edit,"['Swedish House Mafia', 'Knife Party']",0.00645,0.648,177250,0.859,0.0282,7,0.135,-4.974,1,0.111,128.03,4,0.633,-0.9653,-0.9653,0.6137,Energised
51,Beautiful Heartbeat (feat. Frida Sundemo) - Radio Edit,"['MORTEN', 'Frida Sundemo']",0.156,0.32,201350,0.575,0.000355,2,0.0563,-8.597,0,0.0824,78.306,4,0.12,,,0.12,Energised
52,Hands To Myself - Fareoh Remix,"['Selena Gomez', 'Fareoh']",0.000629,0.686,181093,0.736,0.0358,8,0.229,-3.93,1,0.0337,111.0,4,0.0795,0.9613,0.9613,0.0987,Energised
53,Paradise - Tiësto Remix,"['Coldplay', 'Tiësto']",0.0123,0.637,286347,0.736,0.14,2,0.0798,-6.003,0,0.0404,130.015,4,0.643,0.9959,0.9959,0.6629,Energised
54,Silenced By The Night [Alesso vs. Keane] - Alesso Remix,"['Keane', 'Alesso']",0.00693,0.563,373125,0.724,0.056,1,0.0886,-8.174,1,0.0305,127.99,4,0.13,0.9607,0.9607,0.1492,Energised
55,Grapevine,['Tiësto'],0.00514,0.714,150968,0.828,0.154,3,0.32,-4.663,1,0.0598,124.034,4,0.208,-0.9825,-0.9825,0.1883,Energised
56,Cutting Shapes,['Don Diablo'],0.0254,0.715,179048,0.914,0.0,0,0.0961,-3.87,1,0.214,125.826,4,0.565,0.3612,0.3612,0.5722,Energised
57,Save The World,['Swedish House Mafia'],0.0144,0.507,213338,0.665,0.0,0,0.0759,-7.598,1,0.0474,126.879,4,0.4,0.9932,0.9932,0.4199,Energised
58,Think Before I Talk - Cahill Remix,"['Astrid S', 'Cahill']",0.00372,0.726,192000,0.934,3.18e-05,0,0.142,-2.504,1,0.0596,124.988,4,0.65,0.9531,0.9531,0.6691,Energised
59,+ 1 - Radio Edit,"['Martin Solveig', 'SAM WHITE']",0.114,0.767,193300,0.807,0.0174,11,0.0932,-3.824,0,0.0368,124.941,4,0.715,0.9996,0.9996,0.735,Energised
60,Center of the Universe - Radio Edit,['Axwell'],0.0042,0.599,217760,0.839,0.0592,4,0.37,-5.226,1,0.0335,128.998,4,0.317,-0.9995,-0.9995,0.297,Energised
61,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,"['Nathan Evans', '220 KID', 'Billen Ted']",0.0441,0.722,116750,0.893,0.000937,0,0.0673,-3.255,0,0.0475,119.932,4,0.439,-0.9094,-0.9094,0.4208,Energised
62,New Rules - KREAM Remix,"['Dua Lipa', 'KREAM']",0.00638,0.548,280853,0.752,0.000345,9,0.0966,-5.456,0,0.111,122.008,4,0.429,0.9408,0.9408,0.4478,Energised
63,If I Lose Myself - Alesso vs OneRepublic,"['OneRepublic', 'Alesso']",0.258,0.519,215187,0.754,3.75e-06,2,0.139,-5.689,1,0.0402,125.975,4,0.16,-0.9493,-0.9493,0.141,Energised
64,I'm Blue - Club Mix,['Kush Kush'],0.0456,0.735,150000,0.915,0.000152,0,0.238,-5.082,0,0.0475,124.007,4,0.615,-0.8288,-0.8288,0.5984,Energised
65,Heroes (we could be),"['Alesso', 'Tove Lo']",0.0305,0.503,210013,0.748,0.0,5,0.343,-4.124,1,0.0619,125.896,4,0.356,0.9983,0.9983,0.376,Energised
66,Fuego,"['R3HAB', 'Skytech']",0.0998,0.639,136406,0.748,0.000864,5,0.407,-6.918,0,0.133,128.056,4,0.538,0.7772,0.7772,0.5535,Energised
67,Under Control (feat. Hurts),"['Calvin Harris', 'Alesso', 'Hurts']",0.129,0.544,184280,0.915,0.000914,8,0.115,-3.405,1,0.0841,126.094,4,0.51,0.91,0.91,0.5282,Energised
68,Wombass,"['Tiësto', 'Oliver Heldens']",0.31,0.647,240010,0.901,0.724,8,0.928,-5.381,1,0.0433,125.023,4,0.304,0.0,0.0,0.304,Energised
