,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,nlp_lyrics,nlp_annotations,valence+nlp,mood
0,This Will Be (An Everlasting Love),['Natalie Cole'],0.185,0.682,171360,0.605,0.00326,8,0.0469,-10.771,1,0.0403,125.96,4,0.914,0.998,0.998,0.934,Happy
1,Don’t You Know,['Durand Jones & The Indications'],0.637,0.68,200687,0.658,4.27e-05,4,0.107,-4.186,0,0.0339,96.041,4,0.722,0.999,0.999,0.742,Happy
2,Come On In,['Lady Wray'],0.165,0.653,218966,0.445,0.0167,5,0.128,-8.749,0,0.0248,80.725,4,0.688,0.9705,0.9705,0.7074,Happy
3,Blessed with the Best,['Lee Fields & The Expressions'],0.303,0.591,229720,0.653,0.000741,1,0.0709,-4.708,1,0.0499,161.726,4,0.904,0.9993,0.9993,0.924,Happy
4,Coming Home,['Leon Bridges'],0.461,0.427,206387,0.465,5.52e-05,6,0.154,-6.595,1,0.0291,112.137,3,0.458,0.8316,0.8316,0.4746,Happy
5,You Send Me - Remastered,['Sam Cooke'],0.883,0.565,163267,0.286,0.0,4,0.178,-10.871,0,0.0289,95.964,4,0.487,1.0,1.0,0.507,Happy
6,The Oogum Boogum Song,['Brenton Wood'],0.765,0.885,153413,0.64,0.0,7,0.247,-5.305,1,0.0431,112.658,4,0.851,0.9712,0.9712,0.8704,Happy
7,Lovely Day,['Bill Withers'],0.179,0.702,251467,0.658,0.000636,9,0.1,-7.835,1,0.0332,97.851,4,0.736,0.9999,0.9999,0.756,Happy
8,How Long Do I Have to Wait for You?,['Sharon Jones & The Dap-Kings'],0.469,0.674,243760,0.909,0.0131,10,0.105,-3.369,0,0.0464,103.942,4,0.969,0.9686,0.9686,0.9884,Happy
9,It's A Shame,['The Spinners'],0.0952,0.411,191960,0.788,0.0,8,0.175,-10.197,0,0.109,198.435,4,0.612,-0.9975,-0.9975,0.592,Happy
10,Last One Standing,['Monophonics'],0.217,0.588,436840,0.576,0.0354,6,0.172,-6.945,0,0.0367,129.157,4,0.661,,,0.661,Happy
11,I Don't Wanna Lie,['Yola'],0.3,0.562,181535,0.821,0.0,5,0.519,-5.082,1,0.0277,105.512,4,0.893,0.8807,0.8807,0.9106,Happy
12,Ladies,['Lee Fields & The Expressions'],0.188,0.48,257387,0.751,1.69e-05,1,0.163,-5.702,0,0.0383,177.371,4,0.789,0.9981,0.9981,0.809,Happy
13,Good To You,['Jonny P'],0.358,0.789,158855,0.38,0.0207,1,0.0928,-10.662,1,0.0362,92.028,4,0.702,0.9965,0.9965,0.7219,Happy
14,Build Me Up Buttercup,['The Foundations'],0.361,0.657,178533,0.423,0.0,0,0.31,-10.465,1,0.0308,133.612,4,0.842,0.9495,0.9495,0.861,Happy
15,You And Me,['Penny & The Quarters'],0.945,0.562,160813,0.178,6.66e-06,0,0.121,-7.811,1,0.0343,109.589,4,0.25,0.9961,0.9961,0.2699,Happy
16,Tired of Being Alone,['Al Green'],0.339,0.772,172320,0.397,0.00541,7,0.0753,-8.585,1,0.0391,97.964,4,0.617,-0.2345,-0.2345,0.6123,Happy
17,Regenerate,['Lee Fields & The Expressions'],0.766,0.765,214164,0.497,0.151,1,0.122,-6.851,0,0.0483,86.183,4,0.509,-0.0772,-0.0772,0.5075,Happy
18,Can You Get To That,['Funkadelic'],0.539,0.689,171560,0.83,0.0,8,0.0882,-8.774,1,0.0954,140.732,4,0.815,0.9916,0.9916,0.8348,Happy
19,Please Mr. Postman - Stereo Version,['The Marvelettes'],0.711,0.781,149400,0.837,6.69e-06,2,0.0565,-5.245,1,0.0325,120.586,4,0.961,,,0.961,Happy
20,You Are My Heart,['Rex Williams'],0.481,0.664,193000,0.681,0.0232,7,0.225,-7.458,1,0.0366,97.501,4,0.604,0.9801,0.9801,0.6236,Happy
21,B-A-B-Y,['Carla Thomas'],0.428,0.74,177000,0.301,0.0,8,0.0782,-11.975,1,0.0467,113.61,4,0.669,0.9646,0.9646,0.6883,Happy
22,Cissy Strut,['The Meters'],0.106,0.521,185227,0.799,0.732,0,0.332,-11.993,1,0.097,175.921,4,0.709,,,0.709,Happy
23,Make Me Yours,['Bettye Swann'],0.454,0.711,195293,0.492,1.45e-05,3,0.126,-8.119,1,0.0325,107.917,4,0.868,0.9706,0.9706,0.8874,Happy
24,Black Heart (feat. The Dap-Kings),"['Stealth', 'The Dap-Kings']",0.0539,0.852,174688,0.76,3.08e-05,1,0.151,-4.026,1,0.0849,121.672,4,0.584,-0.9927,-0.9927,0.5641,Happy
25,I Get The Sweetest Feeling,['Jackie Wilson'],0.778,0.684,178373,0.482,0.000351,5,0.148,-9.234,1,0.0371,123.532,4,0.749,0.9935,0.9935,0.7689,Happy
26,Love and Happiness,['Al Green'],0.214,0.822,307063,0.457,0.000397,6,0.0766,-10.937,1,0.235,99.16,4,0.73,0.9992,0.9992,0.75,Happy
27,I'll Be Around,['The Spinners'],0.175,0.593,188800,0.791,0.0,8,0.0976,-8.698,0,0.068,112.295,4,0.63,0.9663,0.9663,0.6493,Happy
28,I Can't Stand The Rain,['Ann Peebles'],0.253,0.727,150400,0.387,0.0102,1,0.0625,-12.333,1,0.0412,160.392,4,0.966,0.9321,0.9321,0.9846,Happy
29,Sure Don't Miss You,['The Dip'],0.334,0.664,174520,0.586,2.96e-06,4,0.16,-7.985,0,0.0283,102.991,4,0.727,-0.1808,-0.1808,0.7234,Happy
30,Call Me,['St. Paul & The Broken Bones'],0.0625,0.573,171267,0.786,0.211,7,0.117,-4.354,1,0.0353,110.289,4,0.61,0.946,0.946,0.6289,Happy
31,Be My Baby,['The Ronettes'],0.181,0.511,160907,0.769,0.0,4,0.0921,-7.032,1,0.042,129.657,4,0.818,0.9504,0.9504,0.837,Happy
32,It's Only A Paper Moon,"['Ella Fitzgerald', 'The Delta Rhythm Boys']",0.958,0.732,156933,0.138,0.0,10,0.107,-14.28,1,0.0431,118.44,4,0.634,-0.6454,-0.6454,0.6211,Happy
