,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,nlp_lyrics,nlp_annotations,valence+nlp,mood
0,Heat Waves,['Glass Animals'],0.44,0.761,238805,0.525,6.70E-06,11,0.0921,-6.9,1,0.0944,80.87,4,0.531,0.386,0.386,0.5387,Happy
1,Peaches (feat. Daniel Caesar & Giveon),"['Justin Bieber', 'Daniel Caesar', 'Giveon']",0.321,0.677,198082,0.696,0,0,0.42,-6.181,1,0.119,90.03,4,0.464,0.9889,0.9889,0.4838,Happy
2,OK - with Remi Wolf & Solomonophonic,"['Wallows', 'Remi Wolf', 'Solomonophonic']",0.297,0.652,162207,0.855,0,10,0.208,-4.401,1,0.0434,144.978,4,0.8,,,0.8,Happy
3,Dandelion,"['Galantis', 'JVKE']",0.158,0.8,140012,0.66,0.02,0,0.14,-4.903,1,0.158,117.923,4,0.634,0.9765,0.9765,0.6535,Happy
4,Close To You,['Dayglow'],0.429,0.875,194693,0.649,0.00237,6,0.0704,-5.754,1,0.0433,140.031,4,0.833,0.9642,0.9642,0.8523,Happy
5,Doodoodoo,['Curtis Waters'],0.217,0.754,173638,0.631,2.47E-05,5,0.398,-6.724,0,0.0499,111.979,4,0.47,0.9955,0.9955,0.4899,Happy
6,Fire for You,['Cannons'],0.114,0.737,231826,0.678,0.157,6,0.123,-7.011,0,0.0962,102.051,4,0.698,-0.9897,-0.9897,0.6782,Happy
7,Amber,['Unusual Demont'],0.326,0.884,214325,0.756,0.0481,8,0.304,-6.831,1,0.202,119.029,4,0.784,0.9919,0.9919,0.8038,Happy
8,Mystery Lady (feat. Don Toliver),"['Masego', 'Don Toliver']",0.393,0.747,228453,0.494,0,3,0.0982,-7.957,0,0.141,76.006,4,0.624,-0.7306,-0.7306,0.6094,Happy
9,Sensitive,['Serena Isioma'],0.166,0.601,174720,0.649,3.35E-05,7,0.165,-6.979,1,0.133,89.73,4,0.351,-0.8496,-0.8496,0.334,Happy
10,Stargazing,['The Neighbourhood'],0.00304,0.512,217027,0.483,0.0011,0,0.12,-7.798,1,0.0298,160.009,4,0.367,0.9589,0.9589,0.3862,Happy
11,For a Minute,['WizTheMc'],0.0273,0.711,108984,0.778,1.77E-06,2,0.103,-6.346,1,0.0897,160.018,4,0.827,0.9946,0.9946,0.8469,Happy
12,Butterflies,['Fiji Blue'],0.228,0.729,176481,0.525,4.36E-05,8,0.309,-7.241,1,0.0995,110.012,4,0.782,-0.9812,-0.9812,0.7624,Happy
13,Someone Else’s Dream,['Absofacto'],0.0881,0.548,200300,0.76,8.83E-05,1,0.315,-2.967,0,0.0317,94.068,4,0.58,0.9893,0.9893,0.5998,Happy
14,Parallel Parking,['Arden Jones'],0.14,0.504,118571,0.638,0,1,0.0955,-4.177,0,0.302,83.791,4,0.749,0.873,0.873,0.7665,Happy
15,Self Care (with COIN) - The Knocks Remix,"['Louis The Child', 'COIN', 'The Knocks']",0.0148,0.791,197130,0.734,3.76E-06,5,0.0942,-3.27,0,0.0766,119.004,4,0.772,-0.9933,-0.9933,0.7521,Happy
16,I Feel High (with DRAMA),"['Poolside', 'DRAMA']",0.0112,0.716,172500,0.752,0.0479,2,0.598,-4.316,1,0.05,113,4,0.412,0.9917,0.9917,0.4318,Happy
17,Honeypie,['JAWNY'],0.0698,0.742,135521,0.678,0,5,0.151,-4.605,0,0.192,115.05,4,0.927,0.9875,0.9875,0.9468,Happy
18,SUPERBLOOM,['MisterWives'],0.191,0.558,213547,0.889,0.000387,8,0.328,-3.945,1,0.102,170.102,4,0.716,0.9803,0.9803,0.7356,Happy
19,Wait a Minute!,['WILLOW'],0.0371,0.764,196520,0.705,1.94E-05,3,0.0943,-5.279,0,0.0278,101.003,4,0.672,0.8055,0.8055,0.6881,Happy
20,Your Man,['Joji'],0.624,0.785,163759,0.818,0.149,7,0.149,-8.711,1,0.099,117.98,4,0.0503,0.9841,0.9841,0.07,Happy
21,Hallucinogenics - Japanese Wallpaper & Winona Oak Remix,"['Matt Maeson', 'Japanese Wallpaper', 'Winona Oak']",0.448,0.733,220070,0.714,0.0043,0,0.0793,-8.848,1,0.0825,122.024,4,0.356,,,0.356,Happy
22,Long Beach,"['Kota the Friend', ""Hello O'shay"", 'Alex Banin']",0.0685,0.809,252779,0.613,0,2,0.107,-8.402,1,0.175,104.991,4,0.562,0.9969,0.9969,0.5819,Happy
23,Little Things (with Quinn XCII & Chelsea Cutler),"['Louis The Child', 'Quinn XCII', 'Chelsea Cutler']",0.191,0.622,197448,0.636,0,6,0.0782,-4.38,1,0.122,82.962,4,0.528,0.9938,0.9938,0.5479,Happy
24,Strangers,['Roosevelt'],0.0688,0.657,220726,0.879,0.776,0,0.0799,-4.91,0,0.0741,106.016,4,0.901,0.8851,0.8851,0.9187,Happy
25,Time (feat. Rhye),"['SG Lewis', 'Rhye']",0.0674,0.75,259173,0.819,0.000979,10,0.308,-6.6,0,0.151,116.054,4,0.614,0.9795,0.9795,0.6336,Happy
26,JEWELZ,['Anderson .Paak'],0.371,0.884,174213,0.653,0.00135,11,0.812,-7.653,0,0.0586,108.548,4,0.766,0.9993,0.9993,0.786,Happy
