,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,nlp_lyrics,nlp_annotations,valence+nlp,mood
0,Put Your Records On,['Ritt Momney'],0.058,0.399,210463,0.492,0.00101,6,0.11,-10.777,0,0.0538,91.066,4,0.159,0.9922,0.9922,0.1788,Happy
1,Mariposa,['Peach Tree Rascals'],0.617,0.676,210000,0.525,0.0,9,0.356,-5.88,1,0.028,112.011,4,0.421,0.8421,0.8421,0.4378,Happy
2,1950,['King Princess'],0.648,0.6,225133,0.535,4.7e-06,4,0.162,-7.043,1,0.107,71.912,4,0.269,0.9956,0.9956,0.2889,Happy
3,3 Nights,['Dominic Fike'],0.223,0.815,177667,0.518,0.0,7,0.104,-6.594,0,0.0897,151.891,4,0.877,0.6064,0.6064,0.8891,Happy
4,Catching Feelings (feat. Six60),"['Drax Project', 'SIX60']",0.607,0.397,218854,0.524,0.0,3,0.157,-5.846,1,0.103,175.562,4,0.343,-0.9818,-0.9818,0.3234,Happy
5,Peaches (feat. Daniel Caesar & Giveon),"['Justin Bieber', 'Daniel Caesar', 'Giveon']",0.321,0.677,198082,0.696,0.0,0,0.42,-6.181,1,0.119,90.03,4,0.464,0.9889,0.9889,0.4838,Happy
6,Learn To Fly,"['Surfaces', 'Elton John']",0.554,0.569,209833,0.536,0.0,1,0.0655,-6.137,1,0.0819,173.695,4,0.656,-0.8158,-0.8158,0.6397,Happy
7,Only Wanna Be With You - Pokémon 25 Version,['Post Malone'],0.00124,0.47,241360,0.709,0.00121,7,0.302,-4.563,1,0.0299,98.036,4,0.247,-0.5754,-0.5754,0.2355,Happy
8,One More (feat. Nile Rodgers),"['SG Lewis', 'Nile Rodgers']",0.00668,0.722,196183,0.784,5.31e-06,5,0.467,-4.662,0,0.0819,119.988,4,0.768,0.7081,0.7081,0.7822,Happy
9,Magic In The Hamptons (feat. Lil Yachty),"['Social House', 'Lil Yachty']",0.66,0.769,164640,0.479,0.0,1,0.0914,-5.339,1,0.0385,96.051,4,0.803,0.9126,0.9126,0.8213,Happy
10,My Love,['Anna of the North'],0.636,0.674,221680,0.698,0.000176,5,0.172,-6.371,1,0.0288,105.975,4,0.45,0.9967,0.9967,0.4699,Happy
11,You (with Marshmello & Vance Joy),"['benny blanco', 'Marshmello', 'Vance Joy']",0.0493,0.668,169632,0.563,0.0,11,0.119,-6.433,1,0.0522,103.116,4,0.305,-0.9295,-0.9295,0.2864,Happy
12,Dandelion,"['Galantis', 'JVKE']",0.158,0.8,140012,0.66,0.02,0,0.14,-4.903,1,0.158,117.923,4,0.634,0.9765,0.9765,0.6535,Happy
13,Love You Different (feat. BEAM),"['Justin Bieber', 'BEAM']",0.068,0.756,186696,0.59,1.45e-06,8,0.159,-6.665,1,0.0589,127.143,4,0.382,0.9889,0.9889,0.4018,Happy
14,Please Don't Go,['Mike Posner'],0.00296,0.699,196813,0.882,0.0544,4,0.13,-3.896,0,0.0311,120.016,4,0.657,0.9968,0.9968,0.6769,Happy
15,Love You For A Long Time,['Maggie Rogers'],0.164,0.707,223120,0.67,0.00283,9,0.109,-6.137,1,0.0323,112.993,4,0.822,0.9975,0.9975,0.8419,Happy
16,Sunday Best,['Surfaces'],0.183,0.878,158571,0.525,0.0,5,0.0714,-6.832,1,0.0578,112.022,4,0.694,0.9989,0.9989,0.714,Happy
17,Love Me Less (feat. Quinn XCII),"['MAX', 'Quinn XCII']",0.0828,0.732,177670,0.856,0.0,11,0.323,-2.2,0,0.0929,145.034,4,0.771,0.9784,0.9784,0.7906,Happy
18,Wonder,['Shawn Mendes'],0.131,0.333,172693,0.637,1.8e-05,1,0.149,-4.904,0,0.0581,139.898,4,0.132,0.9966,0.9966,0.1519,Happy
19,Summer Feelings (feat. Charlie Puth) - From 'SCOOB!' The Album,"['Lennon Stella', 'Charlie Puth']",0.262,0.696,160289,0.686,0.0,5,0.174,-6.113,0,0.0309,115.982,4,0.7,,,0.7,Happy
20,Watermelon Sugar,['Harry Styles'],0.122,0.548,174000,0.816,0.0,0,0.335,-4.209,1,0.0465,95.39,4,0.557,0.9502,0.9502,0.576,Happy
21,Think About Things,['Daði Freyr'],0.0311,0.871,173386,0.341,0.000124,3,0.0838,-8.932,0,0.0576,127.001,4,0.612,0.9,0.9,0.63,Happy
22,Anyone,['Justin Bieber'],0.181,0.686,190779,0.538,3.13e-06,2,0.113,-8.026,1,0.0345,115.884,4,0.584,0.9851,0.9851,0.6037,Happy
23,I Don't Know Why,"['NOTD', 'Astrid S']",0.124,0.499,207668,0.898,7.2e-06,8,0.0832,-4.181,0,0.124,120.04,4,0.618,0.7697,0.7697,0.6334,Happy
24,Starstruck,['Years & Years'],0.011,0.555,207755,0.879,0.0,9,0.298,-2.484,0,0.0983,113.852,4,0.691,-0.3316,-0.3316,0.6844,Happy
25,MONTERO (Call Me By Your Name),['Lil Nas X'],0.297,0.61,137876,0.508,0.0,8,0.384,-6.682,0,0.152,178.818,4,0.758,-0.5556,-0.5556,0.7469,Happy
26,Upside Down,['JVKE'],0.0494,0.88,114500,0.501,0.0695,2,0.436,-6.774,1,0.062,120.038,4,0.459,0.9847,0.9847,0.4787,Happy
27,Over It,['Drax Project'],0.101,0.747,169700,0.829,0.0,11,0.168,-6.157,0,0.106,119.982,4,0.793,0.6713,0.6713,0.8064,Happy
28,Drown (feat. Clinton Kane),"['Martin Garrix', 'Clinton Kane']",0.212,0.573,174062,0.739,0.0,9,0.175,-5.455,1,0.0581,120.077,4,0.363,0.6813,0.6813,0.3766,Happy
29,Holy (feat. Chance The Rapper),"['Justin Bieber', 'Chance the Rapper']",0.196,0.673,212093,0.704,0.0,6,0.0898,-8.056,1,0.36,86.919,4,0.372,0.9833,0.9833,0.3917,Happy
30,Be Like That - feat. Swae Lee & Khalid,"['Kane Brown', 'Swae Lee', 'Khalid']",0.0469,0.727,191406,0.626,2.58e-05,7,0.126,-8.415,1,0.0726,86.97,4,0.322,0.9473,0.9473,0.3409,Happy
31,Momma Always Told Me (feat. Stanaj & Yung Bae),"['Mike Posner', 'Stanaj', 'Yung Bae']",0.03,0.766,181335,0.533,0.0,9,0.0667,-5.758,0,0.0506,107.999,4,0.764,-0.9295,-0.9295,0.7454,Happy
32,So Close,"['NOTD', 'Felix Jaehn', 'Captain Cuts', 'Georgia Ku']",0.121,0.7,190302,0.872,7.08e-06,10,0.103,-5.896,1,0.0666,125.03,4,0.761,0.9993,0.9993,0.781,Happy
