,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,nlp_lyrics,nlp_annotations,valence+nlp,mood
0,Remember Me,['UMI'],0.456,0.84,199227,0.344,3.36e-05,5,0.35,-8.613,0,0.0374,111.994,4,0.526,0.7286,0.7286,0.5406,Chill
1,Babydoll,['Dominic Fike'],0.114,0.762,97960,0.604,0.0,7,0.0271,-5.296,0,0.11,168.007,4,0.847,-0.4662,-0.4662,0.8377,Chill
2,girl in new york,['ROLE MODEL'],0.0405,0.621,211304,0.555,0.152,9,0.111,-7.854,1,0.0299,92.031,4,0.0817,0.9295,0.9295,0.1003,Chill
3,Bags,['Clairo'],0.172,0.742,260520,0.546,0.38,1,0.115,-7.694,1,0.0315,104.996,4,0.868,0.9842,0.9842,0.8877,Chill
4,striptease,['carwash'],0.127,0.693,160659,0.572,0.953,8,0.102,-8.89,1,0.0746,130.048,4,0.732,0.9198,0.9198,0.7504,Chill
5,Trouble,['Omar Apollo'],0.594,0.665,203213,0.349,0.0105,6,0.109,-11.459,1,0.0443,123.031,4,0.244,0.9803,0.9803,0.2636,Chill
6,Saw You In A Dream,['The Japanese House'],0.0604,0.607,208280,0.451,0.0,4,0.19,-8.206,1,0.0286,94.054,4,0.676,-0.3165,-0.3165,0.6697,Chill
7,Lucy,"['Still Woozy', 'ODIE']",0.385,0.649,142500,0.535,0.000422,6,0.12,-12.017,0,0.224,84.466,4,0.843,0.9481,0.9481,0.862,Chill
8,Show Me How,['Men I Trust'],0.674,0.791,215111,0.267,0.534,5,0.102,-11.997,1,0.0415,165.99,4,0.544,0.984,0.984,0.5637,Chill
9,"New Person, Same Old Mistakes",['Tame Impala'],0.272,0.47,363240,0.809,0.00671,8,0.0491,-6.74,1,0.0495,151.836,4,0.49,0.9498,0.9498,0.509,Chill
10,Coffee For Dinner,['Orion Sun'],0.662,0.563,172680,0.608,2.36e-05,1,0.119,-7.204,0,0.0261,96.002,4,0.432,0.9876,0.9876,0.4518,Chill
11,Better,"['SG Lewis', 'Clairo']",0.05,0.699,193762,0.583,0.00029,6,0.091,-9.731,0,0.0357,109.001,4,0.484,0.9982,0.9982,0.504,Chill
12,Movie,['Tom Misch'],0.391,0.785,357357,0.379,0.0161,7,0.267,-11.446,1,0.0732,122.043,3,0.182,0.9882,0.9882,0.2018,Chill
13,Freakin' Out On the Interstate,['Briston Maroney'],0.388,0.45,251906,0.794,0.0,4,0.303,-5.015,1,0.0538,143.861,4,0.362,0.9387,0.9387,0.3808,Chill
14,The Birthday Party,['The 1975'],0.075,0.639,277897,0.468,0.374,2,0.169,-9.736,1,0.0317,134.077,4,0.521,0.4067,0.4067,0.5291,Chill
15,Was It Something I Said,['MyKey'],0.614,0.587,222353,0.724,0.000166,6,0.155,-6.776,1,0.0321,106.993,4,0.837,-0.8243,-0.8243,0.8205,Chill
16,cz,['Mk.gee'],0.598,0.734,228947,0.552,0.835,2,0.107,-7.595,1,0.123,91.064,4,0.714,-0.8773,-0.8773,0.6965,Chill
17,peas,['boylife'],0.303,0.249,234645,0.342,0.0113,4,0.16,-10.283,1,0.0389,64.335,5,0.126,0.6966,0.6966,0.1399,Chill
18,Maybe You're the Reason,['The Japanese House'],0.106,0.621,218936,0.762,2.71e-06,5,0.302,-6.376,1,0.0328,95.014,4,0.395,0.8919,0.8919,0.4128,Chill
19,9,"['WILLOW', 'SZA']",0.215,0.597,253800,0.495,0.000163,8,0.104,-8.674,1,0.201,76.991,4,0.171,0.9823,0.9823,0.1906,Chill
20,My Kind Of Woman,['Mac DeMarco'],0.00331,0.5,190849,0.774,0.62,9,0.185,-7.062,1,0.0279,91.769,4,0.453,-0.4319,-0.4319,0.4444,Chill
21,New Flesh,['Current Joys'],0.887,0.621,167987,0.594,0.498,9,0.0917,-16.066,1,0.0384,165.863,4,0.698,-0.9905,-0.9905,0.6782,Chill
22,Disappear,['beabadoobee'],0.0353,0.583,248884,0.692,0.000785,1,0.0712,-6.146,1,0.0278,142.031,4,0.485,0.8482,0.8482,0.502,Chill
23,N Side,['Steve Lacy'],0.072,0.838,224444,0.536,0.000259,2,0.208,-6.288,1,0.0435,119.956,4,0.89,0.9705,0.9705,0.9094,Chill
24,Plastic 100°C,['Sampha'],0.735,0.596,316188,0.362,0.00216,3,0.654,-11.879,0,0.0535,132.067,4,0.175,0.8611,0.8611,0.1922,Chill
25,All Your Love,['Jakob'],0.293,0.568,175241,0.587,0.329,11,0.137,-8.814,0,0.127,174.682,4,0.491,0.997,0.997,0.5109,Chill
26,Tommy's Party,['Peach Pit'],0.122,0.565,361760,0.438,0.0469,7,0.108,-8.722,1,0.0311,133.949,4,0.211,0.9205,0.9205,0.2294,Chill
27,Roddy,['Djo'],0.112,0.559,252987,0.521,0.0243,0,0.0686,-9.161,1,0.0279,179.991,4,0.677,-0.9536,-0.9536,0.6579,Chill
28,When U Loved Me,['Hether'],0.673,0.739,191147,0.324,0.0855,8,0.296,-13.088,1,0.0424,79.011,4,0.739,0.9824,0.9824,0.7586,Chill
29,ACOUSCOUS,['emawk'],0.689,0.427,237000,0.371,1.96e-05,5,0.21,-11.405,1,0.147,65.722,3,0.354,0.999,0.999,0.374,Chill
30,Charcoal Baby,['Blood Orange'],0.14,0.622,242341,0.46,0.000369,7,0.119,-8.389,0,0.0372,183.241,4,0.514,0.8065,0.8065,0.5301,Chill
31,Blondie,['Current Joys'],0.622,0.776,194733,0.625,0.896,6,0.086,-12.561,1,0.0396,122.072,4,0.865,0.7149,0.7149,0.8793,Chill
32,24 Hours,['Postcard Boy'],0.386,0.638,213927,0.381,0.00815,4,0.124,-10.807,1,0.0289,127.904,4,0.15,0.9544,0.9544,0.1691,Chill
33,Warm on a Cold Night,['HONNE'],0.185,0.342,261595,0.609,0.00052,8,0.0799,-5.68,1,0.0943,82.989,4,0.401,0.9984,0.9984,0.421,Chill
34,come ovr,['sophie meiers'],0.433,0.955,155044,0.413,4.02e-05,0,0.0783,-8.853,1,0.201,113.056,4,0.357,0.977,0.977,0.3765,Chill
35,Metamodernity,['Vansire'],0.389,0.822,162663,0.544,0.165,5,0.108,-10.077,1,0.0358,121.968,4,0.826,0.8945,0.8945,0.8439,Chill
36,A Dream of You,['Far Caspian'],0.0758,0.661,258000,0.657,0.666,4,0.105,-9.667,1,0.0253,101.018,4,0.776,-0.9695,-0.9695,0.7566,Chill
