,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,nlp_lyrics,nlp_annotations,valence+nlp,mood
0,Ivy,['Frank Ocean'],0.782,0.567,249191,0.388,0.000309,9,0.248,-9.579,0,0.0384,116.362,4,0.452,0.1996,0.1996,0.456,Sad
1,Want Me Back,['BENEE'],0.558,0.541,234053,0.646,0.00145,9,0.101,-6.451,1,0.226,84.832,4,0.47,-0.9578,-0.9578,0.4508,Sad
2,better off,"['Jeremy Zucker', 'Chelsea Cutler']",0.803,0.72,192920,0.316,0.00016,8,0.154,-12.532,0,0.0414,98.925,4,0.442,0.9912,0.9912,0.4618,Sad
3,I Always Wanna Die (Sometimes),['The 1975'],0.00527,0.376,314663,0.473,0.00162,4,0.123,-5.636,1,0.0325,148.835,4,0.0398,-0.998,-0.998,0.0198,Sad
4,Return2Sender,['Scarypoolparty'],0.12,0.508,288192,0.482,0.283,1,0.0595,-11.571,1,0.0316,157.951,4,0.381,0.9025,0.9025,0.3991,Sad
5,Only To Live In Your Memories,['Night Moves'],0.0706,0.451,265693,0.499,0.194,6,0.116,-6.016,1,0.0269,108.99,4,0.187,0.9947,0.9947,0.2069,Sad
6,listen before i go,['Billie Eilish'],0.935,0.319,242652,0.0561,0.00384,0,0.388,-23.023,1,0.045,79.764,3,0.082,0.8672,0.8672,0.0993,Sad
7,You Don't Love Me (Like You Used To),['THE WLDLFE'],0.586,0.683,266156,0.637,0.00571,5,0.116,-8.496,0,0.0269,116.979,4,0.595,-0.9973,-0.9973,0.5751,Sad
8,Again (feat. XXXTENTACION),"['Noah Cyrus', 'XXXTENTACION']",0.188,0.664,193962,0.738,5.75e-05,9,0.135,-4.095,0,0.0338,119.973,4,0.203,0.1999,0.1999,0.207,Sad
9,Losin Control,['Russ'],0.515,0.759,237507,0.245,0.000154,6,0.102,-6.545,1,0.138,96.992,4,0.209,0.8965,0.8965,0.2269,Sad
