,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,nlp_lyrics,nlp_annotations,valence+nlp,mood
0,Let's Fall in Love for the Night,['FINNEAS'],0.802,0.737,190348,0.408,0.0,5,0.171,-7.941,1,0.104,127.921,4,0.374,0.972,0.972,0.3934,Aroused
1,Renee's Song,['Bazzi'],0.794,0.593,130546,0.229,0.0,9,0.167,-8.888,1,0.0307,117.823,4,0.42,0.353,0.353,0.4271,Aroused
2,Better,['ZAYN'],0.353,0.637,174517,0.418,0.0,2,0.131,-7.137,1,0.301,84.295,4,0.0807,-0.9861,-0.9861,0.061,Aroused
3,i don't want to watch the world end with someone else,['Clinton Kane'],0.771,0.535,184505,0.359,0.0,2,0.111,-9.343,1,0.0607,154.163,4,0.488,-0.8019,-0.8019,0.472,Aroused
4,pov,['Ariana Grande'],0.36,0.487,201882,0.534,0.0,0,0.1,-5.664,0,0.0555,131.798,4,0.173,0.9988,0.9988,0.193,Aroused
5,July (feat. Leon Bridges),"['Noah Cyrus', 'Leon Bridges']",0.853,0.708,152280,0.211,0.0,9,0.131,-9.603,0,0.0424,72.5,4,0.362,0.6597,0.6597,0.3752,Aroused
6,Falling,['Harry Styles'],0.839,0.567,240133,0.267,1.46e-06,4,0.089,-6.502,1,0.0299,110.011,4,0.0592,-0.9715,-0.9715,0.0398,Aroused
7,6 months,['John K'],0.256,0.66,216938,0.581,0.0,3,0.0892,-6.056,1,0.0408,145.912,4,0.329,0.996,0.996,0.3489,Aroused
8,Lucky,"['Chelsea Cutler', 'Alexander 23']",0.332,0.78,148987,0.261,0.0,2,0.238,-9.626,1,0.0488,92.105,4,0.639,0.9993,0.9993,0.659,Aroused
9,Miss You 2,"['Gabrielle Aplin', 'Nina Nesbitt']",0.576,0.696,196422,0.578,0.0,9,0.204,-6.24,1,0.0421,101.011,4,0.574,0.9988,0.9988,0.594,Aroused
10,Stay Next To Me (with Chelsea Cutler),"['Quinn XCII', 'Chelsea Cutler']",0.0805,0.581,206046,0.584,0.0,2,0.366,-4.928,1,0.284,179.954,4,0.756,0.9843,0.9843,0.7757,Aroused
11,Toothpaste Kisses,['The Maccabees'],0.893,0.462,159320,0.427,0.101,9,0.37,-13.333,1,0.0792,101.675,3,0.476,0.9774,0.9774,0.4955,Aroused
12,Only Wanna Be With You - Pokémon 25 Version,['Post Malone'],0.00124,0.47,241360,0.709,0.00121,7,0.302,-4.563,1,0.0299,98.036,4,0.247,-0.5754,-0.5754,0.2355,Aroused
13,six thirty,['Ariana Grande'],0.67,0.739,183874,0.516,0.0,0,0.151,-7.154,1,0.0539,120.109,4,0.434,0.9886,0.9886,0.4538,Aroused
14,Ghost,['Justin Bieber'],0.178,0.604,153190,0.741,3.49e-05,2,0.409,-5.571,1,0.0475,153.947,4,0.473,0.8271,0.8271,0.4895,Aroused
15,nobody else,['LANY'],0.744,0.569,197480,0.291,0.0,0,0.137,-14.509,1,0.043,151.659,4,0.313,0.9567,0.9567,0.3321,Aroused
16,Best Years,['5 Seconds of Summer'],0.331,0.299,190382,0.722,0.0,2,0.121,-4.376,1,0.0431,173.521,4,0.442,0.998,0.998,0.462,Aroused
17,i'm so tired...,"['Lauv', 'Troye Sivan']",0.176,0.599,162583,0.733,0.0,11,0.242,-7.058,1,0.203,102.211,4,0.534,0.9948,0.9948,0.5539,Aroused
18,Call Me Up,['JUNG'],0.644,0.821,164000,0.341,0.0,2,0.356,-10.086,1,0.124,92.027,4,0.426,0.5873,0.5873,0.4377,Aroused
19,golden thing,['Cody Simpson'],0.897,0.375,219300,0.282,0.00168,4,0.0952,-11.761,1,0.0409,77.656,4,0.295,0.9201,0.9201,0.3134,Aroused
20,Magic,['Gabrielle Aplin'],0.469,0.652,245653,0.586,0.0,1,0.0846,-8.281,1,0.0402,144.031,4,0.554,0.987,0.987,0.5737,Aroused
21,What A Time (feat. Niall Horan),"['Julia Michaels', 'Niall Horan']",0.662,0.516,173307,0.467,0.0,0,0.0853,-6.184,1,0.0302,132.861,4,0.386,0.9593,0.9593,0.4052,Aroused
22,34+35,['Ariana Grande'],0.237,0.83,173711,0.585,0.0,0,0.248,-6.476,1,0.094,109.978,4,0.485,0.995,0.995,0.5049,Aroused
23,Chills,"[""Why Don't We""]",0.00483,0.615,165597,0.689,0.0,1,0.177,-5.332,1,0.0658,162.919,4,0.783,0.9882,0.9882,0.8028,Aroused
24,The Way I Love You,"['yaeow', 'Neptune']",0.94,0.543,162727,0.206,0.453,6,0.385,-18.037,1,0.0319,113.107,3,0.13,0.9604,0.9604,0.1492,Aroused
25,The Same,['Ashe'],0.86,0.493,233221,0.313,0.109,2,0.0944,-13.012,1,0.0406,156.977,4,0.163,0.7942,0.7942,0.1789,Aroused
26,"Hey Stupid, I Love You",['JP Saxe'],0.218,0.758,181000,0.594,5.32e-06,5,0.0798,-9.63,0,0.426,91.864,4,0.869,-0.9937,-0.9937,0.8491,Aroused
27,Get You The Moon (feat. Snøw),"['Kina', 'Snøw']",0.72,0.498,179080,0.235,0.0,1,0.144,-16.541,0,0.188,118.917,4,0.0895,-0.7947,-0.7947,0.0736,Aroused
28,No Judgement,['Niall Horan'],0.0564,0.723,176283,0.726,0.000126,1,0.057,-3.835,0,0.0472,100.051,4,0.962,-0.901,-0.901,0.944,Aroused
29,positions,['Ariana Grande'],0.468,0.736,172325,0.802,0.0,0,0.094,-4.759,1,0.0864,144.005,4,0.675,0.9935,0.9935,0.6949,Aroused
30,There You Are,['ZAYN'],0.0263,0.452,199600,0.688,0.0,0,0.11,-4.84,0,0.0385,76.99,4,0.313,-0.9154,-0.9154,0.2947,Aroused
