,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,nlp_lyrics,nlp_annotations,valence+nlp,mood
0,Remember Me,['UMI'],0.456,0.84,199227,0.344,3.36e-05,5,0.35,-8.613,0,0.0374,111.994,4,0.526,0.7286,0.7286,0.5406,Chill
1,North Face,['ODIE'],0.792,0.802,196800,0.382,0.163,10,0.0783,-7.356,1,0.0312,99.969,4,0.581,0.9486,0.9486,0.6,Chill
2,Mine,"['Alex Isley', 'Jack Dine']",0.828,0.347,212571,0.395,1.06e-05,6,0.125,-9.278,0,0.0567,67.492,4,0.133,0.888,0.888,0.1508,Chill
3,Shine,['Cleo Sol'],0.686,0.742,226118,0.504,0.517,1,0.103,-10.105,1,0.0392,140.0,4,0.601,0.9515,0.9515,0.62,Chill
4,Loverboy,['Joesef'],0.594,0.356,238123,0.611,0.0,11,0.119,-7.219,0,0.0567,79.338,4,0.524,0.9765,0.9765,0.5435,Chill
5,Sex for Breakfast,"[""Lo'fi Boy"", 'Shiloh Dynasty']",0.658,0.858,146963,0.271,0.00293,9,0.0789,-15.047,0,0.47,96.998,4,0.475,,,0.475,Chill
6,Desoleil (Brilliant Corners),"['Loyle Carner', 'Sampha']",0.609,0.826,220402,0.483,3.77e-05,8,0.145,-11.298,0,0.371,131.883,3,0.116,0.9677,0.9677,0.1354,Chill
7,So Deep,['Brianna Knight'],0.0963,0.732,178941,0.496,3.07e-06,1,0.0828,-9.623,0,0.0789,85.974,4,0.909,0.9926,0.9926,0.9289,Chill
8,Boo Thang (feat. Devin Morrison),"['VanJess', 'Devin Morrison']",0.0771,0.833,196600,0.519,1.32e-05,7,0.222,-6.772,1,0.357,77.005,4,0.828,0.9906,0.9906,0.8478,Chill
9,The Healer,['Erykah Badu'],0.00142,0.783,239080,0.395,0.0338,11,0.368,-10.249,0,0.162,90.172,4,0.277,0.7339,0.7339,0.2917,Chill
10,Whoa,['Snoh Aalegra'],0.121,0.665,199179,0.516,0.00152,0,0.105,-11.27,0,0.0642,93.983,4,0.494,0.9674,0.9674,0.5133,Chill
11,Luxury: Cococure - Remastered 2018,['Maxwell'],0.241,0.697,332080,0.535,0.000116,0,0.127,-7.713,1,0.0633,98.992,4,0.716,,,0.716,Chill
12,Guilty Conscience - Tame Impala Remix,"['070 Shake', 'Tame Impala']",0.0583,0.416,214987,0.878,0.00453,1,0.25,-3.654,0,0.322,191.936,4,0.317,-0.991,-0.991,0.2972,Chill
13,Apathy,['PIE'],0.398,0.786,205795,0.568,0.00281,1,0.0775,-6.622,0,0.0611,82.011,4,0.692,0.8779,0.8779,0.7096,Chill
14,Risk,"['FKJ', 'Bas']",0.957,0.761,238835,0.359,0.000143,7,0.147,-12.326,1,0.0703,103.069,4,0.505,0.992,0.992,0.5248,Chill
15,Later,['emawk'],0.814,0.455,270709,0.247,0.133,1,0.0872,-10.842,1,0.0662,62.171,4,0.177,0.7422,0.7422,0.1918,Chill
16,Buying Time,['Lucky Daye'],0.732,0.765,236949,0.437,0.00331,5,0.167,-8.994,0,0.0372,117.99,4,0.667,0.9826,0.9826,0.6867,Chill
17,I Wonder Why,"['Joesef', 'Loyle Carner']",0.209,0.619,228348,0.654,0.00332,0,0.0604,-8.541,0,0.0425,80.0,4,0.726,-0.4222,-0.4222,0.7176,Chill
18,Juno,['Choker'],0.922,0.438,231681,0.266,0.000298,7,0.148,-12.863,1,0.0363,120.075,4,0.116,0.4324,0.4324,0.1246,Chill
19,"Yo Love - From ""Queen & Slim: The Soundtrack""","['Vince Staples', '6LACK', 'Mereba']",0.565,0.703,143830,0.573,3.13e-06,0,0.0987,-9.032,1,0.0724,147.038,4,0.491,0.9899,0.9899,0.5108,Chill
20,Tired of the Games,"['ROMderful', 'TOBi']",0.42,0.557,181000,0.614,0.185,4,0.219,-8.902,0,0.125,138.111,4,0.498,-0.9577,-0.9577,0.4788,Chill
21,More Than Friends,['RealLiveAnimals'],0.47,0.742,164153,0.301,0.000154,2,0.108,-10.652,0,0.0424,116.914,4,0.268,0.9729,0.9729,0.2875,Chill
22,You,['Nate Traveller'],0.789,0.776,129072,0.286,0.00434,1,0.114,-11.443,1,0.028,92.028,4,0.196,0.7845,0.7845,0.2117,Chill
23,18,['emawk'],0.877,0.483,205370,0.305,6.78e-05,11,0.126,-8.15,0,0.268,79.458,4,0.273,0.9983,0.9983,0.293,Chill
24,Flight 99,"['Masego', 'Ta-ku', 'matt mcwaters', 'Please Wait']",0.554,0.589,167143,0.431,0.0317,9,0.0878,-10.096,0,0.0475,134.688,4,0.159,0.8858,0.8858,0.1767,Chill
25,Vent,['Joël'],0.397,0.665,151042,0.591,0.0,6,0.301,-5.322,0,0.0495,135.979,4,0.48,-0.5678,-0.5678,0.4686,Chill
26,Fool,['Zanski'],0.18,0.747,185294,0.385,0.0149,4,0.121,-11.021,0,0.26,82.015,4,0.401,0.7342,0.7342,0.4157,Chill
27,Let Me Know,['Brent Faiyaz'],0.175,0.743,215058,0.548,0.00018,6,0.088,-6.545,0,0.0947,85.017,4,0.558,0.9982,0.9982,0.578,Chill
28,Clutch (feat. Kiana Ledé),"['Col3trane', 'Kiana Ledé']",0.663,0.634,206681,0.564,0.000239,1,0.111,-7.984,0,0.359,116.233,5,0.637,0.9985,0.9985,0.657,Chill
29,Dancing,['bLAck pARty'],0.596,0.902,245720,0.468,0.00542,0,0.238,-8.671,0,0.0535,95.008,4,0.728,0.9761,0.9761,0.7475,Chill
30,Childism,['KIAN'],0.515,0.703,224027,0.527,2.05e-05,2,0.369,-9.416,1,0.0546,131.988,4,0.455,0.9863,0.9863,0.4747,Chill
31,Flowers,"['OZZIE', 'Mishaal']",0.625,0.626,205349,0.276,0.473,5,0.109,-12.38,0,0.0457,86.452,4,0.116,0.9976,0.9976,0.136,Chill
32,Caged Bird,['Myles Cameron'],0.768,0.575,235200,0.352,0.485,1,0.0974,-13.813,1,0.0388,100.023,4,0.447,0.996,0.996,0.4669,Chill
33,Fool For You,['Snoh Aalegra'],0.832,0.593,194303,0.287,0.000128,2,0.104,-11.496,1,0.0631,149.761,3,0.238,-0.7311,-0.7311,0.2234,Chill
34,Let It Go,"['Erick the Architect', 'Loyle Carner', 'FARR']",0.12,0.674,223642,0.61,0.00264,8,0.287,-8.156,0,0.45,139.722,4,0.572,0.981,0.981,0.5916,Chill
35,someone else,"['vowl.', 'prxz', 'Mishaal']",0.877,0.687,182044,0.225,0.0699,5,0.0768,-14.363,0,0.102,171.985,4,0.574,0.9996,0.9996,0.594,Chill
36,Brakelights,['Omar Apollo'],0.597,0.695,168387,0.42,0.0222,7,0.0839,-7.735,1,0.0385,124.019,3,0.257,0.8657,0.8657,0.2743,Chill
37,Sex n' Drugs,"['Abhi The Nomad', 'Harrison Sands', 'Copper King']",0.299,0.831,217778,0.32,0.0,7,0.0757,-7.916,1,0.143,80.935,4,0.319,0.9783,0.9783,0.3386,Chill
38,Waiting For (feat. Jamila Woods),"['rum.gold', 'Jamila Woods']",0.201,0.738,200215,0.379,1.1e-05,2,0.0806,-11.644,0,0.084,122.042,4,0.598,0.7179,0.7179,0.6124,Chill
