,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,nlp_lyrics,nlp_annotations,valence+nlp,mood
0,Your Man,['Joji'],0.624,0.785,163759,0.818,0.149,7,0.149,-8.711,1,0.099,117.98,4,0.0503,0.9841,0.9841,0.07,Happy
1,Let's Fall in Love for the Night,['FINNEAS'],0.802,0.737,190348,0.408,0.0,5,0.171,-7.941,1,0.104,127.921,4,0.374,0.972,0.972,0.3934,Happy
2,Heat Waves,['Glass Animals'],0.44,0.761,238805,0.525,6.7e-06,11,0.0921,-6.9,1,0.0944,80.87,4,0.531,0.386,0.386,0.5387,Happy
3,Know Your Worth,"['Khalid', 'Disclosure']",0.145,0.79,181436,0.694,0.00252,9,0.281,-7.726,0,0.0708,103.007,4,0.508,0.8452,0.8452,0.5249,Happy
4,Put Your Records On,['Ritt Momney'],0.058,0.399,210463,0.492,0.00101,6,0.11,-10.777,0,0.0538,91.066,4,0.159,0.9922,0.9922,0.1788,Happy
5,Kiss Me More (feat. SZA),"['Doja Cat', 'SZA']",0.235,0.762,208867,0.701,0.000158,8,0.123,-3.541,1,0.0286,110.968,4,0.742,0.8009,0.8009,0.758,Happy
6,3 Nights,['Dominic Fike'],0.223,0.815,177667,0.518,0.0,7,0.104,-6.594,0,0.0897,151.891,4,0.877,0.6064,0.6064,0.8891,Happy
7,Catching Feelings (feat. Six60),"['Drax Project', 'SIX60']",0.607,0.397,218854,0.524,0.0,3,0.157,-5.846,1,0.103,175.562,4,0.343,-0.9818,-0.9818,0.3234,Happy
8,Blueberry Eyes (feat. SUGA of BTS),"['MAX', 'SUGA']",0.454,0.746,172245,0.611,0.000922,0,0.133,-7.034,0,0.101,149.967,4,0.411,0.9833,0.9833,0.4307,Happy
9,Honeypie,['JAWNY'],0.0698,0.742,135521,0.678,0.0,5,0.151,-4.605,0,0.192,115.05,4,0.927,0.9875,0.9875,0.9468,Happy
10,Tattoos Together,['Lauv'],0.00575,0.862,186613,0.4,7.49e-06,4,0.123,-7.486,1,0.0736,122.963,4,0.596,0.9967,0.9967,0.6159,Happy
11,Up All Night,['Khalid'],0.00103,0.665,157220,0.712,0.00342,1,0.102,-7.536,1,0.0527,93.989,4,0.669,0.8403,0.8403,0.6858,Happy
12,Electric Love,['BØRNS'],0.00543,0.611,218107,0.797,0.00137,6,0.26,-7.627,0,0.0533,120.041,4,0.518,0.9926,0.9926,0.5379,Happy
13,Peaches (feat. Daniel Caesar & Giveon),"['Justin Bieber', 'Daniel Caesar', 'Giveon']",0.321,0.677,198082,0.696,0.0,0,0.42,-6.181,1,0.119,90.03,4,0.464,0.9889,0.9889,0.4838,Happy
14,Wave of You,['Surfaces'],0.057,0.695,213842,0.656,0.0,1,0.267,-6.038,1,0.0489,90.986,4,0.346,-0.9269,-0.9269,0.3275,Happy
15,Save Your Tears,['The Weeknd'],0.0212,0.68,215627,0.826,1.24e-05,0,0.543,-5.487,1,0.0309,118.051,4,0.644,0.8992,0.8992,0.662,Happy
16,Circles,['Post Malone'],0.233,0.704,214907,0.758,0.00144,0,0.0924,-3.537,1,0.0402,120.003,4,0.534,0.9686,0.9686,0.5534,Happy
17,Stay Next To Me (with Chelsea Cutler),"['Quinn XCII', 'Chelsea Cutler']",0.0805,0.581,206046,0.584,0.0,2,0.366,-4.928,1,0.284,179.954,4,0.756,0.9843,0.9843,0.7757,Happy
18,Magic In The Hamptons (feat. Lil Yachty),"['Social House', 'Lil Yachty']",0.66,0.769,164640,0.479,0.0,1,0.0914,-5.339,1,0.0385,96.051,4,0.803,0.9126,0.9126,0.8213,Happy
19,You (with Marshmello & Vance Joy),"['benny blanco', 'Marshmello', 'Vance Joy']",0.0493,0.668,169632,0.563,0.0,11,0.119,-6.433,1,0.0522,103.116,4,0.305,-0.9295,-0.9295,0.2864,Happy
20,Free Spirit,['Khalid'],0.308,0.627,182080,0.446,0.00077,2,0.111,-9.477,0,0.0332,139.994,4,0.11,0.9968,0.9968,0.1299,Happy
21,Dandelion,"['Galantis', 'JVKE']",0.158,0.8,140012,0.66,0.02,0,0.14,-4.903,1,0.158,117.923,4,0.634,0.9765,0.9765,0.6535,Happy
22,Make You Mine,['PUBLIC'],0.0128,0.606,232907,0.799,0.0,9,0.15,-4.452,1,0.0261,103.014,4,0.638,0.9652,0.9652,0.6573,Happy
23,Watermelon Sugar,['Harry Styles'],0.122,0.548,174000,0.816,0.0,0,0.335,-4.209,1,0.0465,95.39,4,0.557,0.9502,0.9502,0.576,Happy
24,SUPERBLOOM,['MisterWives'],0.191,0.558,213547,0.889,0.000387,8,0.328,-3.945,1,0.102,170.102,4,0.716,0.9803,0.9803,0.7356,Happy
25,Anyone,['Justin Bieber'],0.181,0.686,190779,0.538,3.13e-06,2,0.113,-8.026,1,0.0345,115.884,4,0.584,0.9851,0.9851,0.6037,Happy
26,Safe With Me (with Audrey Mika),"['Gryffin', 'Audrey Mika']",0.0449,0.497,205165,0.757,0.0,11,0.119,-4.189,1,0.127,169.902,4,0.507,0.9836,0.9836,0.5267,Happy
27,Levitating (feat. DaBaby),"['Dua Lipa', 'DaBaby']",0.00883,0.702,203064,0.825,0.0,6,0.0674,-3.787,0,0.0601,102.977,4,0.915,-0.9749,-0.9749,0.8955,Happy
28,The Bones - with Hozier,"['Maren Morris', 'Hozier']",0.286,0.561,197299,0.597,0.0,11,0.0979,-6.0,0,0.0405,76.826,4,0.355,-0.7392,-0.7392,0.3402,Happy
29,ily (i love you baby) (feat. Emilee),"['Surf Mesa', 'Emilee']",0.0686,0.674,176547,0.774,0.00188,11,0.393,-7.567,0,0.0892,112.05,4,0.33,0.9987,0.9987,0.35,Happy
30,Wherever You Are,['Kodaline'],0.142,0.514,185005,0.612,0.0,4,0.0868,-5.981,1,0.0298,125.99,4,0.342,-0.9796,-0.9796,0.3224,Happy
31,Be Like That - feat. Swae Lee & Khalid,"['Kane Brown', 'Swae Lee', 'Khalid']",0.0469,0.727,191406,0.626,2.58e-05,7,0.126,-8.415,1,0.0726,86.97,4,0.322,0.9473,0.9473,0.3409,Happy
32,survivin',['Bastille'],0.25,0.787,173206,0.78,0.0,7,0.0908,-5.023,1,0.129,95.035,4,0.68,0.9946,0.9946,0.6999,Happy
33,Holy (feat. Chance The Rapper),"['Justin Bieber', 'Chance the Rapper']",0.196,0.673,212093,0.704,0.0,6,0.0898,-8.056,1,0.36,86.919,4,0.372,0.9833,0.9833,0.3917,Happy
34,Nightlight,"['ILLENIUM', 'Annika Wells']",0.0819,0.494,222400,0.651,0.0,11,0.104,-4.127,0,0.0384,149.979,4,0.162,0.9493,0.9493,0.181,Happy
35,Midnight (feat. Liam Payne),"['Alesso', 'Liam Payne']",0.0561,0.587,220141,0.648,0.0,11,0.115,-6.927,0,0.0439,144.028,4,0.281,-0.9728,-0.9728,0.2615,Happy
36,Black And White,['Niall Horan'],0.0301,0.443,193090,0.582,0.0,2,0.127,-6.02,1,0.0482,147.589,4,0.239,0.9985,0.9985,0.259,Happy
37,Be Kind (with Halsey),"['Marshmello', 'Halsey']",0.00776,0.63,172762,0.633,0.0,4,0.0541,-7.088,1,0.0457,93.995,4,0.452,0.9901,0.9901,0.4718,Happy
38,Blinding Lights,['The Weeknd'],0.00146,0.514,200040,0.73,9.54e-05,1,0.0897,-5.934,1,0.0598,171.005,4,0.334,-0.4434,-0.4434,0.3251,Happy
39,I Love You's,['Hailee Steinfeld'],0.0262,0.682,216084,0.783,0.0,8,0.206,-4.997,1,0.18,106.899,4,0.323,0.9815,0.9815,0.3426,Happy
40,Wild (feat. Gary Clark Jr.),"['John Legend', 'Gary Clark Jr.']",0.036,0.557,196907,0.585,0.0,8,0.176,-6.201,1,0.0431,63.392,4,0.305,0.9735,0.9735,0.3245,Happy
41,Freedom,"['Kygo', 'Zak Abel']",0.127,0.715,198635,0.635,0.0,7,0.0862,-6.591,1,0.0791,112.887,4,0.39,0.9992,0.9992,0.41,Happy
42,Giants,['Dermot Kennedy'],0.0145,0.579,177173,0.839,3.04e-05,8,0.201,-5.409,0,0.0703,158.141,4,0.589,0.992,0.992,0.6088,Happy
