,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,nlp_lyrics,nlp_annotations,valence+nlp,mood
0,One Night,"['MK', 'Sonny Fodera', 'Raphaella']",0.00142,0.537,161883,0.898,0.0474,11,0.217,-6.188,0,0.0351,123.969,4,0.195,-0.7161,-0.7161,0.1807,Energised
1,There For You,"['Gorgon City', 'MK']",0.00529,0.533,186493,0.844,8.91e-05,11,0.0722,-5.04,0,0.0302,123.971,4,0.712,0.9939,0.9939,0.7319,Energised
2,Unfamiliar,"['Seeb', 'Goodboys', 'HRVY']",0.00882,0.59,174811,0.677,0.000147,0,0.157,-5.395,1,0.0577,184.573,4,0.304,0.9062,0.9062,0.3221,Energised
3,Who's Got Your Love,"['Cheat Codes', 'Daniel Blume']",0.00553,0.704,157000,0.888,0.0011,11,0.079,-2.872,1,0.0541,125.027,4,0.531,0.9983,0.9983,0.551,Energised
4,Drown (feat. Clinton Kane),"['Martin Garrix', 'Clinton Kane']",0.212,0.573,174062,0.739,0.0,9,0.175,-5.455,1,0.0581,120.077,4,0.363,0.6813,0.6813,0.3766,Energised
5,Sun In Our Eyes - Don Diablo Remix,"['MØ', 'Diplo', 'Don Diablo']",0.0589,0.699,206453,0.861,2.64e-06,4,0.0794,-3.09,0,0.173,125.942,3,0.315,0.6501,0.6501,0.328,Energised
6,Lift Me Up (feat. Carla Monroe),"['Oliver Heldens', 'Firebeatz', 'Schella', 'Carla Monroe']",0.0426,0.579,177120,0.784,0.0235,5,0.317,-4.686,1,0.0659,125.122,4,0.562,-0.8659,-0.8659,0.5447,Energised
7,Better Off Without You (feat. Shift K3Y),"['Becky Hill', 'Shift K3Y']",0.0566,0.682,198743,0.855,1e-06,7,0.101,-3.282,1,0.0401,124.004,4,0.304,0.995,0.995,0.3239,Energised
8,Goodbye,"['Imanbek', 'Goodboys']",0.0225,0.741,144000,0.931,0.000102,10,0.191,-3.447,0,0.0563,125.011,4,0.517,-0.9759,-0.9759,0.4975,Energised
9,Siren Song - Radio Edit,"['CamelPhat', 'Eden']",0.00891,0.71,207302,0.705,0.16,7,0.177,-7.417,1,0.0345,119.986,4,0.34,,,0.34,Energised
10,I Found You (with Calvin Harris),"['benny blanco', 'Calvin Harris']",0.033,0.775,191496,0.872,0.0579,6,0.298,-4.194,1,0.0469,122.994,4,0.379,0.9851,0.9851,0.3987,Energised
11,Nobody,"['NOTD', 'Catello']",0.0166,0.818,143953,0.773,7.64e-06,8,0.377,-5.714,0,0.0579,122.016,4,0.878,0.996,0.996,0.8979,Energised
