,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,nlp_lyrics,nlp_annotations,valence+nlp,mood
0,Rain On The Cobblestone,['Royal Rain'],0.444,0.113,221979,0.947,0.916,10,0.765,-20.412,0,0.0664,95.604,4,1e-05,1.0,1.0,0.02,Sleepy
1,Nature Collection,['HD Rain & Water'],0.000103,0.186,115914,0.382,0.86,1,0.542,-25.823,1,0.0801,99.872,4,0.0601,1.0,1.0,0.0801,Sleepy
2,Tormenta ligera,['Tromentas Naturales'],0.00193,0.127,139333,0.815,0.861,2,0.931,-22.048,1,0.0698,144.644,5,0.0148,-0.9999,-0.9999,-0.0052,Sleepy
3,Pouring Rain And Thunder,['Berg & Sjo'],0.0171,0.157,154333,0.947,0.948,9,0.378,-18.268,0,0.0586,99.21,4,1e-05,,,1e-05,Sleepy
4,Take Cover,['Oluja'],0.0539,0.0732,180000,0.739,0.95,1,0.588,-26.256,1,0.0558,79.362,3,0.0268,-0.3032,-0.3032,0.0207,Sleepy
5,Hard Rain Falling,['Let It Rain'],0.128,0.169,164381,1.0,0.994,2,0.928,-22.066,1,0.0572,120.919,4,1e-05,0.9977,0.9977,0.02,Sleepy
6,Cozier Rain,['Aqualogic'],0.148,0.126,134000,0.998,0.989,5,0.929,-20.773,0,0.0508,86.145,4,0.00319,,,0.00319,Sleepy
7,Rainy Misty Skies,['Weather Factory'],0.046,0.146,156359,0.863,0.955,2,0.241,-23.138,1,0.0532,78.034,5,0.0233,1.0,1.0,0.0433,Sleepy
8,Heavy Storm,['Tempest'],4.28e-05,0.171,180000,0.496,0.92,1,0.389,-29.777,1,0.0907,118.452,4,0.0386,-0.9081,-0.9081,0.0204,Sleepy
9,Soft Spring Rain,['Alegrini'],0.13,0.0677,113502,0.999,0.973,2,0.644,-18.777,1,0.0502,181.835,1,1e-05,1.0,1.0,0.02,Sleepy
10,Friskt Regn,['Naturen'],0.132,0.2,179500,1.0,0.988,8,0.82,-17.617,0,0.0453,85.651,4,1e-05,1.0,1.0,0.02,Sleepy
11,Pouring Thunderstorm,['Water Effects Center'],0.0566,0.16,163667,0.648,0.792,2,0.572,-20.33,1,0.0752,128.637,3,0.01,0.9999,0.9999,0.03,Sleepy
12,Rain White Noise,['Sound FX of Nature'],0.0275,0.214,154552,0.555,0.866,5,0.743,-26.795,0,0.0589,97.864,4,0.0361,,,0.0361,Sleepy
13,Raining After Midnight,['Ray N.Y'],0.984,0.284,140193,1.0,0.562,2,0.909,-15.277,1,0.0738,108.598,3,0.000532,-0.9998,-0.9998,-0.0195,Sleepy
14,Spring Rain,['Deszcz'],1.41e-06,0.197,212000,0.722,0.0177,10,0.36,-21.248,1,0.0592,94.385,4,0.0218,,,0.0218,Sleepy
15,Rainy Morning Meditation,['It Will Make Me Whole'],0.916,0.166,126667,0.974,0.713,3,0.908,-17.074,0,0.0574,118.979,3,1e-05,1.0,1.0,0.02,Sleepy
16,Thunderstorm In the Forest,['Weather Watcher'],0.0423,0.165,154552,0.55,0.706,2,0.415,-20.38,1,0.0772,115.406,3,0.00922,-0.9983,-0.9983,-0.0107,Sleepy
17,Natural Sounds Of Nature,['Harmless Harmonics'],0.000426,0.191,150094,0.455,0.92,0,0.5,-25.649,0,0.0954,106.107,4,0.038,1.0,1.0,0.058,Sleepy
18,Focus Bad Weather,['Day & Night Rain'],0.002,0.141,103282,0.864,0.749,1,0.866,-19.187,1,0.0642,83.82,4,0.00528,-1.0,-1.0,-0.0147,Sleepy
19,Calming Rain Deluxe,['Always Raining'],0.161,0.18,86936,0.986,0.997,2,0.486,-17.159,1,0.0568,94.355,5,1e-05,0.9998,0.9998,0.02,Sleepy
20,Rain All Year Round,['April Shower'],0.272,0.195,192125,0.993,0.977,7,0.903,-28.628,0,0.0396,84.702,3,0.00303,0.25,0.25,0.008,Sleepy
21,Stormy Thunder,['Odd Weather'],0.0861,0.163,109227,0.936,0.928,5,0.591,-21.425,0,0.0611,67.252,4,0.00912,1.0,1.0,0.0291,Sleepy
22,Thunder & Rain Sound,['Loop And Shuffle'],0.0952,0.147,141920,0.556,0.791,1,0.654,-24.797,1,0.0677,88.933,5,0.036,0.9877,0.9877,0.0558,Sleepy
23,Continuous Rain,['The Sound Of The Rain'],0.172,0.0704,204171,1.0,0.988,5,0.93,-12.612,1,0.0751,78.249,4,1e-05,-0.9808,-0.9808,-0.0196,Sleepy
24,Magic Skies,['Embrace the Rain'],0.124,0.165,230000,1.0,0.837,6,0.926,-12.282,0,0.0537,80.461,4,1e-05,0.9995,0.9995,0.02,Sleepy
25,Rain all day,['Rayne'],0.189,0.129,208062,0.962,0.972,8,0.706,-27.496,1,0.0479,93.025,3,0.0125,0.6214,0.6214,0.0249,Sleepy
26,Cozy Rain,['Ray N.Y'],0.214,0.0779,168780,0.982,0.996,2,0.28,-16.86,1,0.0653,83.217,4,0.00658,-0.9998,-0.9998,-0.0134,Sleepy
27,Dublin Thunder,['Beautiful Plan'],0.038,0.185,204671,0.999,0.893,1,0.441,-14.005,0,0.108,94.445,4,0.00727,-0.9977,-0.9977,-0.0127,Sleepy
28,Non Stop Rain Sounds,['Raning Spot'],0.143,0.177,182044,0.486,0.974,5,0.431,-26.779,1,0.0583,82.37,3,0.0277,1.0,1.0,0.0477,Sleepy
