,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,lyrics,annotations,nlp_lyrics,nlp_annotations,valence+nlp,mood
0,Waves of Blue,['Majid Jordan'],0.00743,0.652,208747,0.861,2.25e-05,6,0.337,-4.863,0,0.0565,99.983,4,0.333,"[Verse 1: Majid Al Maskati]
I wanna hold you close
Don't wanna let you go
Be with you night and day
'Cause I've been feeling so low
Don't have to ask me twice
You really take me there
I wanna touch your light
I wanna breathe in your air

[Pre-Chorus: Majid Al Maskati]
I'll be holding you tight
When the night is through

[Chorus: Majid Al Maskati]
We'll be riding the tide in the sky, so alive
On waves of blue (Waves of blue)
I'm in love with the thought of being in love, in love with you (Love with you)
You can bring me along for the rest of your life if you wanted to (Wanted to)
We'll be riding the tide in the sky, so alive
On waves of blue (Waves of blue)
I'm in love with the thought of being in love, in love with you (Love with you)
Being in love with you (Love with you)
Being in love with you (Love with you)
On waves of blue (Waves of blue)

[Verse 2: Majid Al Maskati]
When the night is young
Tell me something so sweet
Wanna hear your song
Wanna dance to your heartbeat
Don't have to ask me twice
You really take me there
I wanna touch your light
I wanna breathe in your air

[Pre-Chorus: Majid Al Maskati]
I'll be holding you tight
When the night is through

[Chorus: Majid Al Maskati]
We'll be riding the tide in the sky, so alive
On waves of blue (Waves of blue)
I'm in love with the thought of being in love, in love with you (Love with you)
You can bring me along for the rest of your life if you wanted to (Wanted to)
We'll be riding the tide in the sky, so alive
On waves of blue (Waves of blue)
I'm in love with the thought of being in love, in love with you (Love with you)
Being in love with you (Love with you)
Being in love with you (Love with you)
On waves of blue (Waves of blue)

[Refrain: Majid Al Maskati]
Being in love with you (Love with you)
Being in love with you (Love with you)
Being in love with you
On waves of blue (Waves of blue)

[Bridge: Ebenezer]
You're no good for me, you got what I need
I just wanna be with you
I just wanna be with you, be with you
You're no good for me, you got what I need
I just wanna be with you
I just wanna be with you, be with you (Uh)

[Pre-Chorus: Majid Al Maskati]
I'll be holding you tight
I'll wait this through
Yeah

[Chorus: Majid Al Maskati]
We'll be riding the tide in the sky, so alive
On waves of blue (Waves of blue)
Being in love with you (Love with you)
Being in love with you (Love with you)
On waves of blue (Waves of blue)
Being in love with you (Love with you)
Being in love with you (Love with you)
Being in love with you
On waves of blue (Waves of blue)

[Outro: Ebenezer]
You're no good for me, you got what I need
I just wanna be with you
I just wanna be with you, be with you",,0.9991,0.9991,0.353,Aroused
1,Damage,['H.E.R.'],0.113,0.646,223415,0.696,0.0,1,0.115,-6.505,1,0.065,81.336,4,0.18,"[Verse 1: H.E.R. & Ant Clemons]
If you got it, it ain't no question
No, it ain't no room for guessin'
No more than emotionally invested (No, no)
Showin' you all my imperfections, oh

[Pre-Chorus: H.E.R., Ant Clemons, H.E.R. & Ant Clemons]
If I let you, you'll take me for granted, yeah (You, you, you, you)
If I'm worth more than you could manage, manage, yeah
Open with me, oh, we could be honest
Closer to me, oh, givin' me silence
Promise that you won't let me fall, oh, oh

[Chorus: H.E.R., Ant Clemons, H.E.R. & Ant Clemons]
Holdin' me tight, lovin' me right, givin' me life
All night you could be (You could be)
Tellin' me lies, makin' me cry, wastin' my time
The wholе time, so just be
Careful what you takе for granted, yeah
'Cause with me know you could do damage
You (Uh), you could do damage
You (You), you could do damage (You, you, you, you)
Yeah, uh

[Verse 2: H.E.R. & Ant Clemons]
Worry 'bout it, I'm puttin' pressure (You know)
You'll only kept me if I let you
No, we ain't doing this just for pleasure
Either learn me or I'm a lesson, gone, no

[Pre-Chorus: H.E.R., H.E.R. & Ant Clemons]
If you want me don't take me for granted, yeah, yeah
If I'm worth more than you could manage, baby
Oh, you're fallin' for me, oh, baby, I've caught it
Ooh, we could be whatever you wanna call it
Promise that you won't let me fall, oh, oh

[Chorus:  H.E.R., H.E.R. & Ant Clemons]
Holdin' me tight, lovin' me right, givin' me life
All night, you could be (You could be)
Tellin' me lies, makin' me cry, wastin' my time
The whole time, so just be
Careful what you take for granted, yeah
'Cause with me know you could do damage
You (Uh), you could do damage
You, you could do damage

[Outro: H.E.R.]
Oh, you could do damage
Oh, you could do damage, yeah
Oh, you could damage, yeah, yeah, oh, oh
Oh, you could damage, on me","[('Promise that you won’t let me fall, oh, oh', [['']]), ('Either learn me or I’m a lesson, gone, no', [['']]), ('Careful what you take for granted, yeah\n ’Cause with me know you could do damage\n You (Uh), you could do damage\n You (You), you could do damage (You, you, you, you)', [['']])]",-0.0373,-0.0373,0.1793,Aroused
2,Nobody But You,"['Sonder', 'Jorja Smith']",0.742,0.637,213214,0.299,0.0,7,0.359,-11.314,1,0.0366,83.872,4,0.364,"[Verse 1: Jorja Smith & Brent Faiyaz]
I've heard it all
Our conversations got me feelin’ I'm the fool
Like I should've listened when they said that you
Would treat me like you did, oh, yeah
Said I did it all
Situation makes me feel I’m not a man at all
Swore I'd be there, swore that I'd catch your fall
I guess I couldn't handle it, no

[Pre-Chorus: Brent Faiyaz]
And I know you probably thinkin' I ain't worth shit
But I'd never want anyone to bring you any harm
And I'd take it all back just to have you in my arms
And I know for a fact who we were ain’t who we are
We are

[Chorus: Jorja Smith & Brent Faiyaz]
Don’t think you cared about me
Oh, girl, I care about you
But you don't care ’bout nobody
Nobody but you
Don't think you cared about me
Oh, girl, I carе about you
But you don't care 'bout nobody
Nobody but you

[Verse 2: Brent Faiyaz & Jorja Smith]
I wish I had the time to run to you, not ruin your lifе
I’d never wrong you twice, I wanna make things right
And maybe, you'll take me
Hope you don't hate me
Don't want to fight anymore
Daytimes are silent as hell
I wish that I could ignore all that you said
If you can't find the time or space
Then I don't have the words to say
I wonder if the only peace we'll find
Gonna be when you tell me, ""Goodbye""?

[Pre-Chorus: Brent Faiyaz]
And I know you probably thinkin' I ain't worth shit
But I'd never want anyone to bring you any harm
And I'd take it all back just to have you in my arms
And I know for a fact who we were ain't who we are
We are

[Chorus: Jorja Smith & Brent Faiyaz]
Don't think you cared about me
Oh, girl, I care about you
But you don't care 'bout nobody
Nobody but you
Don't think you cared about me
Oh, girl, I care about you
But you don't care 'bout nobody
Nobody but you","[('I wonder if the only peace we’ll find\n Gonna be when you tell me, ”Goodbye”?', [['She is sad as she is realizing that the only way for both of them to be happy is when they break up. It is inevitable to happen and although they love each other, it just isn’t working at the moment.']])]",0.9956,0.9956,0.3839,Aroused
3,Pretty,"['Col3trane', 'Mahalia']",0.86,0.599,166920,0.336,0.0623,5,0.111,-12.528,1,0.0572,177.908,3,0.427,"[Verse 1: Col3trane]
How can I cut through this silence? Yeah
Need you to say that you're mine, yeah
Just don't make the same mistakes I did, oh, yeah
And I know I say it all the time

[Chorus: Col3trane]
But you're so goddamn pretty, pretty, pretty, pretty, baby
Yeah, you're so goddamn pretty, pretty, pretty, pretty, baby

[Verse 2: Mahalia]
Pretty with a little dash of ugly
But that's what makes you beautiful
I didn't ask for nobody to love me (No, I didn't, baby)
You told me I said that before
But you look so good, I took interest
Now you make me feel like a princess
And I know I say it all the time

[Chorus: Col3trane & Mahalia]
But you're so goddamn pretty, pretty, pretty, pretty, baby
Yeah, you're so goddamn pretty, pretty, pretty, pretty, baby

[Bridge: Col3trane, Col3trane & Mahalia]
You woke up drunk speakin' my language
(Finally you speakin' my language, oh, baby)
Talkin' in tongues for the night
(Trying to talk with our tongues tied)
With you on my plate, you're my banquet
And I gotta smile to say this
But I'm usually way too shy

[Chorus: Col3trane & Mahalia, Mahalia]
But you're so goddamn pretty, pretty, pretty, pretty, baby
(Yeah-yeah, yeah-yeah)
Yeah, you're so goddamn pretty, pretty, pretty, pretty, baby
(Yes, you are baby, oh, oh)
But you're so goddamn pretty, pretty, pretty, my pretty baby (My pretty baby)
Yeah, you're so goddamn pretty, pretty, pretty, my pretty baby",,0.9987,0.9987,0.447,Aroused
4,Situationship,['Nbdy'],0.358,0.565,176640,0.508,5.95e-06,10,0.113,-6.847,0,0.107,124.848,4,0.372,"[Intro]
TouchedDown Sound

[Verse 1]
Girl, don't keep no secrets from me
When you lock up, I hold the key
You already know, girl, what it was, yeah, uh
You wanna stay high in the sheets
And say I'm playing Monopoly
Or tell me 'bout myself so I can justify why

[Pre-Chorus]
I'm gon' keep on coming back to you, huh
Just hit me when you're lonely and I'll come over
Don't be actin' hella shady
Like I didn't fuck you just the other night

[Chorus]
But that's alright, but that's alright, yeah
Show me something different, you ain't gotta lie
But that's alright, but that's alright, yeah
Lil' mama, show me something different (Show me something different)
It's alright, I'll please you right
Show me something different, you ain't gotta lie
But that's alright, I'll please you right, girl

[Verse 2]
You make me feel helpless
Obviously I don't wanna give you pain
I know it's selfish
Too proud to say I don't want anything

[Pre-Chorus]
I'm gon' keep on coming back to you
Just hit me when you're lonely and I'll come over (I'll come over)
Don't be actin' hella shady
Like I didn't fuck you just the other night

[Chorus]
But that's alright, but that's alright, yeah
Show me something different, you ain't gotta lie
But that's alright, but that's alright, yeah
Lil' mama, show me something different (Show me something different)
Show me something different, you ain't gotta lie
But that's alright, but that's alright, yeah

[Outro]
I'm gon' keep coming back to you, you, you, you",,0.9911,0.9911,0.3918,Aroused
5,PEAKING,['Tay Iwar'],0.834,0.635,193235,0.284,0.023,5,0.119,-12.211,1,0.0683,140.058,4,0.363,"[Intro]
I just wanna see ya, ooh
I've been sipping, overthinking

[Verse 1]
Damn, I stayed up from like five in the evening
With you
Think I'm dreaming
My mind is peaking
Oh my God
Peaking

[Chorus]
I just wanna see ya, ooh
I've been sipping, overthinking
Stuck inside my house and I just wanna see ya, ooh

[Verse 2]
I've been sipping
Overthinking, yeah, uh

[Verse 2]
All I gotta do is open up to you (Ooh)
Baby, I'm a fool for ya
Yeah, yeah
And you got me patient
My lover, my baby (Oh)
You know that's what I like
Hotel in Lagos banging
I can say there's Heaven
I can see it, mama, hmm
I'm damned if I'm a liar
You
Your intentions got me tensed
Know what to do
You're the one
You're the right now
For you, babe
I gotta move, I gotta focus
Yeah
Seen the fire, seen the light
Yeah
In her eyes last time
Yeah
I don't want no fight
Yeah
Never lied, I never lied
Huh
I never doubted you
I never doubted what we could be
It's right in front of me, no

[Chorus]
I just wanna see ya, ooh
I've been sipping, overthinking
Stuck inside my house and I just wanna see ya, ooh

[Outro]
Ooh, oh-woah
Oh-oh
I like what you do (I like, yeah, yeah)
I don't ever wanna be without you (Never leave you)
Lately, I've been blue (Blue)
You see me, I'ma act brand new
I, I, I followed my heart and it
Took me right next to you, baby
You know
I, I, I, I
I like what you do
I don't ever wanna be without you
Ooh",,0.9783,0.9783,0.3826,Aroused
6,Leave The Door Open,"['Bruno Mars', 'Anderson .Paak', 'Silk Sonic']",0.182,0.586,242096,0.616,0.0,5,0.0927,-7.964,1,0.0324,148.088,4,0.719,"1. Bruno Mars, Anderson .Paak & Silk Sonic- Leave The Door Open
2. Anderson .Paak- Tints (feat. Kendrick Lamar)
3. Anderson .Paak- JEWELZ
4. Eminem- Lock It Up (feat. Anderson .Paak)
5. Anderson .Paak- Jet Black (feat. Brandy)
6. Busta Rhymes & Anderson .Paak- YUUUU
7. Anderson .Paak- CUT EM IN (feat. Rick Ross)
8. Anderson .Paak- Lockdown
9. Nas- All Bad (feat. Anderson .Paak)
10. Mark Ronson, Anderson .Paak & Spies In Disguise- Then There Were Two
11. Anderson .Paak- King James
12. Ab-Soul, Anderson .Paak & James Blake- Bloody Waters
13. Anderson .Paak- Yada Yada
14. Anderson .Paak- Chosen One (feat. Sonyae Elisе)
15. Anderson .Paak- Twilight
16. Anderson .Paak- Winners Circlе
17. Mac Miller- Dang! (feat. Anderson .Paak)
18. Anderson .Paak- What Can We Do? (feat. Nate Dogg)
19. Anderson .Paak- Come Home (feat. André 3000)
20. Anderson .Paak- Am I Wrong (feat. Schoolboy Q)
21. Anderson .Paak- Reachin' 2 Much (feat. Lalah Hathaway)
22. Anderson .Paak- Trippy (feat. J. Cole)
23. Anderson .Paak- Cheers (feat. Q-Tip)
24. Anderson .Paak- Make It Better (feat. Smokey Robinson)
25. Anderson .Paak- 6 Summers
26. Anderson .Paak- Come Down
27. Anderson .Paak- Headlow (feat. Norelle)
28. Anderson .Paak- Who R U?
29. Anderson .Paak- Milk N’ Honey
30. Anderson .Paak- Bubblin
31. KAYTRANADA- GLOWED UP (feat. Anderson .Paak)
32. Anderson .Paak- Saviers Road
33. Anderson .Paak- Good Heels (feat. Jazmine Sullivan)
34. Anderson .Paak- Anywhere (feat. Snoop Dogg & The Last Arful, Dodgr)
35. Anderson .Paak- The Waters (feat. BJ The Chicago Kid)
36. Anderson .Paak- 'Til It's Over
37. Anderson .Paak- Might Be
38. Anderson .Paak- Brother’s Keeper (feat. Pusha T)
39. Anderson .Paak- Sweet Chick (feat. BJ The Chicago Kid)
40. NxWorries, Anderson .Paak & Knxwledge- Suede
41. NxWorries, Anderson .Paak & Knxwledge- What More I Can Say
42. NxWorries, Anderson .Paak & Knxwledge- Bstwun (Chppd)
43. Anderson .Paak- The Season/Carry Me
44. Anderson .Paak- Room In Here (feat. The Game)
45. Anderson .Paak- Miss Right
46. Anderson .Paak- Here Don't Stand A Chance
47. Anderson .Paak- Luh You
48. Macklemore & Ryan Lewis- Dance Off (feat. Idris Elba & Anderson .Paak)
49. Anderson .Paak- Lite Weight
50. Anderson .Paak- Off the Ground
51. Anderson .Paak- Parking Lot
52. SiR- New LA (feat. Anderson .Paak & King Mez)
53. GoldLink- Unique (feat. Anderson .Paak)
54. Mr. Probz- Gone (feat. Anderson .Paak)
55. Anderson .Paak- Put Me Thru
56. NxWorries, Anderson .Paak & Knxwledge- Link Up
57. NxWorries, Anderson .Paak & Knxwledge- Scared Money
58. Anderson .Paak- The Dreamer (feat. Talib Kweli & Timan Choir)
59. Rapsody- OooWee (feat. Anderson .Paak)
60. Blended Babies- Make It Work (feat. Anderson .Paak, Asher Roth & Donnie Trumpet)
61. Anderson .Paak- Already (feat. SiR)
62. TOKiMONSTA- Realla (feat. Anderson .Paak)
63. NxWorries, Anderson .Paak & Knxwledge- Get Bigger / Do U Luv
64. Anderson .Paak- The Bird
65. Anderson .Paak- Silicon Valley
66. NxWorries, Anderson .Paak & Knxwledge- Lyk Dis
67. Anderson .Paak- Celebrate",,-0.184,-0.184,0.7153,Aroused
7,Julie.,['Gallant'],0.293,0.424,231733,0.647,0.0,2,0.209,-6.593,0,0.156,147.681,4,0.571,"[Intro]
(Julie)

[Chorus]
Julie, don't leave me 'til the morning
If you're hurting
Let me put that anesthetic on you
Julie (Julie), don't leave me 'til the morning (Morning)
If you're hurting (Hurting)
Promise I can make it better for you

[Verse 1]
I messed up the past
Don't gotta go packing your bags
Can a nigga save face (Can a nigga save face?)
Before you leave him at the runway?
Know I kept rolling the dice (Yeah)
Hit a nerve once or twice, slippеd on the ice
Cold as it was, I got the mеssage
Heard that you told your friends, I learned my lesson

[Pre-Chorus]
So, baby, why do you keep running away? (Running away)
Why don't you stay? (Why don't you stay)
I swear I'll be true (Swear I'll be true)
No carbon-based life form
Could ever make a mistake (Make a mistake)
Time can't erase (Time can't erase)
Or we can't undo (We can't undo)
Julie

[Chorus]
Julie (Julie), don't leave me 'til the morning (Morning)
If you're hurting (Hurting)
Let me put that anesthetic on you
Julie (Julie), don't leave me 'til the morning (Morning)
If you're hurting (Hurting)
Promise I can make it better for you

[Verse 2]
Woah-oh (Ooh-ooh)
I know I can get lost in space, baby (Lost in space, babe)
But you know I care for you, you (Care for you)
Soon as I'm glued to the hallucination
Your vibrations always cut through

[Pre-Chorus]
So tell me why do you keep running away? (Keep running away)
Why don't you stay? (Why don't you stay)
I swear I'll be true (I swear I'll be true)
No carbon-based life form
Could ever make a mistake (Can't make a mistake)
Time can't erase (Time can't erase)
Or we can't undo (We can't undo-do)
Julie

[Chorus]
Julie (Oh-oh, yeah), don't leave me 'til the morning ('Til the morning)
If you're hurting (Hurting, oh)
Let me put that anesthetic on you
Julie (Julie), don't leave me 'til the morning (Morning; ooh)
If you're hurting (Hurting)
Promise I can make it better for you

[Outro]
Julie, don't leave me 'til the morning
Julie, don't leave me 'til the morning (Oh-oh)
Oh, oh, Julie

[Interlude]
It's happening, it's happening",,0.8144,0.8144,0.5873,Aroused
8,On The Way (feat. Mila J),"['Jhené Aiko', 'Mila J']",0.756,0.575,222600,0.443,0.0,7,0.109,-11.626,0,0.28,113.862,4,0.658,"[Verse 1: Jhené Aiko]
I can't wait 'til you come over
I'm not sober, so, you know
How it's 'bout to go
'Cause I like to fuck when I'm drunk (Ayy)
I like to suck when I'm drunk (Ayy)
Come on, my baby, what's up? (What's up?)
I need you to hurry up
I can't wait, I can't wait
Pussy fairy's on the way (I got pussy on the way, pussy on the way)
Ooh, woah (Put that pussy on my face), yeah
I need that late night lovin'
I'm on my way, I'm comin'
I've been alone all night
I got you on my mind
I touch myself just thinkin' about you and
What that mouth do, yeah
When it come down, ooh
Lick it up, suck it up, vacuum, uh
Lick it up, suck it up, vacuum, like, oh, uh
Lay me on my tummy, put it in my stomach
You know exactly just how I want it
Now I can't stop comin'
Love how you love shootin' up my club
Let's go half on a son
How far do you wanna go?
Oh

[Chorus: Jhené Aiko & Mila J]
Pussy fairy on the way (I'm on my way)
Baby, you ain't gotta wait, no (Wait, no)
Can't wait to see the look on your face
When I put this pussy on your plate

[Verse 2: Mila J]
Bust it open, put his face in it (Ooh)
He ain't done 'til I say finish
Booty clappin' from the backshots
While we watch porn on the laptop
Pussy good, it's a fun time
Throw it up, it's that sunshine
Dick harder than the concrete
Got me squirtin', take off the sheets
I want you to see it
You're what this pussy needed (That dick, oh-oh)
Spit on that shit, make it glisten (You love how)
You love how my titties be sittin' (Yeah)
Grab my neck while I throw it back
You can play with my booty, I'm a freak like that, oh
I blow you shotguns while I ride it (Ride it)
Inhale the smoke while you stroke inside it
This pussy's yours, tear the frame out
Tell your friends Tinkerbell fucked your brains out (Your brains out)
Oh, woah

[Chorus: Jhené Aiko & Mila J]
Pussy fairy on the way (I'm on my way)
Baby, you ain't gotta wait, no (Baby, you ain't gotta wait)
Can't wait to see the look on your face (Look up on your face)
When I put this pussy on your plate
Ooh, woah-woah

[Outro: Jhené Aiko]
I can't wait 'til you come over
I'm not sober, so, you know
How it's 'bout to go
I like to, I like to fuck when I'm drunk (Ayy)
I like to suck when I'm drunk (Ayy)
Come on my, come on, my baby, what's up? (What's up?)
I need you to hurry up
I can't wait, I can't wait
Pussy fairy's on the way (I got pussy on the way, pussy on the way)
Ooh, woah (Put that pussy on my face)","[('Tinkerbell fucked your brains out', [['Tinkerbell is a fairy from the Peter Pan franchise as well as  the main character of her self-titled film series, both owned by Disney.\n\n\n\nMila uses this as an expression of having a magical pussy that’s so good that you’ll tell your homeboys/girls about it. It also correlates with her sister Jhené’s song ‘P*$$Y Fairy’ from her third studio album Chilombo, which Jhene herself also reffrances on the song.']]), ('Love how you love shootin’ up my club', [['When a man ejaculates inside a woman, it’s also known as “Shooting up her club up.” Jhené is a saying she loves when Big Sean bust in her raw.']])]",0.5508,0.5508,0.669,Aroused
9,City Girl,"['Ari PenSmith', 'Jonah Christian']",0.695,0.453,159365,0.495,0.000117,7,0.108,-10.541,0,0.0927,88.811,4,0.297,"[Intro]
Yeah

[Verse 1]
Steppin' out the yard, you're militant
Even though this time I'm innocent
Silence is your favorite instrument
Ya use it on me every chance you get

[Pre-Chorus]
If you wanna leave, then go
If you wanna stay then move on
No point in holding on
If it's better if we let tings go, oh-oh

[Chorus]
Ooh, city girl
You know you rock my world
And I rocked your world
Ooh, city girl
No, this ain't gonna work
If you don't let go of

[Post-Chorus]
All the hurt, I've seen it before
Don't go 'round and make a sequel
Hurt people hurt new people
Oh-oh, oh-oh-oh
I've seen it beforе
Don't go 'round and make a sequel
Hurt pеople hurt new people
Oh-oh, oh-oh-oh

[Verse 2]
Don't let my bad decisions go and make you switch sides
You're one of the goodies, you ain't one of us, don't you lie
Once you do this, you can't go back
Know I took you off track, ain't gotta do me like that

[Pre-Chorus]
If you wanna leave, then go
If you wanna stay then move on
No point in holding on
If it's better if we let tings go, oh-oh

[Chorus]
Ooh, city girl
You know you rock my world
And I rocked your world
Ooh, city girl
No, this ain't gonna work
If you don't let go of

[Post-Chorus]
All the hurt, I've seen it before
Don't go 'round and make a sequel
Hurt people hurt new people
Oh-oh, oh-oh-oh
I've seen it before
Don't go 'round and make a sequel
Hurt people hurt new people
Oh-oh, oh-oh-oh",,-0.9734,-0.9734,0.2775,Aroused
