,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,lyrics,annotations,nlp_lyrics,nlp_annotations,valence+nlp,mood
0,Worst of Times,"['Trash Talk', 'Kenny Beats']",0.000521,0.608,122147,0.916,0.876,8,0.0437,-6.387,1,0.0541,132.032,4,0.533,,,,,0.533,Angry
1,Green,['Touché Amoré'],1.16e-05,0.547,182933,0.917,0.000227,1,0.12,-6.944,1,0.0681,90.005,4,0.3,"I want to be a dry town after first rain
I want to be green, uncommonly
A life of want
A life that's always pending
A childhood home that's now pretending

Doesn't seem so far
Doesn't seem so impossible
Keep me close or else I'm out of control
Call for attention
This is critical
A welcome sign.. turned off.. so typical

It's simple really, how sad it is
It's simple really, how sad it is

There's nothing new under the moon
I've seen enough, haven't you?

I want to be a fawn, orphaned young
I want to have grace, to spite everyone
A life of want
A life that's always longing
We'll skip town once I'm done stalling

Doesn't seem so far
Doesn't seem so impossible
Keep me close because I'm losing control
Call for attention
This is critical
A welcome sign.. turned off.. it's time to go
It's simple really, how sad it is
It's simple really, how sad it is

There's nothing new under the moon
So burn it down, I'll see you soon",,-0.9188,-0.9188,0.2816,Angry
2,Traverse,['Typecaste'],1.24e-05,0.374,144918,0.921,0.0448,1,0.329,-2.353,1,0.0647,108.933,4,0.309,"Je rêvais d'aventures
D'emprunter la voiture de mon père
D'aller traîner dans les bars
Sur le modèle Rock Star, Angleterre
J'rêvais de traverser la Manche
Accroché aux hanches de ma Telecaster

C'étaient des nuits toutes d'un bloc
À creuser dans le Rock and Roll mystère
Jusqu'à trouver la note
Qui aurait mis tous mes potes d'équerre
Comme le noyé à la branche
Accroché au manche de ma Telecaster

J'espérais qu'il reste une place de libre
Une heure de gloire
Quelque chose entre Gershwin et Mozart

Des places il n'en restait aucune
J'suis parti jouer pour pas une thune
Et ""nowhere""
Des câbles pleins de bière
Et les amplis qui pèsent un enfer
Sur toutes les mauvaises planches
Accroché aux hanches de ma Telecaster
J'espérais qu'il reste une place de libre
Une heure de gloire
Quelque part entre Hendrix et Mozart

Et puis j'ai croisé cette fille
Ça m'a fait l'effet d'une aiguille, d'un éclair
J'ai joué des tonnes de blues
Dans toutes les caves de Toulouse pour lui plaire
Debout dans la lumière blanche
Accroché au manche de ma Telecaster",,0.0,0.0,0.309,Angry
3,Bliss Out,['Drug Church'],0.00464,0.506,113000,0.986,4.98e-05,9,0.311,-3.118,1,0.124,135.549,4,0.252,"Hand to your forehead, sign you feel stress
Something in your gut tells you ""this is it.""
Phone is dead so there's no ambulance

I guess I'll see you

Palm reader warns me, ""more of this shit.""
Is it forever though? ""Man, you know it is.""
Can't be left alone? ""Sorry, not a chance.""
Unmarked grave, mom didn't wanna spend
Who can blame her? Best to just forget
She can start again, with a new kid
First time went bad, time to start again

Oh man, what a loss
Catch you at the vigil
I got my candle ready
Celebrate a life or something

With so many reasons to hate me, why lie?
Why lie? Why lie?
Why lie? Why lie?",,-0.8028,-0.8028,0.2359,Angry
4,Purer Form of Pain,['Counterparts'],0.00235,0.248,185217,0.949,0.0,7,0.0497,-3.192,1,0.283,194.988,5,0.349,"[Intro]
I've saved a drop of blood for when I truly need it most
To be distributed among the parasites
I've saved a drop of blood for when I truly need it most
To be exchanged for a purer form of pain

[Verse 1]
My ribcage will replace a ladder's rungs
Leading me towards the ceiling of my curse
As the earth falls upward from the ground
Where I collapse in sunken skies

[Pre-Breakdown]
I am but one man
And the sorrow I have salvaged won't sustain

[Breakdown]
Murder me in the silence I have lived in
My fingernails won't hold a torch that mirrors my reflection
Murder me in the silence I have lived in

[Verse 2]
No trace of tension could coerce the composition from my skull
Like a currency reserved for skeletons
I will deny a high regard
Sick to my stomach at the distance to the ground
[Verse 3]
My ribcage will replace a ladder's rungs
Leading you towards the depth of my despair
We collapse inside the walls that close before us

[Pre-Breakdown]
Murder me in the silence I have lived in
A fabrication to appease the ones who suffer

[Breakdown]
Don't call me your protector
I couldn't keep myself from caving in
Don't call me your protector
A war against myself I'll never win

[Outro]
I've saved a drop of blood for when I truly need it most
To be distributed among the parasites
I've saved a drop of blood for when I truly need it most
To be exchanged for a purer form of pain","[('Like a currency reserved for skeletons', [['A reference to an “I Think You Should Leave” sketch where a bass player is improvising lyrics to impress a couple of record producers. He mentions how the bones are the skeletons money like 4 times.']])]",-0.9285,-0.9285,0.3304,Angry
5,Parasitic Cleanse,['Hail The Sun'],0.00183,0.223,204786,0.981,0.000159,11,0.0648,-3.483,1,0.22,180.835,3,0.165,"[Intro]
Burning fission
Eight-six eight-one-five
Burning solemn

[Breakdown]
Break in the through the weakness
We are like a virus
Focus on the vein that is leaking
Acting under pressure anything is justified
Doing what they're told
Crossing T's, dotting I's
And I wonder
And I wonder
And I wonder

[Verse]
Do we siphon sunlight?
Are we leeches in debris?
Make us suffer silent
So you can all pretend that you don't see

[Pre-Chorus]
Concept lost on all of us

[Chorus]
Decay, disarray
The crisis doctors say I'm not okay
If God is watching us
This must be what it wants
[Post-Chorus]
Decimated, waiting
Died off as we waited

[Verse]
Do we siphon sunlight?
Are we leeches in debris?
Make us suffer silent
So you can all pretend that you don't see

[Breakdown]
Break in the through the weakness
We are like a virus
Focus on the vein that is leaking
They just do as they're told
Why stay here if we know
That we're under
That we're under
That we're under?

[Chorus]
Decay, disarray
The crisis doctors say I'm not ok
A means to an end
We're told this is a parasitic cleanse
If God is watching us, this must be what it wants
[Post-Chorus]
Decimated, waiting
Died off as we waited","[('Eight-six eight-one-five', [['8/6 1945 at 8:15 am is the time that Hiroshima was bombed by a nuclear weapon. The raw destructive power of nuclear weapons showcases human ingenuity and our parasitic nature, thematic with the song.']])]",-0.9894,-0.9894,0.1452,Angry
6,Paragons of Virtue,['Hesitation Wounds'],6.89e-06,0.149,110653,0.997,0.000574,1,0.675,-4.985,1,0.386,167.201,4,0.0335,"We're open-minded but short-sighted
We expect what we want
We all try to act surprised
When it all falls apart
That's no surprise
That's no surprise

We're resolute but still confused
We're counting the cards
We're itemized, prioritized
By how far we can fall

While we compare ourselves to the grandeur of statues
We're lost within ourselves as we play to lose
While we compare ourselves to paragons of virtue
We're lost within ourselves as we play to lose
As we pray to lose

I'm crossing my name off
I'm turning around
I'm disconnected
But glory bound",,0.7227,0.7227,0.048,Angry
7,List & Heel,['Defeater'],9.66e-06,0.409,167006,0.987,0.69,9,0.296,-2.655,0,0.0677,75.983,4,0.15,"[Pre-Chorus]
Time stands still
Stands still
Time stands still

[Chorus]
The sea stands still for us, my love
Our anchor dropped in the rising sun
I hope still for your words to come
All is fair in a war un-won
I still stand, I still breathe
While only salt and death surround me
I long still for your arms, my love
Hold me close away from things I've done

[Verse]
Waves crash the hull
In morning's quiet calm
The calm before the storm
The break before the dawn
Before the shelling starts
Black clouds above
Hang over our heads
They bring a flash of death
The cold reaper's hand tries to pull me in
Lances speed off port
Aim to split our sides
The run's fanning wake looks a mile wide
As the blister breaks and the ballasts fill
The ship's bell is rung
List and heel with ash cans in the distance
Silence deafened
Bled in, scuttled and lost
[Pre-Chorus]
Time stands still
Stands still
Time stands still

[Chorus]
Time stands still for us my love
Our anchor dragged in the smoked out sun
No hope still for your words to come
All is fair in a war un-won
I still stand, I still breathe
While only salt and death surround me
I long still for your arms, my love
I long still for your arms","[('Ash cans', [['Depth charges, used to attack enemy submarines, were also called “ash cans”']]), ('Blister', [['Some WWII ships had an anti-torpedo feature called a “blister” below the waterline.']]), ('Lances speed off port\n Aim to split our sides', [['“Lance” was a name to a type of torpedo used by the Japanese in WWII, which would be intended to split open the side of the ship.  The Bible also says that a lance was used to pierce Jesus’s side when he was crucified, but doesn’t specify whether it was the left (port) side.']])]",0.7964,0.7964,0.1659,Angry
8,Fade Out,['Tunic'],7.29e-06,0.162,135322,0.94,0.00111,3,0.328,-6.533,0,0.0812,108.151,4,0.226,"Can you see me, or can you hear me
Oh can you heed my call
I thought you’d be the one
To see through it all

Can you love me? Or can you need me
Like i needed you
When for you my love
There’s nothing that i wouldn’t do

It’s enough to make you feel what you’re doing
What you’re doing is wrong
Oh enough to make you cry or want to die alone

It’s enough to make you feel what you’re doing
What you’re doing is wrong
Or enough to make you sit and cry and die again alone, you know

I need you

Fade out, is what they want you to do
Fade out, when they hear it from you
Fade out, when they get you alone
Fade out… fade out…

ETC",,-0.9136,-0.9136,0.2077,Angry
9,FT. FRANK TURNER,['The Armed'],8.69e-05,0.28,88040,0.988,0.945,5,0.367,-4.107,0,0.0945,104.658,4,0.0309,,,,,0.0309,Angry
10,Sulfur Surrounding,['Code Orange'],0.000238,0.35,227160,0.978,0.00142,1,0.408,-1.999,0,0.158,133.787,4,0.303,"[Intro]
Let's take a good look at you

[Verse 1]
You wanna see it through my eyes
So I’m coming through
But I've never seen a ground so hollow
Haunted by a chemical compulsion
When I know that there are options
I wanna see it through God's eye
But hate brews in me so easy

[Chorus]
I know you want it
You glued to me so easy
Sulfur surrounding
It puts you away

[Verse 2]
I had to see it through your eyes
So I’m coming back
To corrode the chords, communicate the feeling
You wanna see it through my eyes
But your body is blue
It shouldn't be so easy
[Chorus]
I know you want it
You glued to me so easy
Sulfur surrounding
It drags you through hell

[Post-Chorus]
You wanna see it through God's eyes
So I'm coming (I'm coming)
You wanna see it through God's eye
So I'm coming

[Bridge]
Take me over
Take me over
Take me
Take me

[Chorus]
I know you want it
You glued to me so
I know you want it
You glued to me so easy
But now you've got it
It proved to be so easy
Sulfur surrounding
Surrounding
Surrounding me
[Outro]
Sulfur surrounding
It puts you away
There’s nowhere to run","[('There’s nowhere to run', [['This sample is also used at the end of “3 Knives” from the band’s The Hurt Will Go On EP.']]), ('You wanna see it through my eyes', [['This line also appears in “dream2” from their previous album Forever, albeit this time in the form of a statement rather than a question.']]), ('Let’s take a good look at you', [['A sample spoken by Nicole Dollanganger that is also present in (deeperthanbefore).']])]",0.94,0.94,0.3218,Angry
