,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,lyrics,annotations,nlp_lyrics,nlp_annotations,valence+nlp,mood
0,Heat Waves,['Glass Animals'],0.44,0.761,238805,0.525,6.7e-06,11,0.0921,-6.9,1,0.0944,80.87,4,0.531,"[Intro]
(Last night, all I think about is you
Don't stop, baby, you can walk through
Don't want, baby, think about you
You know that I'm never gonna lose)
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a—

[Chorus]
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

[Verse 1]
Usually I put somethin' on TV
So we never think about you and me
But today I see our reflections clearly
In Hollywood, layin' on the screen
You just need a better life than this
You need somethin' I can never give
Fake water all across the road
It's gone now, the night has come, but
[Chorus]
Sometimes all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

[Verse 2]
You can't fight it, you can't breathe
You say somethin' so lovin', but
Now I gotta let you go
You'll be better off in someone new
I don't wanna be alone
You know it hurts me too
You look so broken when you cry
One more and then I'll say goodbye

[Chorus]
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
[Bridge]
I just wonder what you're dreamin' of
When you sleep and smile so comfortable
I just wish that I could give you that
That look that's perfectly un-sad
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Heat waves been fakin' me out

[Chorus]
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

[Outro]
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror","[('Late nights in the middle of June', [['June is the first month of summer in the Northern Hemisphere. This relates to the song’s theme of “Heat Waves.”\n\nAlthough the single was originally slated for a mid-June release, it was delayed until the end of the month due to unforeseen, potentially COVID-19-related circumstances.']]), ('Usually I put somethin’ on TV\n So we never think about you and me\n But today I see our reflections clearly\n In Hollywood, layin’ on the screen', [['This is that old cliche where you break up with someone and try to distract yourself with art but you just end up seeing parallels between what’s on the screen and your own real-life drama. Bayley is alone trying to cope but can’t stop thinking about the breakup (or his soon-to-be-ex), so he uses entertainment to distract him from his heavy thoughts and feelings.\n\nCould also refer to him seeing the image of them sitting side by side reflected on the screen of the TV set. The attempt to distract from their issues inadvertently forces them to face each other. The TV allows him to see not only literal reflections of their relationship, but also reminds him of the ideals of a happy couple and how his partner needs more than the life they are living due to possible unrequited love.']]), ('Road shimmer wigglin’ the vision\n Heat, heat waves, I’m swimmin’ in a mirror\n Road shimmer wigglin’ the vision\n Heat, heat waves, I’m swimmin’ in a—', [['Dave is referring to a mirage that can occur when asphalt or pavement becomes very hot. Hot air bends light differently than cool air and since the air is rising it creates a shimmery, distorted look that can sometimes look wet.\n\nThe imagery of a blurry road ahead of him could represent how his aim or goal in life is blurred by people’s perceptions of him, making him forget about what he really wants to do in order to make others happy. He’s mirroring back what they want him to be.']])]",0.386,0.386,0.5387,Happy
1,Peaches (feat. Daniel Caesar & Giveon),"['Justin Bieber', 'Daniel Caesar', 'Giveon']",0.321,0.677,198082,0.696,0.0,0,0.42,-6.181,1,0.119,90.03,4,0.464,"1. Justin Bieber- 2 Much
2. Justin Bieber- Deserve You
3. Justin Bieber- As I Am (feat. Khalid)
4. Justin Bieber- Off My Face
5. Justin Bieber- Holy (feat. Chance the Rapper)
6. Justin Bieber- Unstable (feat. The Kid LAROI)
7. Justin Bieber- Die For You (feat. Dominic Fike)
8. Justin Bieber- Hold On
9. Justin Bieber- Somebody
10. Justin Bieber- Ghost
11. Justin Bieber- Peaches (feat. Daniel Caеsar & Giveon)
12. Justin Bieber- Lovе You Different (feat. BEAM)
13. Justin Bieber- Loved By You (feat. Burna Boy)
14. Justin Bieber- There She Go (feat. Lil Uzi Vert)
15. Justin Bieber- I Can't Be Myself (feat. Jaden)
16. Justin Bieber- Lifetime
17. Justin Bieber- Wish You Would (feat. Quavo)
18. Justin Bieber- Know No Better (feat. DaBaby)
19. Justin Bieber- Name (feat. Tori Kelly)
20. Justin Bieber- Anyone
21. Justin Bieber & benny blanco- Lonely
22. Justin Bieber- Sorry
23. DJ Snake- Let Me Love You (feat. Justin Bieber)
24. Justin Bieber- Yummy
25. Justin Bieber- Intentions (feat. Quavo)
26. Justin Bieber- What Do You Mean?
27. Justin Bieber- Love Yourself
28. Major Lazer- Cold Water (feat. Justin Bieber & MØ)
29. Justin Bieber- Baby (feat. Ludacris)
30. DJ Khaled- I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)
31. Justin Bieber- As Long As You Love Me (feat. Big Sean)
32. Luis Fonsi & Daddy Yankee- Despacito (feat. Justin Bieber) [Remix]
33. Justin Bieber- Boyfriend
34. David Guetaa- 2U (feat. Justin Bieber)
35. Justin Bieber- Beauty And A Beat (feat. Nicki Minaj)
36. Jack Ü, Skrillex, Diplo & Justin Bieber- Where Are Ü Now
37. Justin Bieber- Never Say Never (feat. Jaden)
38. Justin Bieber- All Around Me
39. Justin Bieber & BloodPop®- Friends
40. Justin Bieber- Company
41. Justin Bieber- Somebody To Love
42. Ed Sheeran & Justin Bieber- I Don't Care
43. Justin Bieber- One Time
44. Justin Bieber- Come Around Me
45. Justin Bieber- Forever (feat. Post Malone & Clever)
46. Justin Bieber- Confident (feat. Chance the Rapper)
47. Sean Kingston & Justin Bieber- Eenie Meenie
48. DJ Khaled, Justin Bieber & Quavo- No Brainer (feat. Chance the Rapper)
49. Justin Bieber- All That Matters
50. Chris Brown & Justin Bieber- Next To You
51. Justin Bieber- One Less Lonely Girl
52. will.i.am- #thatPOWER (feat. Justin Bieber)
53. Dan + Shay & Justin Bieber- 10,000 Hours
54. Justin Bieber- Purpose
55. Justin Bieber- Habitual
56. Justin Bieber- All Around The World (feat. Ludacris)
57. Maejor- Lolly (feat. Juicy J & Justin Bieber)
58. Justin Bieber- Changes
59. Justin Bieber- I'll Show You
60. Justin Bieber- U Smile
61. Justin Bieber- Second Emotion (feat. Travis Scott)
62. Justin Bieber & Summer Walker- Yummy (Summer Walker Remix)
63. Justin Bieber- That's What Love Is
64. Justin Bieber- Available
65. Justin Bieber- Heartbreaker
66. Justin Bieber- Be Alright
67. Justin Bieber- Get Me (feat. Kehlani)",,0.9889,0.9889,0.4838,Happy
2,OK - with Remi Wolf & Solomonophonic,"['Wallows', 'Remi Wolf', 'Solomonophonic']",0.297,0.652,162207,0.855,0.0,10,0.208,-4.401,1,0.0434,144.978,4,0.8,,,0.9889,0.9889,0.8198,Happy
3,Dandelion,"['Galantis', 'JVKE']",0.158,0.8,140012,0.66,0.02,0,0.14,-4.903,1,0.158,117.923,4,0.634,"[Intro]
Picked up a dandelion, you had me mesmerized
You and me, so pretty
Just when I start to like ya, you just get up and leave
In the breeze, why'd you leave?

[Chorus]
Picked up a dandelion, you had me mesmerized
You and me, so pretty
Just when I start to like you, you just get up and leave
In the breeze, why'd you leave?
Picked up a dandelion, you had me mesmerized
So pretty
Just when I start to likе you, you just get up and leave
In thе breeze, why'd you leave?

[Verse 1]
Here today, gone tomorrow, temporary (Temporary)
Why does this gotta be temporary?
The day you left, it felt like death
You're all I ever needed (All I ever needed)

[Chorus]
Picked up a dandelion, you had me mesmerized
You and me, so pretty
Just when I start to like you, you just get up and leave
In the breeze, why'd you leave?
[Drop]
Picked up a dandelion
Why'd you leave?

[Verse 2]
Here today, gone tomorrow, temporary (Temporary)
Why does this gotta be temporary?
The day you left, it felt like death
You're all I ever needed (All I ever needed)

[Chorus]
Picked up a dandelion, you had me mesmerized
So pretty
Just when I start to like you, you just get up and leave
In the breeze, why'd you leave?

[Outro]
Picked up a dandelion, you had me mesmerized
You and me",,0.9765,0.9765,0.6535,Happy
4,Close To You,['Dayglow'],0.429,0.875,194693,0.649,0.00237,6,0.0704,-5.754,1,0.0433,140.031,4,0.833,"[Verse 1]
I saw you looking for the side door
You didn't want to stick around for
The rest of the night
I guess that's alright

They all left when you walked home
It makes sense that they all know
It was only for you
If only you knew

[Pre-Chorus]
What good is love
Without any strings?
Held it above
Stuck in between
Tell me for once
What that even means
I want to know you
But can't make it right

[Chorus]
There's something on my mind
There's something that I
(Wish I would've told you, but you just don't seem to wonder what you're doing when you're close to me)
Oh, yeah
Therе's something on my chest
I wish I would've said
(I think it ovеr and it might be true
I'm only overthinking when I'm close to you)
[Verse 2]
We locked eyes from a distance
So close but I missed it
Now you're walking away
When I wish you would stay

I get stuck in a conversation
A different night, same situation
I'm beating myself up
For not speaking up

Every night I can't make it right, yeah

[Chorus]
There's something on my mind
There's something that I
(Wish I would've told you, but you just don't seem to wonder what you're doing when you're close to me)
Oh, yeah
There's something on my chest
I wish I would've said
(I think it over and it might be true
I'm only overthinking when I'm close to you)

[Outro]
Only overthinking when I'm close to you
I'm only overthinking when I'm close to you
I'm only overthinking when I'm close to you (Oh yeah)
I'm only overthinking when I'm close to you
I'm only overthinking when I'm close to you
I'm only overthinking when I'm close to you (Oh yeah)",,0.9642,0.9642,0.8523,Happy
5,Doodoodoo,['Curtis Waters'],0.217,0.754,173638,0.631,2.47e-05,5,0.398,-6.724,0,0.0499,111.979,4,0.47,"[Intro]
Yeah, yeah
Yeah, yeah
(Good-good-good, good job Curtis)

[Verse 1]
Don't go home tonight
I don't wanna be on my own tonight
I could treat you good like Valentines
I could treat you good like Valentines
Or like it's your birthday
Home tonight (Yeah)
I don't wanna be on my own tonight (Yeah)
I could sing you sweet like lullaby (Yeah)
I could sing you sweet like lullaby (Yeah)
Or like it's your birthday

[Pre-Chorus]
I'ma get the bathwater started, yeah
Get in the tub, get in the tub while it's warming
Yeah, we could talk, yeah, we could talk 'til the morning
I got you wet, I got you wet and you moaning
Fuck you so good got you singing like

[Chorus]
Doo, doo-doo, doo, doo-doo
Doo, doo-doo, doo, doo-doo
Doo, doo-doo, doo, doo-doo
Doo, doo-doo, doo, doo-doo
Doo, doo-doo, doo, doo-doo
Doo, doo-doo, doo, doo-doo
Doo, doo-doo, doo, doo-doo
Doo, doo-doo, doo, doo-doo
[Verse 2]
Don't go homе tonight
I'ma take you out, get you order right
Takе a little trip, we could board a flight
Take a little trip, we could board a flight
Just like it's your birthday
Home tonight (Yeah)
You don't really wanna start over, right? (Yeah)
I could show you all the fine things in life (Yeah)
I could show you all the fine things in life (Yeah)
Just like it’s your birthday

[Pre-Chorus]
I'ma get the bathwater started, yeah
Get in the tub, get in the tub while it's warming
Yeah, we could talk, yeah, we could talk 'til the morning
I got you wet, I got you wet and you moaning
Fuck you so good got you singing like

[Chorus]
Doo, doo-doo, doo, doo-doo
Doo, doo-doo, doo, doo-doo
Doo, doo-doo, doo, doo-doo
Doo, doo-doo, doo, doo-doo
Doo, doo-doo, doo, doo-doo
Doo, doo-doo, doo, doo-doo
Doo, doo-doo, doo, doo-doo
Doo, doo-doo, doo, doo-doo
[Outro]
Doo, doo-doo, doo, doo-doo
Doo, doo-doo, doo, doo-doo
Doo, doo-doo, doo, doo-doo
Doo, doo-doo, doo, doo-doo
Doo, doo-doo, doo, doo-doo
Doo, doo-doo, doo, doo-doo
Doo, doo-doo, doo, doo-doo
Doo, doo-doo, doo, doo-doo
Three, two, one
Doo, doo-doo, doo, doo-doo
Doo, doo-doo, doo, doo-doo
Doo, doo-doo, doo, doo-doo
Doo, doo-doo, doo, doo-doo
Doo, doo-doo, doo, doo-doo
Doo, doo-doo, doo, doo-doo
Doo, doo-doo, doo, doo-doo
Doo, doo-doo, doo, doo-doo

Doo, doo-doo, doo, doo-doo
Doo, doo-doo, doo, doo-doo
Doo, doo-doo, doo, doo-doo
Doo, doo-doo, doo, doo-doo
Doo, doo-doo, doo, doo-doo
Doo, doo-doo, doo, doo-doo
Doo, doo-doo, doo, doo-doo
Doo, doo-doo, doo, doo-doo",,0.9955,0.9955,0.4899,Happy
6,Fire for You,['Cannons'],0.114,0.737,231826,0.678,0.157,6,0.123,-7.011,0,0.0962,102.051,4,0.698,"[Verse 1]
I was on fire for you
Where did you go?
I could have died for you
How could you not know?
I was alive with you
But you brought in the cold
Was I being lied to?
Wish I never met you
Startin' to regret you

[Pre-Chorus]
My heart just dropped
Thinkin' about you
The world just stops
When I'm without you

[Chorus]
I was on fire for you
(Fire, on fire)
(Fire, on fire)
(Fire, on fire)
(Fire, on fire)
I was on fire for you
(Fire, on fire)
(Fire, on fire)
(Fire, on fire)
[Verse 2]
I was on fire for you
You breakin' me down
Don't know what I should do
When you come around
I'm leaving without you, love
I have no choice
I know I'm being lied to
I just need some time to
Stop thinkin' about you

[Pre-Chorus]
My heart just dropped
Thinkin' about you
The world just stops
When I'm without you
My heart just dropped
Thinkin' about you
The world just stops
When I'm without you

[Chorus]
I was on fire for you
(Fire, on fire)
(Fire, on fire)
(Fire, on fire)
(Fire, on fire)
I was on fire for you
(Fire, on fire)
(Fire, on fire)
(Fire, on fire)
(Fire, on fire)
I was on fire for you
(Fire, on fire)
(Fire, on fire)
(Fire, on fire)
(Fire, on fire)
I was on fire for you
(Fire, on fire)
(Fire, on fire)
(Fire, on fire)
(Fire, on fire)
[Outro]
I was on fire for you",,-0.9897,-0.9897,0.6782,Happy
7,Amber,['Unusual Demont'],0.326,0.884,214325,0.756,0.0481,8,0.304,-6.831,1,0.202,119.029,4,0.784,"[Intro]
Strong start
Uh-huh, uh-huh, uh
Just gotta put on the voice, you can't be scared, bruh
Uh-huh, uh-huh
Uh-huh, uh-huh, uh
Uh-huh, uh-huh
Uh-huh, uh-huh, uh
Uh-huh, uh-huh, uh
Uh-huh, uh-huh, uh

[Verse 1]
I told her I'm the one (I told her I'm the one)
But I just wanted fun (But I just wanted fun)
Now I'm spending all my funds (I'm spending all my funds)
But I'll be on the run (But I'll be on the run)
And please forgive me (Please forgive me)
For what I have become (For what I have become)
See, I held on for months (I held on for months)
But there's no summer sun (But there's no summer sun, uh-huh, uh-huh)

[Pre-Chorus]
And you need me more, I can't adore
The way you feel for me
I'll leave you bored far less than more
I wish I'd left you be
[Chorus]
I told her, ""Baby, don't you try and chase me"" (Don't chase me)
""He'll do so much better, better, better""
I told her, ""Baby girl, you need to thank me"" (Or hate me)
""He'll do so much better, better, better""

[Post-Chorus]
Uh-huh, uh-huh
Uh-huh, uh-huh, uh
Uh-huh, uh-huh, uh
Uh-huh, uh-huh, uh

[Verse 2]
She told me she want love (She told me she want love)
So I gave her a buzz (So I gave her a buzz)
Now who am I to judge? (Now who am I to judge?)
When someone chews me up (When someone chews me up)
Please don't leave me (Please don't leave me)
When I do find the one (When I do find the one)
It's happened more than once (It's happened more than once)
That's why I felt so numb (That's why I felt so numb)

[Pre-Chorus]
And you need me more, I can't adore
The way you feel for me
I'll leave you bored far less than more
I wish I'd left you be
[Chorus]
I told her, ""Baby, don't you try and chase me"" (Don't chase me)
""He'll do so much better, better, better""
I told her, ""Baby girl, you need to thank me"" (Or hate me)
""He'll do so much better, better, better""

[Post-Chorus]
Uh-huh, uh-huh
Uh-huh, uh-huh, uh
Uh-huh, uh-huh, uh
Uh-huh, uh-huh, uh

[Outro]
Uh-huh, uh",,0.9919,0.9919,0.8038,Happy
8,Mystery Lady (feat. Don Toliver),"['Masego', 'Don Toliver']",0.393,0.747,228453,0.494,0.0,3,0.0982,-7.957,0,0.141,76.006,4,0.624,"Therefore I Am - Billie Eilish
HOLIDAY - Lil Nas X
Drankin N Smokin - Future
Save Me (feat. YoungBoy Never Broke Again) - 2 Chainz
Fly Away - Tones And I
Kool - BENEE
You Should Probably Leave - Chris Stapleton
Top Say - YoungBoy Never Broke Again
All Week - Rod Wave
Jumpin Out The Face - Lil Mosey
Angel - Lava La Rue
Kobe En LA - Jhay Cortez
De Cora <3 - Rauw Alejandro
So Crazy (feat. Lil Baby) - DaVido
What’s Your Country Song - Thomas Rhett
single af - Fousheé
OKAY (feat. Dreezy) - tobi lou
Shame Shame - Foo Fighters
you broke me first - Spotify Singles - Tate McRae
fools (can't help falling in lovе) - Foster
Feeling Myself Today - Kodak Black
i'm busy - bloody white
Whеre the Poison Is - FINNEAS
Changes - Hayd
Stella McCartney (feat. Future) - Bonus Track - NAV
Wave Blues (feat. Benny the Butcher) - French Montana
Mystery Lady (feat. Don Toliver) - Masego
Realize - AC/DC
Hold In, Hold On - Kid Bloom
Tchop - Aya Nakamura
Superstar - DaniLeigh
Calling - Verzache
eyesore - glaive
Let Me Feel Low (feat. Miloe) - Cavetown
parachute - John K
Problems - Anne-Marie
Trench Bitch (feat. Lil Durk) - Blac Youngsta
Out Da Oven - StaySolidRocky
Soda (feat. Take A Daytrip) - DJ Scheme
Cherries - Hope Tala
Change - Pale Waves
Lost One - Daniyel
Animal Style - daydream Masi
Be Somebody (with Evie Irie) - Dillon Francis
LONELY MACHINES - 3OH!3
OHFR? - Rico Nasty
Rich One Day - Sheck Wes
Lights On - Sheff G
The Thrill - Wiz Khalifa
LOST & FOUND - Tony Velour
when the hospital was my home (feat. Rxseboy) - Powfu
GIRL ON TV - chloe moriondo
Home Sweet Home (feat. ALMA & Digital Farm Animals) - Sam Feldt
Tell Me - Devault
Cry/Fun - Issy Wood
Monster Truck - Jazmin Bean
ARI - K CAMP
Chicken Soup - Lil Tracy
Rich And Famous - Lecrae
Yonder - Salaam Remi
Devotion - Tone Stith
Sleeping On The Phone - Duncan Laurence
We Did It!!! - grandson
Nothing Left - POORSTACY
IDONTSENDSEX - papa mbye
Gone - Tayo Sound
Avery - Oscar Welsh
You And I - Valerie June
6000 Ft. - Bonobo
Faceless - Tom The Mail Man
Freak (feat. Juvenile) - Rexx Life Raj
Period. - Smoove'L
Scarface - El Alfa
Anything - Alison Wonderland
options - again&again
Wait For Me - Conor Matthews
STARRY EYED - Liza Owen
Swerve (feat. Pell) - Brasstracks
11:11PM - 11:11
SMH - MAVI
On My Shit (feat. Joey Bada$$) - Phony Ppl
Windows - Lakeyah
Respectfully - Justin LaBoy
Underwater - Le Youth
Shades In The Rain - Sandro Cavazza
Spirit - Judah & the Lion
Wind - valentina cy
Sometimes - Kameron
Love Song - Vivian Green
Sober - Bri Steves
Yank (feat. Big Yavo) - Luh Soldier
Let You Go - Jayla Darden
Get Away - Asiahn
eyelids - Paris Jackson
Bridged By A Lightwave - Radio Edit - deadmau5
Guillotine - Mansionair
AFRICAN IN NEW YORK - Shirazee
Lavish - Carly Gibert
Baka Baka - emir taha
Us - Delilah Montagu",,-0.7306,-0.7306,0.6094,Happy
9,Sensitive,['Serena Isioma'],0.166,0.601,174720,0.649,3.35e-05,7,0.165,-6.979,1,0.133,89.73,4,0.351,"[Intro]
(C-World)
Yo, fuck you, Serena, you're a bitch (Shh)

[Chorus]
Fuck niggas always tryna take my shit
How you gon' feel when I go take your bitch, nigga?
And I don't mean your chick
Bitches these days are so sensitive

[Verse 1]
You walk that walk talking blah, blah, blah
Who you think run your block?
The government, the opps, your enemies
Gotta eat, gotta get money by any means
I'm switching up, I'm a boss, I'm getting mean
She wanna be with a boss with royalty, yeah
I lay her down in my BDG ripped jeans
I laid it, now she's addicted, a fuckin' fiend
She got around, now she fucking the whole squad (Whole squad)
That pussy lookin' like the sign of the cross, on God
Leaning to the side, it's spilling water
Smashed then passed

[Chorus]
Fuck niggas always tryna take my shit
How you gon' feel when I go take your bitch, nigga?
And I don't mean your chick
Bitches these days are so sensitive
Niggas always tryna take my shit
How you gon' feel when I go take your bitch, nigga?
And I don't mean your chick
Bitches these days are so sensitive
[Verse 2]
I'd never sell out for a check, you stupid motherfucka
I'll buy a house and on my own, I put that on my mother
My babe's gon' rock Christian Dior, I put that on my lover
My babe’s in school, he is so pure, golden
Rose gold all over my arms
Tattoos, I know that he loves it
I know, I know that he loves it
He loves that we are in love

[Bridge]
(Uh, uh, uh, uh, uh, uh, uh, uh)
(Uh, uh, uh, uh, uh, uh, uh, uh, woah-oh-oh)
The government or the opps, my enemies
Gotta get this money, I'll do it by any means (Oh-oh)
I need a hundred million dollars to fix these broken streets, yeah
Playing for keeps, they play, playing for keeps (Oh-oh-oh)
The government or the opps, my enemies
Gotta get this money, I'll do it by any means
I need a hundred million dollars to fix these broken streets, uh
Playing for keeps, they play, playing for keeps (Oh-oh-oh)

[Outro]
Love, love, love, love (Woah-oh-oh)
Love (Love), love (Love), love (Love), love (Love)","[('Christian Dior', [['Serena is going to be able to provide for her lover, having the means to act out the fantasy of dressing him in luxury clothing.']]), ('Bitches these days are so sensitive', [['This reoccurring line within the song projects Serena’s view of contemporary existence and she critiques the way people care beyond necessity. Contextually the listener infers that the whole cancel culture which is on the rise currently bothers Serena and highlights that people need to let go. In a ‘The Lemonade Stand’ interview, Serena explained that her rapid fame seemed unreal, and it made her  ‘existential’. Thus, she perhaps wants to highlight that life is so surreal and crazy that we just need to live it without being so sensitive and getting worked up unnecessarily…']]), ('I lay her down in my BDG ripped jeans', [['BDG jeans are trendy jeans sold at Urban Outfitters']])]",-0.8496,-0.8496,0.334,Happy
