,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,lyrics,annotations,nlp_lyrics,nlp_annotations,valence+nlp,mood
0,Your Man,['Joji'],0.624,0.785,163759,0.818,0.149,7,0.149,-8.711,1,0.099,117.98,4,0.0503,"[Intro]
Oh, oh, oh, oh, oh
Oh, oh, oh, oh, oh
Oh, oh, oh

[Chorus]
Have you ever loved? Would you go again?
Don't be down when it's over, baby, yeah
I'll be your man, oh man
Have you ever loved? Would you go again?
Don't be down when it's over, baby, yeah
I'll be your man, oh man

[Post-Chorus]
I'll be your man
I'll be your man

[Chorus]
Have you ever loved? Would you go again?
Don't be down when it's over, baby, yeah
I'll be your man

[Post-Chorus]
I'll be your man
I'll be your man
[Bridge]
Oh, oh, oh, oh, oh
Oh, oh, oh
Oh, oh, oh, oh, oh
Oh, oh, oh
Oh, oh, oh, oh, oh
Oh, oh, oh
Oh, oh, oh, oh, oh
Oh, oh, oh, oh, oh

[Chorus]
Have you ever loved? Would you go again?
Don't be down when it's over, baby, yeah
I'll be your man, oh man

[Post-Chorus]
Oh, oh, oh, oh, oh (I'll be)
Oh, oh, oh (Your man)
Oh, oh, oh, oh, oh
Oh, oh, oh
Oh, oh, oh, oh, oh (I'll be)
Oh, oh, oh (Your man)
Oh, oh, oh, oh, oh
Oh, oh, oh, oh, oh

[Outro]
Have you ever loved? Would you go again?
Don't be down when it's over, baby, yeah
I'll be your man",,0.9841,0.9841,0.07,Happy
1,Heat Waves,['Glass Animals'],0.44,0.761,238805,0.525,6.7e-06,11,0.0921,-6.9,1,0.0944,80.87,4,0.531,"[Intro]
(Last night, all I think about is you
Don't stop, baby, you can walk through
Don't want, baby, think about you
You know that I'm never gonna lose)
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a—

[Chorus]
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

[Verse 1]
Usually I put somethin' on TV
So we never think about you and me
But today I see our reflections clearly
In Hollywood, layin' on the screen
You just need a better life than this
You need somethin' I can never give
Fake water all across the road
It's gone now, the night has come, but
[Chorus]
Sometimes all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

[Verse 2]
You can't fight it, you can't breathe
You say somethin' so lovin', but
Now I gotta let you go
You'll be better off in someone new
I don't wanna be alone
You know it hurts me too
You look so broken when you cry
One more and then I'll say goodbye

[Chorus]
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
[Bridge]
I just wonder what you're dreamin' of
When you sleep and smile so comfortable
I just wish that I could give you that
That look that's perfectly un-sad
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Heat waves been fakin' me out

[Chorus]
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

[Outro]
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror","[('Late nights in the middle of June', [['June is the first month of summer in the Northern Hemisphere. This relates to the song’s theme of “Heat Waves.”\n\nAlthough the single was originally slated for a mid-June release, it was delayed until the end of the month due to unforeseen, potentially COVID-19-related circumstances.']]), ('Usually I put somethin’ on TV\n So we never think about you and me\n But today I see our reflections clearly\n In Hollywood, layin’ on the screen', [['This is that old cliche where you break up with someone and try to distract yourself with art but you just end up seeing parallels between what’s on the screen and your own real-life drama. Bayley is alone trying to cope but can’t stop thinking about the breakup (or his soon-to-be-ex), so he uses entertainment to distract him from his heavy thoughts and feelings.\n\nCould also refer to him seeing the image of them sitting side by side reflected on the screen of the TV set. The attempt to distract from their issues inadvertently forces them to face each other. The TV allows him to see not only literal reflections of their relationship, but also reminds him of the ideals of a happy couple and how his partner needs more than the life they are living due to possible unrequited love.']]), ('Road shimmer wigglin’ the vision\n Heat, heat waves, I’m swimmin’ in a mirror\n Road shimmer wigglin’ the vision\n Heat, heat waves, I’m swimmin’ in a—', [['Dave is referring to a mirage that can occur when asphalt or pavement becomes very hot. Hot air bends light differently than cool air and since the air is rising it creates a shimmery, distorted look that can sometimes look wet.\n\nThe imagery of a blurry road ahead of him could represent how his aim or goal in life is blurred by people’s perceptions of him, making him forget about what he really wants to do in order to make others happy. He’s mirroring back what they want him to be.']])]",0.386,0.386,0.5387,Happy
2,Let's Fall in Love for the Night,['FINNEAS'],0.802,0.737,190348,0.408,0.0,5,0.171,-7.941,1,0.104,127.921,4,0.374,"[Chorus]
Let's fall in love for the night
And forget in the mornin'
Play me a song that you like
You can bet I'll know every line
I'm the boy that your boy hoped that you would avoid
Don't waste your eyes on jealous guys, fuck that noise
I know better than to call you mine

[Verse 1]
You need a pick me up?
I'll be there in twenty-five
I like to push my luck
So take my hand, let's take a drive
I've been livin' in the future
Hopin' I might see you sooner
I want you riding shotgun
I knew when I got one right

[Chorus]
Let's fall in love for the night
And forget in the mornin'
Play me a song that you like
You can bet I'll know every line
I'm the boy that your boy hoped that you would avoid
Don't waste your eyes on jealous guys, fuck that noise
I know better than to call you mine
[Verse 2]
I love it when you talk that nerdy shit
We're in our twenties talking thirties shit
We're making money but we're savin' it
'Cause talking shit is cheap and we talk a lot of it
You won't stay with me, I know
But you can have your way with me 'til you go
And before your kisses turn into bruises, I'm a warning

[Chorus]
Let's fall in love for the night
And forget in the mornin'
Play me a song that you like
You can bet I'll know every line
'Cause I'm the boy that your boy hoped that you would avoid
Don't waste your eyes on jealous guys, fuck that noise
I know better, I know better
I know better than to ever call you mine",,0.972,0.972,0.3934,Happy
3,Put Your Records On,['Ritt Momney'],0.058,0.399,210463,0.492,0.00101,6,0.11,-10.777,0,0.0538,91.066,4,0.159,"[Verse 1]
Three little birds sat on my window
And they told me I don't need to worry
Summer came like cinnamon, so sweet
Little girls double-dutch on the concrete

[Pre-Chorus 1]
Maybe sometimes we got it wrong, but it's all right
The more things seem to change, the more they stay the same
Don't you hesitate

[Chorus]
Girl, put your records on, tell me your favorite song
You go ahead, let your hair down
Sapphire and faded jeans, I hope you get your dreams
Just go ahead, let your hair down

[Post-Chorus]
You're gonna find yourself somewhere, somehow

[Verse 2]
Blue as the sky, sunburnt and lonely
Sipping tea in the bar by the roadside (Just relax, just relax)
Don't you let those other boys fool you
Gotta love that afro hairdo
[Pre-Chorus 2]
Maybe sometimes we feel afraid, but it's all right
The more you stay the same, the more that they seem to change
Don't ya think it's strange?

[Chorus]
Girl, put your records on, tell me your favorite song
You go ahead, let your hair down
Sapphire and faded jeans, I hope you get your dreams
Just go ahead, let your hair down

[Post-Chorus]
You're gonna find yourself somewhere, somehow

[Bridge]
Just more than I could take, pity for pity's sake
Some nights kept me awake, I thought that I was stronger
When you gonna realize that you don't even have to try any longer?
Do what you want to

[Outro]
Girl, put your records on, tell me your favorite song
Just go ahead, let your hair down
Sapphire and faded jeans, I hope you get your dreams
Just go ahead, let your hair down
You're gonna find yourself somewhere, somehow","[('Girl, put your records on,', [['I found that as a young person, music was a really amazing way to find confidence and to find self expression. You could always find that song that’s like, “That’s just me. That person knows exactly how I feel.” Certain pop songs. I feel like I just put on music and feel like invincible and super confident and bold and let the music sort of carry you. To me, that’s what my favorite song is doing. It would turn me from being someone that was shy or self conscious or uncomfortable into a feeling really sort of bold and confident while that song is on, you kind of live in the song.\n\n-Corinne Bailey Rae (original artist)']]), ('Tell me your favorite song', [['When I was a kid, I loved this Mariah Carey song called “Vision of Love.” And I used to sort of sing that in the mirror with the hairbrush and just be like, “She’s amazing.” My dad had just gotten a CD player so it’s like early ‘90s and I had to put it on repeat and that’s me for like an hour, just listening to that one song.\n\n-Corinne Bailey Rae (original artist)']]), ('You go ahead, let your hair down', [['I’ve had a few experiences of wearing my hair out and natural for the first time. I used to just tie it back and have it permed and then I’ve had relaxed super straight, probably short and straight hair.\n\nI remember when I first started wearing it out and feeling self conscious and people were making fun of me as well because it’s so different, and living in England, it was against what was considered to be a nice way to have your hair.\n\n\n-Corinne Bailey Rae (original artist)']]), ('Just go ahead, let your hair down', [['I’ve had a few experiences of wearing my hair out and natural for the first time. I used to just tie it back and have it permed and then I’ve had relaxed super straight, probably short and straight hair.\n\nI remember when I first started wearing it out and feeling self conscious and people were making fun of me as well because it’s so different, and living in England, it was against what was considered to be a nice way to have your hair.\n\n\n-Corinne Bailey Rae (original artist)']]), ('Little girls double-dutch on the concrete', [['Double Dutch is a game in which two long jump ropes turning in opposite directions are jumped by one or more players jumping simultaneously.']]), ('And they told me I don’t need to worry', [['In Bob Marley’s “Three Little Birds”, he sings “Don’t worry about a thing.”']]), ('Three little birds sat on my window', [['This is a reference to Bob Marley & The Wailers‘ “Three Little Birds” from the group’s ninth studio album Exodus.']])]",0.9922,0.9922,0.1788,Happy
4,Know Your Worth,"['Khalid', 'Disclosure']",0.145,0.79,181436,0.694,0.00252,9,0.281,-7.726,0,0.0708,103.007,4,0.508,"[Verse 1]
He keeps leaving you for dead
I don't know what you been waiting for
So you've got your love locked up instead
But somethin' better's waitin' at your door

[Chorus]
You don't know your worth
All the things I know that you deserve
Say it's not real if it doesn't hurt
Find someone you know will put you first
Find someone who loves you at your worst

[Post-Chorus]
Gotta keep, gotta keep, gotta keep your head up
Gotta keep, gotta keep, gotta keep your head up
Gotta keep, gotta keep, gotta keep your head up
Who puts you first?
Find someone who loves you at your worst

[Verse 2]
Don't forget the words I said
Picking you up when you're feelin' down
You get strung on thoughts left in your head
When you lose hope, soon you will be found
[Chorus]
You don't know your worth
All the things I know that you deserve
Say it's not real if it doesn't hurt
Find someone you know will put you first
Find someone who loves you at your worst

[Post-Chorus]
Gotta keep, gotta keep, gotta keep your head up
Gotta keep, gotta keep, gotta keep your head up
Gotta keep, gotta keep, gotta keep your head up
Who puts you first?
Find someone who loves you at your worst

[Interlude]
(Find someone who loves you at your worst)
Find someone who loves you at your worst

[Post-Chorus]
Gotta keep, gotta keep, gotta keep your head up (Head)
Gotta keep, gotta keep, gotta keep your head up (Keep your head up, keep your head up)
Gotta keep, gotta keep, gotta keep your head up
Who puts you first?
Find someone who loves you at your worst

[Outro]
(Find someone who loves you at your worst)
Find someone who loves you at your worst",,0.8452,0.8452,0.5249,Happy
5,Kiss Me More (feat. SZA),"['Doja Cat', 'SZA']",0.235,0.762,208867,0.701,0.000158,8,0.123,-3.541,1,0.0286,110.968,4,0.742,"Kiss Me More (feat. SZA) - Doja Cat
Otra Noche Sin Ti - J Balvin
Mr. Perfectly Fine (Taylor’s Version) (From The Vault) - Taylor Swift
Shy Away - Twenty One Pilots
RAPSTAR - Polo G
BANKROLL (feat. A$AP Rocky & A$AP Ferg) - BROCKHAMPTON
Set Him Up (feat. Ari Lennox) - Queen Naija
Starstruck - Years & Years
Waves of Blue - Majid Jordan
Nobody But You - Sonder
Freedom (with BEAM) - Justin Bieber
Wave of You - Surfaces
Survivor - KNOWN.
Whipski (feat. Lil Skies & Internet Money) - $NOT
Show Me Up - Lil Tecca
Amor en Coma - Manuel Turizo
Sunset - Demi Lovato
Haunted House - Holly Humberstone
Anywhere Away From Hеre (Rag’n’Bone Man & P!nk) - Rag'n'Bone Man
Wavеs - Luke Bryan
Sociopath - Olivia O'Brien
I'm Fine - Ashe
So I Lie - Miguel
Set The Table (feat. Claud) - Ritt Momney
BLACK EYE - THE BLOSSOM
Boyz II Men - KIRBY
Link - Tierra Whack
Easter In Miami - Kodak Black
Lil Freak (feat. DreamDoll) - CJ
burnout - Chynna 🕒
The Limit - DARKSIDE
Black Coffee - AVIV
Bottle Rocket - Briston Maroney
Night & Day - Kid Ink
Hunnid Or Better (feat. Bizzy Banks) - Lil Eazzyy
STOP - AJ Mitchell
fooly cooly - boyband
Kids feat. Kyle - Benny Sings 🕒
Paradise - Cuco
Vertigo - Alice Merton
Money On The Table (ft. Benny The Butcher) - Belly
La La La - AREA21
Close To You (with Andy Grammer) - R3HAB
Dancing On Dangerous - Imanbek
Way Too Long - Nathan Dawe
BURBERRY - Myke Towers
Perfect - Lakeyah
I Got Feelings - Kevo Muney
Syrup - Tkay Maidza
Posing In Bondage - Japanese Breakfast
counting houses - Luz
America - London Grammar
f*kn around - Darren Criss
Destroyer - Of Monsters and Men
Heartbreak Tour - Kat & Alex 🕒
I Hate Every1 - NOT THE MAIN CHARACTERS
I Think You Should Leave - OSTON 🕒
Lit (feat. YFN Lucci) - MO3
Blood Roses (feat. Jae Skeese) - Conway the Machine
Cowboys - Slayyyter
Relapse - Boys World
Yoga (with salem ilese) - LLusion
Paper Boy - Henjila
Nightstand - Justus Bennetts
Nolia Flow - Dee Watkins
Need It Back - Jay Loud
Might Not Like It - KenTheMan
Never Could - Mr.Chicken
Level Up - ppcocaine
All I Need (DJ-Kicks) - Edit - Jayda G
HIGH/BYE - Cody Frost
king of the nosebleeds - gabriel black
Purple - Unusual Demont
Hey Michael - Wallice
exception - renforshort
Osaka - SHAED
Avalon (with Francesco Turrisi) - Rhiannon Giddens
Madelyn - Anderson East
Die to Go Home - Brett Kissel
Love Again - Fancy Hagood
Prosper - S.O.
Viendo el Techo - Jay Wheeler
First Gear - Angelo Mota
Bout Mine - TruCarr
Walk Down (feat. Pooh Shiesty) - BigKayBeezy
First Day Out - Fam0us.Twinsss
In My Corner - ELHAE
I Don't Really Think About You No More - Kasai
LAVENDER - Dounia
Could Be Good - Kat Cunning
Hurricane (feat. HON & SMBDY) - BUNT.
Umbrella - Wacotron
Belaire - Yung Mal
Stain - Peter Rosenberg
she calls me daddy - KiNG MALA
I'll Be There - Yoshi Flower
if i don't have your love - Afgan
Recovery - Rose Betts
Palm Trees - Charm La'Donna
Welcome 2 America - Prince",,0.8009,0.8009,0.758,Happy
6,3 Nights,['Dominic Fike'],0.223,0.815,177667,0.518,0.0,7,0.104,-6.594,0,0.0897,151.891,4,0.877,"[Chorus]
Three nights at the motel
Under streetlights in the City of Palms
Call me what you want, when you want, if you want
And you can call me names if you call me up
Three nights at the motel
Under streetlights in the City of Palms
Call me what you want, when you want, if you want
And you can call me names if you call me up

[Verse 1]
Feel like the least of all your problems
You can reach me if you wanna, stay up tonight, stay up at night
Green lights in your body language
Seems like you could use a little company from me
But if you got everything figured out like you say
Don't waste a minute, don't wait a minute
It's only a matter of time for you-ooh-ooh-ooh to-ooh-ooh-ooh
Tell me now, 'cause I've been up for, I've been up for

[Chorus]
Three nights at the motel
Under streetlights in the City of Palms
Call me what you want, when you want, if you want (Want)
And you can call me names if you call me up (Call me up)
Three nights at the motel
Under streetlights in the City of Palms
Call me what you want, when you want, if you want
And you can call me names if you call me up (Ooh)
[Verse 2]
I can't fix each and all your problems
I'm no good with names and faces
She sent me naked pictures from her neck down to the waist
I get my feelings involved, she stopped returnin' my calls
Her flaws turned into walls and barricades
And I'm too far gone in all the wrong ways
And now every long day is a bad one
I can't make you call or make you stay or take you off the pedestal
So I get lost in modern music, watchin' movies, talkin' to the walls in my room
Walkin' through the halls in my head, just tryna make sure it all makes sense
I ain't made of money, maybe someday, you can take it from me?
I'm up too late, thinkin' 'bout you and M.I.A. for

[Chorus]
Three nights at the motel
Under streetlights in the City of Palms
Call me what you want, when you want, if you want (Want)
And you can call me names if you call me up (Call me up)
Three nights at the motel
Under streetlights in the City of Palms
Call me what you want, when you want, if you want
And you can call me names if you call me up (Ooh)","[('Three nights at the motel\n Under streetlights in the City of Palms', [['“City of Palms” references Fort Myers, Florida which is roughly a 50-minute drive from Naples, Florida; where Dominic Fike was raised and currently resides.']])]",0.6064,0.6064,0.8891,Happy
7,Catching Feelings (feat. Six60),"['Drax Project', 'SIX60']",0.607,0.397,218854,0.524,0.0,3,0.157,-5.846,1,0.103,175.562,4,0.343,"Camila Cabello - Liar
Post Malone - Saint-Tropez
OneRepublic - Wanted
John Mayer - Carry Me Away
Post Malone - Enemies (feat. DaBaby)
Grimes - Violence
King Princess - Ain't Together
Kelsea Ballerini - homecoming queen?
Camila Cabello - Shameless
Post Malone - Staring At The Sun (feat. SZA)
Tainy - Feel It Too (with Jessie Reyez & Tory Lanez)
Alesso - In The Middle
Melanie Martinez - Strawberry Shortcake
Mahalia - What You Did (feat. Ella Mai)
Fat Joe - YES
Francis and the Lights - Take Me to the Light
Conan Gray - Comfort Crowd
The Highwomen - If She Ever Leaves Me
Alessia Cara - October
Post Malone - Take What You Want (feat. Ozzy Osbourne & Travis Scott)
Roy Blair - I DONT KNOW ABOUT HIM
Charli XCX - February 2017 (feat. Clairo and Yaeji)
blink-182 - I Really Wish I Hated You
Sam Fender - The Borders
Miranda Lambert - Pretty Bitchin'
flora cash - Missing Home
James Arthur - Treehouse (feat. Shotty Horroh)
Tove Lo - Really don’t like u
Pia Mia - Feel Up
EARTHGANG - Top Down
Hitmaka - Thot Box (feat. Meek Mill, 2 Chainz, YBN Nahmir, A Boogie Wit da Hoodie & Tyga)
Stormzy - Sounds Of The Skeng
Jax Jones - This is Real
MUNA - Taken
XXXTENTACION - NUMB - Acoustic
phem - I NEED IT
Alexander 23 - High School
YoungBoy Never Broke Again - Self Control
Danny Brown - Dirty Laundry
grandson - Oh No!!!
Foals - The Runner
IDK - Porno
Casanova - Coming Home
Gallant - Compromise (feat. Sabrina Claudio)
Louis Tomlinson - Kill My Mind
girl in red - bad idea!
Delacey - Actress
Foster The People - Pick U Up
HIXTAPE - Nothin’ Out Here (HARDY feat. Thomas Rhett)
Barns Courtney - Fun Never Ends
Sleeping With Sirens - How It Feels to Be Lost
Jonas Blue - Younger
Cashmere Cat - FOR YOUR EYES ONLY
Steve Aoki - Let It Be Me
O.T. Genasis - When I Get It (feat. Young Thug)
Melii - No Hard Feelings
R.LUM.R - Cold
88rising - Just Used Music Again
binki - Sea Sick
Overcoats - The Fool
Wafia - Hurts (feat. Louis The Child & Whethan)
Lewis Blissett - Killing Butterflies
Juanes - Bonita
Aitch - Buss Down (feat. ZieZie)
Shoreline Mafia - Wings
Kiiara - Bipolar
Oh Wonder - Hallelujah
Anna of the North - Dream Girl
Two Feet - Pink
Des Rocs - Living Proof
Greta Van Fleet - Always There
Inhaler - Ice Cream Sundae
Childish Major - Pull Up Game Crazy
Kid Ink - No Stones (feat. Casey Veggies)
Poo Bear - Two Commas
Ryan Beatty - Dark Circles
Skott - Bloodhound
Sofi Tukker - Purple Hat
Drax Project - Catching Feelings (feat. Six60)
Marc E. Bassy - Where We're From
Metronomy - Wedding Bells
Next Town Down - Easy (feat. 6LACK)
Renni Rucci - Bounce Back
TINI - Fresa
Slushii - Watch Yo Back
Lindsey Stirling - Love Goes On And On (feat. Amy Lee)
Adam Lambert - Superpower
Mallrat - Drive Me Round
Aaron Smith - Better Than You Loved Me
SebastiAn - Better Now - Edit
Korn - Can You Hear Me
Death Cab for Cutie - Blue Bloods
Phangs - Build Me Up
Quadeca - I DON'T CARE
Rapta - Farewell
Yo Trane - Waves
11:11 - Reason
Rico Nasty - Fashion Week",,-0.9818,-0.9818,0.3234,Happy
8,Honeypie,['JAWNY'],0.0698,0.742,135521,0.678,0.0,5,0.151,-4.605,0,0.192,115.05,4,0.927,"[Chorus]
Ooh, girl, don't you stop
Don't you stop 'til you get enough, honey
Oh, honey, honey-pie, honey, honey, honey-pie
Ooh, girl, don't you stop
Don't you stop 'til you get enough, honey
Oh, honey, honey-pie, honey, honey, honey-pie

[Verse 1]
Ooh, girl, don't you stop
Tell your mom, girl, and I won't stop it until you're mine, girl
And you can't stop that until your mine, girl
And I can't find out what you want, what you got
I got that honey-pie, come bite it
Bring your own fork, girl, you know I don't provide it

[Chorus]
Ooh, girl, don't you stop
Don't you stop 'til you get enough, honey
Oh, honey, honey-pie, honey, honey, honey-pie
Ooh, girl, don't you stop
Don't you stop 'til you get enough, honey
Oh, honey, honey-pie, honey, honey, honey-pie

[Post-Chorus]
Oh, honey, honey-pie, honey, honey, honey-pie
Oh, honey, honey-pie, honey, honey, honey-pie
[Verse 2]
Ooh, girl, don't you stop
Tell your mom, girl, and I won't stop it until you're mine, girl
And you can't stop that until your mine, girl
And I can't find out what you want
Tell your mom, girl, and I won't stop it until you're mine, girl
And you can't stop that until your mine, girl (Ha!)

[Chorus]
Ooh, girl, don't you stop
Don't you stop 'til you get enough, honey
Oh, honey, honey-pie, honey, honey, honey-pie
Ooh, girl, don't you stop
Don't you stop 'til you get enough, honey
Oh, honey, honey-pie, honey, honey, honey-pie

[Outro]
Ooh, girl, don't you stop
Don't you stop 'til you get enough, honey
Oh, honey, honey-pie, honey, honey, honey-pie
(Tell your mom, girl, and I won't stop it until you're mine, girl
And you can't stop that until your mine, girl)
Ooh, girl, don't you stop
Don't you stop 'til you get enough, honey
Oh, honey, honey-pie, honey, honey, honey-pie
(And I can't find out what you want, what you got
I got that honey-pie, come bite it)",,0.9875,0.9875,0.9468,Happy
9,Electric Love,['BØRNS'],0.00543,0.611,218107,0.797,0.00137,6,0.26,-7.627,0,0.0533,120.041,4,0.518,"[Verse 1]
Candy, she's sweet like candy in my veins
Baby, I'm dying for another taste

[Pre-Chorus]
And every night my mind is running around her
Thunder's getting louder and louder

[Chorus]
Baby, you're like lightning in a bottle
I can't let you go now that I got it
And all I need is to be struck
By your electric love (Ohh)
Baby, your electric love (Ahh)
Electric love

[Verse 2]
Drown me (Drown me), you make my heart beat like the rain
Surround me, hold me deep beneath your waves
(Oh)

[Pre-Chorus]
And every night my mind is running around her
Thunder's getting louder and louder and louder

[Chorus]
Baby, you're like lightning in a bottle
I can't let you go now that I got it
And all I need is to be struck
By your electric love (Ohh)
Baby, your electric love (Ahh)
Electric love
[Bridge]
(Ohh)
Rushing through me
Feel your energy rushing through me
Feel your energy rushing through me

[Chorus]
Baby, you're like lightning in a bottle
I can't let you go now that I got it
And all I need is to be struck by your electric love (Ohh)
Baby, your electric love (Ahh)
Baby, you're electric

[Click here to learn more about the making of ""Electric Love""]","[('Thunder’s getting louder and louder', [['I catalog a lot of phrases or words that I really like. I read a lot of poetry—Rod McKuen and Walter Benton. They always compare their lovers to nature—the city and the hills. It’s really powerful. I think comparing people to the world around you is really primal. We’re all animals.']]), ('Drown me (Drown me), you make my heart beat like the rain\n Surround me, hold me deep beneath your waves', [['I catalog a lot of just phrases or titles and words that I like. I really like describing things and comparing my love interest to nature. There’s a few poets that I like, Rod McKuen and Walter Benton, for example. They describe things and people by comparing them to the world around them: they compare their lovers to the city and the hills. It’s super primal, because we’re all animals.']]), ('[Click here to learn more about the making of ”Electric Love”]', [['I wrote this song in L.A. with Tommy English. We’re really good friends and have just developed this collaborative synergy—we know our strengths and can really feel free creatively. We’re both chilled out Midwestern boys. “Electric Love” was the 4th or 5th song we recorded together. I was still in the genesis of figuring out what kind of record I wanted to make.\n\nI was listening to a lot of glam rock and going through the archives of artists like T-Rex—music with a lot of fuzz guitar.  I love how he  doesn’t give a fuck—it’s just so rad. His music is so poetic but also has a sense of humor. That’s kind of how we are in the studio— we don’t take ourselves too seriously. Also, I’m kind of a sucker for very fantastical love songs and professing your love in this grandiose way.']]), ('Baby, you’re like lightning in a bottle', [['I catalog a lot of phrases or words that I really like. I read a lot of poetry—Rod McKuen and Walter Benton. They always compare their lovers to nature—the city and the hills. It’s really powerful. I think comparing people to the world around you is really primal. We’re all animals.']]), ('Thunder’s getting louder and louder', [['I catalog a lot of phrases or words that I really like. I read a lot of poetry—Rod McKuen and Walter Benton. They always compare their lovers to nature—the city and the hills. It’s really powerful. I think comparing people to the world around you is really primal. We’re all animals.'], ['The metaphor of lover as heroin and electricity continues: Thunder is commonly used as slang for heroin, and at this point in the tune the power of the drug is increasing – “getting louder.” Referring to his lover, BØRNS compares the electricity of their love to lightning in a storm – and it’s “getting louder.”']]), ('Candy, she’s sweet like candy in my veins\n Baby, I’m dying for another taste', [['The lyric starts by likening love to a drug, presumably heroin, which is commonly administered through the veins. Real candy is addictive, but the word is often used as slang for heroin and other hard drugs.']])]",0.9926,0.9926,0.5379,Happy
