,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,lyrics,annotations,nlp_lyrics,nlp_annotations,valence+nlp,mood
0,One Night,"['MK', 'Sonny Fodera', 'Raphaella']",0.00142,0.537,161883,0.898,0.0474,11,0.217,-6.188,0,0.0351,123.969,4,0.195,"[Verse 1]
We go in circles, you and me
We say the same things, but never what we mean
I know that you wanna play games
But not tonight, not tonight, not tonight, please

[Pre-Chorus]
Just give me a taste, wanna know I’m alive
‘Cause I keep dancing on the edge of the knife
Almost so wrong that it’s right
Let’s forget the world for

[Chorus]
One night, one night, one night
One night, one night, one night
One night, one night, one night
One night, one night, one night

[Post-Chorus]
For one night
For one night
For one night
For one night
For one night
For one night
For one night
For one night
For one night
For one night
For one night
For one night
For one night
For one night
For one night
For one night

[Verse 2]
I know that we can’t have it all
But I’d rather have this than nothing at all
And when you leave me, I’m alright
But not tonight, not tonight, not tonight

[Pre-Chorus]
Just give me a taste, wanna know I’m alive
‘Cause I keep dancing on the edge of the knife
Almost so wrong that it’s right
Let’s forget the world for

[Chorus]
One night, one night, one night
One night, one night, one night
One night, one night, one night
One night, one night, one night

[Post-Chorus]
For one night
For one night
For one night
For one night
For one night
For one night
For one night
For one night
For one night
For one night
For one night
For one night
For one night
For one night
For one night
For one night",,-0.7161,-0.7161,0.1807,Energised
1,There For You,"['Gorgon City', 'MK']",0.00529,0.533,186493,0.844,8.91e-05,11,0.0722,-5.04,0,0.0302,123.971,4,0.712,"[Verse 1]
Waited so long, thought you'd never come
You proved me wrong 'cause I don't know where it felt so right
If I could go, go back in time
What I would do, is love you sooner

[Pre-Chorus]
I wish I was there for you
Wish I was holding you closer than close everyday of your life
I wish I was there for you
And I wish that you were there for me too

[Chorus]
I wish I was there for you
(There for you, there for you, there for you
There for you, there for you)
I wish I was there for you
(There for you, there for you, there for you
There for you, there for you)

(There for you, there for you, there for you
There for you, there for you, there for you)
I wish I was there for you
And I wish that you were there for me too
(There for you, there for you, there for you)

[Verse 2]
I lose my mind, going back in time
Were you mine, oh, mine?
So many years, so many tears, wishing that you were over here
Maybe that's how it needed to be for you to get to me

[Pre-Chorus]
I wish I was there for you
Wish I was holding you closer than close everyday of your life
I wish I was there for you
'Cause when we're together, there's so much to love, there's so little time
I wish I was there for you
Wish I was holding you closer than close everyday of your life
I wish I was there for you
And I wish that you were there for me too

[Chorus]
I wish I was there for you
(There for you, there for you, there for you
There for you, there for you)
I wish I was there for you
(There for you, there for you, there for you
There for you, there for you)

(There for you, there for you, there for you
There for you, there for you, there for you)
I wish I was there for you
And I wish that you were there for me too
(There for you, there for you, there for you)",,0.9939,0.9939,0.7319,Energised
2,Unfamiliar,"['Seeb', 'Goodboys', 'HRVY']",0.00882,0.59,174811,0.677,0.000147,0,0.157,-5.395,1,0.0577,184.573,4,0.304,"[Verse 1: HRVY]
Stood outside, I need to calm down
My head or my heart, who's in control now?
Foot on the brakes, but don't even know how
How to stop, so I say

[Pre-Chorus: HRVY, GOODBOYS]
Just look, don't touch
I don't want the drama
Don't think too much
I don't even bother
Enough is enough
But you're making it harder
You're making it harder
Okay

[Chorus: HRVY & GOODBOYS]
Hey stranger, I'm telling ya
Let's keep it unfamiliar
Don't say too much
Don't open up
Let's keep it unfamiliar

[Drop: HRVY & GOODBOYS]
Familiar
Unfamiliar
Let's keep it unfamiliar
Don't say too much
Don't open up
Let's keep it unfamiliar

[Verse 2: HRVY]
Stood on the edge, but wanna go deeper
I've practiced enough, but I'm not a preacher
On the tip of my tongue, yeah I'm gonna teach ya
To talk with your actions, not with your words

[Pre-Chorus: HRVY, GOODBOYS]
Just look, don't touch
I don't want the drama
Don't think too much
I don't even bother
Enough is enough
But you're making it harder
You're making it harder
Okay

[Chorus: HRVY & GOODBOYS]
Hey stranger, I'm telling ya
Let's keep it unfamiliar
Don't say too much
Don't open up
Let's keep it unfamiliar

[Drop: HRVY & GOODBOYS]
Unfamiliar
Unfamiliar
Let's keep it unfamiliar
Don't say too much
Don't open up
Let's keep it unfamiliar

[Bridge: HRVY & GOODBOYS, GOODBOYS]
Don't say too much
Don't say too much
Don't say too much
Don't open up
Don't say too much
Don't say too much
Don't say too much
Okay

[Chorus: HRVY & GOODBOYS]
Hey stranger, I'm telling ya
Let's keep it unfamiliar
Don't say too much
Don't open up
Let's keep it unfamiliar

[Drop: HRVY & GOODBOYS]
Familiar
Unfamiliar
Let's keep it unfamiliar
Don't say too much
Don't open up
Let's keep it unfamiliar",,0.9062,0.9062,0.3221,Energised
3,Who's Got Your Love,"['Cheat Codes', 'Daniel Blume']",0.00553,0.704,157000,0.888,0.0011,11,0.079,-2.872,1,0.0541,125.027,4,0.531,"[Verse 1]
I've been thinking 'bout you lately
You been on my mind, on my mind, yeah
Do you think about me, baby?
Maybe once or twice, once or twice
Tell me...

[Chorus]
Who's got your love tonight?
Got your love tonight? (Who)
Who's got your love tonight?
Got your love tonight? (Who)
Who's got your love tonight?
Got your love tonight? (Who)
Who's got your love tonight?
Got your love tonight? (Who)
Who's got your love tonight?
Got your love tonight? (Who)
Who's got your love tonight?
Got your love tonight? (Who)

[Verse 2]
I've been thinking 'bout you lately
You been on my mind, on my mind, yeah
Do you think about me, baby?
Maybe once or twice, once or twice
Tell me...
Do you ever think about hitting up my phone some nights?
Just to talk, talk, talk one more time, yeah (Yeah, tell me)

[Chorus]
Who's got your love tonight?
Got your love tonight? (Who)
Who's got your love tonight?
Got your love tonight? (Who)
Who's got your love tonight?
Got your love tonight? (Who)
Who's got your love tonight?
Got your love tonight? (Who)

[Outro]
Now I'm lost in all my feelings
Is it real or am I dreaming?
Now I'm lost in all my feelings
Is it real or am I dreaming about you?
Dreaming about you
Dreaming about you
Dreaming about you","[('Who’s got your love tonight?', [['The vocals are taken from Stonebank’s song with the same name; “Who’s got your love”, and are performed by EMEL.\n\nhttps://www.youtube.com/watch?v=mTvIcTI_qOg']])]",0.9983,0.9983,0.551,Energised
4,Drown (feat. Clinton Kane),"['Martin Garrix', 'Clinton Kane']",0.212,0.573,174062,0.739,0.0,9,0.175,-5.455,1,0.0581,120.077,4,0.363,"Lady Gaga - Stupid Love
Lil Baby - Live Off My Closet (feat. Future)
SZA - The Other Side (from Trolls World Tour)
Pink Sweat$ - 17
Jeremy Zucker - not ur friend
Jhené Aiko - Happiness Over Everything (H.O.E.) (feat. Future & Miguel)
Aminé - Shimmy
J Balvin - Rojo
Surfaces - Take It Easy
Martin Garrix - Drown (feat. Clinton Kane)
Marshmello - Crusade
Mabel - Boyfriend
Lil Baby - Heatin Up (feat. Gunna)
PARTYNEXTDOOR - SPLIT DECISION
Phoebe Bridgers - Garden Song
100 gecs - ringtone (Remix) [feat. Charli XCX, Rico Nasty, Kero Kero Bonito]
Swae Lee - Someone Said
Disclosure - Tondo
Céline Dion - Wicked Game - Recorded at Electric Lady Studios, NYC (feat. Chris Isaak)
Delacey - Cruel Intentions
Kenny Mason - Metal Wings
Bryce Vine - Baby Girl
Perfume Genius - Describe - Edit
Ant Saunders - u know it's real
Ant Clemons - Aladdin
NLE Choppa - 100 Shots
2 Chainz - NO TV
BabyJake - Confidant
Max Leone - Cautious
Evie Irie - Over Him
Lila Drew - locket
Ally Brooke - Fabulous
Astrid S - I Do
Kelsea Ballerini - hole in the bottle
Keith Urban - God Whispered Your Name
Malia Civetz - Broke Boy
RIZ LA VIE - Tesla
G Herbo - PTSD
Kash Doll - Wake Up
Kid Ink - Look At That
Diana Gordon - Rollin
[JAWNY - Anything You Want] 🐚

MAX - Where Am I At
Taylor Janzen - I Feel A Darkness
SHY Martin - Still the Same (feat. Boy In Space)
Soccer Mommy - bloodstream
Christine and the Queens - I disappear in your arms - bonus
Caribou - New Jade
Burna Boy - Odogwu
Young Nudy - Blue Cheese Salad
Princess Nokia - Green Eggs & Ham
Gorillaz - Désolé (feat. Fatoumata Diawara)
Jessie Ware - Spotlight - Single Edit
Nea - Dedicated
Jonas Blue - Mistakes
Loud Luxury - Nights Like This
Sonny Fodera - Before U
Wisin & Yandel - Ganas de Ti
Masiwei - Prince Charming
DJ Drama - 350
Lianne La Havas - Bittersweet
GRAACE - Hard to Say
[Medasin - Get By] 🐚

Goth Babe - The River
Real Estate - The Main Thing
Yung Lean - Boylife in EU

[DJ Esco - Primetime] 🐚
[YFN Lucci - Freestyle (feat. Bandhunta Izzy)] 🐚
[Bantu - Stretch] 🐚

Jonah Mutono - 1949
Harry Hudson - Let Me
The Hunna - Cover You
Hailey Whitters - All the Cool Girls
Filmore - Blue Skies
ren - i drive me mad
Adam Melchor - 30 MINUTES
Mk.gee - cz

[VOILÀ - 4GET] 🐚
[Salt Cathedral - PARIS] 🐚
[PLS&TY - I Miss You] 🐚

Noga Erez - VIEWS
Yung Mal - Blake Griffin
Tm88 - RR
[2KBABY - FAXTS] 🐚

Loote - This Is How U Feel
Ben Kessler - Right Here Right Now
Raissa - ANGEL ENERGY
Jensen McRae - Wolves
Henry Jamison - Still Life
[Briston Maroney - The Garden] 🐚

HOKO - OK OK
DREAMERS - Heat Seeker

[Delly - Medusa] 🐚
[N7 - Hot Head] 🐚

Maty Noyes - Love Don't Cost A Thang
Liv.e - LazyEaterBetsOnHerLikeness
Chiiild - Pirouette
RMR - RASCAL",,0.6813,0.6813,0.3766,Energised
5,Sun In Our Eyes - Don Diablo Remix,"['MØ', 'Diplo', 'Don Diablo']",0.0589,0.699,206453,0.861,2.64e-06,4,0.0794,-3.09,0,0.173,125.942,3,0.315,"[Verse 1]
I feel the sunlight on my head
The scent of summer in my bed
When we were footprints in the sand
Stealing liquor, making plans

[Pre-Chorus]
I can see your face from miles and miles away
But heaven knows it's gonna fade, heaven knows it's gonna fade
I'm a dog searching for reasons and a way
Back to your hands you make me tremble, make me crash
Forget my name

[Chorus]
And just ride that wave until we higher than life
With the sun in our eyes
Yeah, just ride on that cloud until we fall from the sky
No more tears for the night
For the ni-i-i-i-i-ight
For the ni-i-i-i-i-ight
Yeah, just ride that wave until we higher than life
With the sun in our eyes

[Verse 2]
They said to watch out for your kind
I watched out and it blew my mind
They say that romance makes you blind
Well, I'll be blinded for a lifetime

[Pre-Chorus]
But I can see your face from miles and miles away
And I remember every kiss, all the games you had me play
I'm a dog searching for answers and a way
Back to your hands you make me tremble, make me crash
Forget my name

[Chorus]
And just ride that wave until we higher than life
With the sun in our eyes
Yeah, just ride on that cloud until we fall from the sky
No more tears for the night
For the ni-i-i-i-i-ight
For the ni-i-i-i-i-ight
Yeah, just ride that wave until we higher than life
With the sun in our eyes

[Post-Chorus]
For the ni-i-i-i-i-ight
For the ni-i-i-i-i-ight
Yeah, just ride that wave until we higher than life
With the sun in our eyes",,0.6501,0.6501,0.328,Energised
6,Lift Me Up (feat. Carla Monroe),"['Oliver Heldens', 'Firebeatz', 'Schella', 'Carla Monroe']",0.0426,0.579,177120,0.784,0.0235,5,0.317,-4.686,1,0.0659,125.122,4,0.562,"[Verse 1]
I came out tonight with good intentions
Said I was only gonna stay for one
But the moment that I get your attention
I lose my head and it all comes undone

[Chorus]
Because there's someone in your bed
It goes straight to my head
Then I lose all my sense
You know it's hard to watch you go
Don't leave me here solo
A few drinks and it makes me do things
Lift me up

[Drop]
Lift me up
Lift me up
Lift me up

[Post-Drop]
When it kicks in, all the feelings start again
Made me lose my mind and now I'm back again
When it kicks in, all the feeling lights up
Few drinks and it makes me do things

[Verse 2]
I stumble out and pass your old apartment
My heavy head, it took me to your door
Emotions spinning, I can feel it starting
To take control and make me trip once more

[Chorus]
Because there's someone in your bed
It goes straight to my head
Then I lose all my sense
You know it's hard to watch you go
Don't leave me here solo
A few drinks and it makes me do things
All because you lift me up

[Post-Chorus]
When it kicks in, all the feelings start again
Made me lose my mind and now I'm back again
When it kicks in, all the feeling lights up
Few drinks and it makes me do things

[Pre-Drop]
Lift me up

[Drop]
When it kicks in, all the feelings start again
Made me lose my mind and now I'm back again
When it kicks in, all the feeling lights up
Few drinks and it makes me do things
Lift me up

[Post-Drop]
Lift me up
Lift me up
Lift me up

[Outro]
When it kicks in, all the feelings start again
Made me lose my mind and now I'm back again
When it kicks in, all the feeling lights up
Few drinks and it makes me do things

Lift me up
Up, up, up, up
Up, up, up, lift me up
Up, up, up, up
Up, up, lift me up",,-0.8659,-0.8659,0.5447,Energised
7,Better Off Without You (feat. Shift K3Y),"['Becky Hill', 'Shift K3Y']",0.0566,0.682,198743,0.855,1e-06,7,0.101,-3.282,1,0.0401,124.004,4,0.304,"Selena Gomez - Rare
Future - Life Is Good (feat. Drake)
Halsey - You should be sad
Mac Miller - Good News
Megan Thee Stallion - Diamonds
Khalid - Eleven
Tame Impala - Lost In Yesterday
Celeste - Stop This Flame
Lil Baby - Sum 2 Prove
Selena Gomez - Vulnerable
Conan Gray - The Story
Nicky Jam - Muévelo
070 Shake - Guilty Conscience
Mura Masa - Teenage Headache Dreams (with Ellie Rowsell)
Georgia - 24 Hours - Edit
John Legend - Conversations in the Dark
Sia - Original (from Dolittle)
Selena Gomez - Crowded Room (feat. 6LACK)
Moneybagg Yo - Protect Da Brand (feat. DaBaby)
Alicia Keys - Underdog
Ozzy Osbourne - Ordinary Man (feat. Elton John)
J Balvin - Morado
Static & Ben El - Further Up (Na, Na, Na, Na, Na) (feat. Pitbull)
Robin Schulz - In Your Eyes (feat. Alida)
Shallou - Older
Quinn XCII - Two 10s
Orion Sun - Ne Me Quitte Pas (Don't Leave Me)
Leyla Blue - Peppa Pig (Prod. Y2K)
Sam Feldt - 2 Hearts (feat. Gia Koka)
Carnage - Hella Neck
The Blaze - Somewhere
Kevitch - Sunrise
Lane 8 - Road
Becky Hill - Better Off Without You (feat. Shift K3Y)
SHY Martin - Slow
Ethan Gruska - Enough for Now (feat. Phoebe Bridgers)
Gabby Barrett - Hall of Fame
Devon Gilfillian - The Good Life
T.R.U. - Virgil Discount
TLE Cinco - Fastlane (feat. Clever)
Baby Goth - Afterparty
Amindi - Love Em Leave Em
Jay Menez - Solo (with Rauw Alejandro)
Kodaline - Wherever You Are
EDEN - isohel
Easy Life - Dead Celebrities
The Big Moon - Barcelona
chloe moriondo - Kindergarten
Olivia Rodrigo - Breaking Free - Nini, Ricky & E.J. Version
Nightly - the movies
brando - Look Into My Eyes
ripmattblack - You Love It!
Key Glock - Look At They Face
Royal & the Serpent - MMXX
Beach Bunny - Cloud 9
Moses Sumney - Me in 20 Years
Tennis - Need Your Love
gnash - hungover & i miss u
Artists for Peace and Justice - Under the Supermoon
Marcus King - Beautiful Stranger
Caitlyn Smith - Long Time Coming
Winona Oak - Control
Whethan - Stay Forever (feat. STRFKR)
Quando Rondo - Blue Opps
Aly Ryan - You Ain't Him
Nodis - Missed Calls, Broken Hearts
Noah Neiman - Hard
SAYGRACE - Loyal
Caroline Rose - Feel The Way I Want
flora cash - You Love Me
Little Big Town - Nightfall
Nathaniel Rateliff - And It's Still Alright
Alexandra Savior - But You
Dexter - Answer to Love
Elley Duhé - MIDDLE OF THE NIGHT
Now United - Let Me Be The One
Gavin Haley - Nowhere
guardin - alive
Grouplove - Deleter
Joywave - Half Your Age
Picture This - Winona Ryder
Charlotte Rose Benjamin - Party City
Tessa Kaye - Fool's Gold
Jacquie - Forever
jame - Fiya
Bankrol Hayden - Costa Rica
Masiwei - The World Is Yours
Silverstein - Infinite
Demob Happy - Mother Machine
The Lone Bellow - Good Times
Jac Ross - It's OK To Be Black
Street Bud - What's The Move
Jake Isaac - New York
Circa Waves - Move to San Francisco",,0.995,0.995,0.3239,Energised
8,Goodbye,"['Imanbek', 'Goodboys']",0.0225,0.741,144000,0.931,0.000102,10,0.191,-3.447,0,0.0563,125.011,4,0.517,"[Pre-Chorus]
Is it wrong or right? Wrong or right?
You're still on my mind, on my mind
Tell me why-y
I can't say goodbye-ye
No, I can't say goodbye-ye-ye
Bye-ye
No, I can't say goodbye-ye-ye
Bye-ye-ye

[Chorus]
Is it wrong or right? Wrong or right?
You're still on my mind, on my mind
Tell me why-y
I can't say goodbye-ye
Is it wrong or right? Wrong or right?
You're still on my mind, on my mind
Tell me why-y
I can't say goodbye-ye
No, I can't say goodbye

[Verse]
Don't know if I should love you or leave you
Why won't my head or my heart align?
Don't think I understand what I'm feeling
Can you tell me

[Pre-Chorus]
Is it wrong or right? Wrong or right?
You're still on my mind, on my mind
Tell me why-y
I can't say goodbye-ye
No, I can't say goodbye-ye-yе
Bye-ye
No, I can't say goodbye-yе-ye
Bye-ye-ye

[Chorus]
Is it wrong or right? Wrong or right?
You're still on my mind, on my mind
Tell me why-y
I can't say goodbye-ye
Is it wrong or right? Wrong or right?
You're still on my mind, on my mind
Tell me why-y
I can't say goodbye-ye
No, I can't say good—",,-0.9759,-0.9759,0.4975,Energised
9,Siren Song - Radio Edit,"['CamelPhat', 'Eden']",0.00891,0.71,207302,0.705,0.16,7,0.177,-7.417,1,0.0345,119.986,4,0.34,,,,,0.34,Energised
