,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,lyrics,annotations,nlp_lyrics,nlp_annotations,valence+nlp,mood
0,Necrogenic Resurrection,['Cannibal Corpse'],2.94e-05,0.462,186576,0.974,0.723,1,0.0751,-5.82,1,0.0816,107.877,3,0.399,"[Verse 1]
Sacrificial victims, slaughtered en masse
Thrown in the pit with his bones
Blood will seed the rebirth
Our lord will rise, materialize
Undying evil, immortal sin
Almighty killer avenged
They will die, he will rise
Reanimate through homicide

[Refrain]
Necrogenic Resurrection

[Verse 2]
Essence of our leader exists in the dust
Into the hole they are cast
Fear, regeneration
Our cult provides, death giving lifе
Horrific worship, the freshly slain
Bleed on the ground whеre he lies
They will die, he will rise
Reanimate through homicide

[Refrain]
Necrogenic Resurrection
Assimilate
Death giving life
Necrogenic Resurrection
Mutilate
Life giving death

[Bridge]
Up from the earth
Born again from blood
Ascend with violence
Corporeal once more
The grasping hand, abomination surging forth
Atrocities, compulsive mutilation reigns
Massacre perpetuates the evil madness
His brutal murders are a bloodbath preordained

[Solo: Barrett]

[Verse 3]
Disembodied evil again is made whole
Slaughter ensues in his wake
Death will feed his vengeance
Stabbing with knives, gouging their eyes
Barbaric madness, he kills again
Shredded flesh covers the ground
All will die, genocide
Merciless butcher arise

[Refrain]
Necrogenic resurrection
Necrogenic resurrection
Necrogenic resurrection",,-0.9972,-0.9972,0.3791,Angry
1,SYSTEMATIC,['While She Sleeps'],0.000149,0.528,176695,0.961,0.000146,10,0.102,-4.621,0,0.107,130.038,4,0.441,"[Intro]
This world is broken

I know that we're only elements
Imbalancing, go put the mirror down
We give everything just to seem innocent
Negative energy consumes
Breathe, breathe, breathe, breathe
Hysteria
The consequence of fear
Hysteria
There's no way out of here

[Verse 1]
I'm so over this
I wanna snuff the wick
I'm fucking done with it
Ask no question, hear no lies

[Pre-Chorus]
Life is just a gateway drug
But what's left in it for us?

[Chorus]
It goes like
I don't want it
Just 'cause you have it
I don't want it
Fuck, you're systematic
I don't want it
Just 'cause you have it
No doubt about it
I don't want your bullshit
Fuck, you're systematic

[Verse 2]
I'm shook
Never should've given a fuck
We're just giving it up like it's dead to us
I'm shook
Bend the lie, it will all be over soon enough

[Pre-Chorus]
Life is just a gateway drug
It's unconditional lust

[Chorus]
It goes like
I don't want it
Just 'cause you have it
I don't want it
Fuck, you're systematic
I don't want it
Just 'cause you have it
No doubt about it
I don't want your bullshit
Fuck, you're systematic

[Bridge]
I know that we're only elements
Imbalancing, go put the mirror down
We give everything just to seem innocent
Negative energy consumes
I'm so over this
Never give up, never give in
Never gonna let the negative energy win
Never give up, never give in
Never let the negative consume

[Outro]
I'm so over this
I'm so over this
I'm so over this",,-0.8855,-0.8855,0.4233,Angry
2,Into The Storm,['Gojira'],0.00141,0.245,302293,0.972,0.68,2,0.131,-6.387,1,0.0739,105.939,4,0.107,"[Intro]
Go

[Verse 1]
Say something about awakening
The rebellion you felt before
Wake, change your course
Laws will follow
Restart, reactivate the core

[Chorus]
Rise
Yeah, you come out
You're awake now
Put your fist in the air
You were hiding
Now you throw yourself
Into the storm

[Verse 2]
Stand
Gather your strength, raise your eyes
Fear not the demons you're up against

[Chorus]
Now that you dove down
Found the bottom begging for air
How sad, how long it takes us to rise and fight
Yeah, you come out
You're awake now
Put your fist in the air
You were hiding
Now you throw yourself
Into the storm

[Bridge]
Flames
Dancing in the open
You step into the light
You step into the light

[Chorus]
Now that you dove down
Found the bottom begging for air
How sad, how long it takes us to rise and fight
Yeah, you come out
You're awake now
Put your fist in the air
You were hiding
Now you throw yourself
Into the storm

[Outro]
Storm
Into the storm
Storm","[('Laws will follow', [['Gojira singer-guitarist Joe Duplantier says:Laws are meant to be bent and shaped to our vital needs.']])]",-0.8979,-0.8979,0.089,Angry
3,Deafening,['Solence'],0.000181,0.42,227379,0.949,0.00498,7,0.101,-6.214,1,0.189,77.064,4,0.171,"[Intro]
Deafening, deafening
Hrmm, okay

[Verse 1]
You got some problems, you got some shit
That you been hoping to get rid of
I got the team, we’re going in
And we got no concern
'Cause we're 'bout to fucking rock your world

[Pre-Chorus]
With a taste of burning gasoline

[Chorus]
My, oh my (My, oh my)
The feeling that we bringing
Pumping like adrenaline
It's deafening
Oh my god (Oh my god)
A thousand people singing
Screaming as we’re marching in
It's deafening

[Post-Chorus]
We're not done yet

[Verse 2]
I want it louder, I wanna hear
A million fucking decibels
Going right in my ear
Me and my brothers, we are maniacs
Making sure you never forget that

[Pre-Chorus]
Deep your body and deep in your bones
You can feel it, you hear it, you know that it’s coming, yeah

[Chorus]
My, oh my (My, oh my)
The feeling that we bringing
Pumping like adrenaline
It's deafening
Oh my god (Oh my god)
A thousand people singing
Screaming as we’re marching in
It's deafening

[Bridge]
And they all start to sing
It's deafening
When the crowds marching in
It's deafening
God, I have never heard something so pure
Beautiful, gimme more, let me hear
It’s deafening

[Pre-Chorus]
Last time

[Chorus]
My, oh my (My, oh my)
The feeling that we bringing
Pumping like adrenaline
It's deafening (Oh-oh-oh-oh-oh)
Oh my god (Oh my god)
A thousand people singing
Screaming as we’re marching in
It's deafening

[Outro]
Deafening, deafening",,-0.8848,-0.8848,0.1533,Angry
4,Silence Is Golden,['Trash Boat'],0.00893,0.463,204745,0.908,2.82e-06,10,0.366,-4.373,0,0.0756,99.993,4,0.459,"[Intro]
War with an enemy we can't reach
So we turn our rage to the man on the street
No profit in unity
Our silence no longer speaks

[Verse 1]
Face it, you know you're never gonna change it
From subliminal to blatant, keeping you complacent or terrified
Fake it, I'd do anything to make it
All alone I sit upon my throne, it's so close I can taste it

[Pre-Chorus]
Push in and split the skin
Give in to sin

[Chorus]
Obey? You should know by now
You can't hold me down
Better watch your mouth
Or I'll knock you out
Obey? You should know by now
We stand our ground
Better watch your mouth
One slip and they'll snuff you out

[Verse 2]
You're the first and last word, who's first and who's third?
You took all their worth and the worst is unheard of
The puppets narrate the word of the day
They're talking in circles, I need to think straight
So I followed the water up stream
And now I can't hear myself think
The river moans, the ocean's woes, it never sleeps

[Chorus]
Obey? You should know by now
You can't hold me down
Better watch your mouth
Or I'll knock you out
Obey? You should know by now
We stand our ground
Better watch your mouth
One slip and they'll snuff you out

[Bridge]
War with an enemy we can't reach
So we turn our rage to the man on the street
We wait for compassion to overcome self interest
Far too patiently
We're still slaves to a media driven binary
'Cause those that know know there's no profit in unity
Our silence no longer speaks
(Silence is golden)
(To those who control it)

[Chorus]
Obey? You should know by now
You can't hold me down
Better watch your mouth
Or I'll knock you out
Obey? You should know by now
We stand our ground
Better watch your mouth
One slip and they'll snuff you out",,-0.9702,-0.9702,0.4396,Angry
5,Nomoreroses,['Holding Absence'],0.000401,0.355,234467,0.938,0.000163,5,0.107,-3.49,0,0.0851,170.117,4,0.113,"[Intro]
If God is just and fair
Why wasn't my heart spared?

[Verse 1]
I've waited all my life
To see this holy light
You're smothering my eyes
I wanna see it, I wanna feel it
The harder that I pray
The more you make it rain
I'm soaked in all this pain
Forgive me for drowning
Deafen me with your voice
You stuffed me with this void

[Chorus]
And if I've done you wrong by not enduring this pain
Well, where were you and all your eternal holy grace?

[Verse 2]
I've been sitting on your front porch, knocking on your front door
Knocking till my knuckles go red raw
I've been sitting in the ether, looking for beliеf
I'm lost like a whistle in the wind
I'vе been kneeling on my bare bones
Speaking with my eyes closed
Keeping both my knuckles pressing my nose
But nothing that I ever do
Will close this hole inside of me
If you are just and fair
Why won't you meet me there?

[Chorus]
And if I've done you wrong by not enduring this pain
Well, where were you and all your eternal holy grace?

[Outro]
How many tear-stained sonatas must I sing for you to see?
I never believed in you because you never believed in me",,-0.623,-0.623,0.1005,Angry
6,Disruptor,['Fear Factory'],1.87e-05,0.547,225133,0.969,1.25e-05,2,0.385,-4.774,1,0.0914,133.011,4,0.296,"[Intro]
Disruptor

[Verse 1]
I refuse to pledge allegiance
A ceremony of deception
Psycho sickness propaganda
The predator to the prey

[Pre-Chorus]
I refuse
I refuse
I refuse society
I refuse loyalty

[Chorus]
No regrets
Follow your own way
Nothing can define you
Break off, disobey

I am the disruptor
I am the disruptor

[Verse 2]
I resist the powers that be
Anonymous truth seeker
A nation incarcerated
To be enslaved by corporate fucks

[Pre-Chorus]
I resist
I resist
I resist powers that be
I resist consciously

[Chorus]
No regrets
Follow your own way
Nothing can define you
Break off, disobey
No regrets
Follow your own way
Nothing can define you
Break off, disobey

[Bridge]
You are not the privileged
You are not better than me
Your control, my blasphemy

[Chorus]
No regrets
Follow your own way
Nothing can define you
Break off, disobey

No regrets
Follow your own way
Nothing can define you
Break off, disobey

[Outro]
(Break off)
I am the disruptor
(Disobey)
I am the disruptor
(Follow your)
I am the disruptor
(Own way)
I am the disruptor",,-0.9884,-0.9884,0.2762,Angry
7,Moot,"['We Are PIGS', 'Morgan Lander']",0.000651,0.404,245664,0.727,2.24e-05,2,0.358,-4.942,0,0.0421,91.778,4,0.277,"[Intro]
MOOT
YOUR POINT IS MOOT
YOUR POINT IS MOOT
YOUR POINT IS MOOT
MOOT

[Verse 1]
Revolving door
Oscillate
Holy Ghost
Decimate
Need a friend
To navigate
To marinate

[Pre-Chorus]
I have a question
You give me no answers
Thought we should question
From where come these answers
So we should question
All of these answers
And to your question
This is my answer:

[Chorus]
YOUR POINT IS MOOT
YOUR POINT IS MOOT
YOUR POINT IS MOOT
YOUR POINT IS MOOT
MOOT

[Verse 2]
Hold the door
Vacillate
Jesus Christ
Procreate
Preacher works
In only hate
How’s your faith?

[Pre-Chorus]
I have a question
You give me no answers
Thought we should question
From whеre come thesе answers
So we should question
All of these answers
And to your question
This is my answer:

[Chorus]
YOUR POINT IS MOOT
YOUR POINT IS MOOT
YOUR POINT IS MOOT
YOUR POINT IS MOOT
MOOT

[Breakdown]
OH

[Outro]
MOOT
YOUR POINT IS MOOT
YOUR POINT IS MOOT
YOUR POINT IS MOOT
MOOT",,-0.5267,-0.5267,0.2665,Angry
8,2 Middle Fingers,['State of Mine'],7.74e-06,0.441,205250,0.991,0.00107,9,0.371,-3.761,1,0.114,74.973,4,0.489,"[Intro]
She'd love to go
There's something 'bout her, uh oh
Yeah, oh yeah, oooh yeah, oh yeah
She bad and she knows it
She light one, she pours up a shot and tell me to get faded
She faded away cuz she told me she'd stay
Shit done changed since I went to LA

[Verse 1]
Uh, Why all I ever hear is wait?
And lil niggas look at me and still think I'm okay?
The higher up I get, the harder this shit get to fake
But if I take the fuckin' leap and I make it, they call it faith!
I bet I'll miss, they call it dumb, nigga dear depart
These niggas live for television, they tarot cards
They well wishers, they change throwers
A month from now I turn around and all my niggas holdin' flame throwers
That’s paranoia, that’s Nathan for ya
I started doubtin' bout myself
That was basically a forfeit
I was chained up, mixin' sprite and purp up in the same cup
I got faded, but you niggas never fade us, yeah
Ya'll forgot I ain't forgave that
Chain snatch the pressure off my chest where it hangs at
Uh, except I kept it bottled up, so I never really left with the darkness it swallowed up so I

[Hook]
Light one, pour one, no one
Can't tell me nothin', I'm just doing me
Tell em let me breathe
I just got to find a way to silence all the screams, nigga
Light one, pour one, no one
Can't tell me nothin', I'm just doin' me
Tell em let me breathe
I just got to find a way to silence all the screams

[Verse 2]
I had to leave to make a classic, pretty sure I'd be Bach
Petty niggas hate me, they prayin' for me to stop
In the studio I flow, an engineer with no accomplice
Gave myself a complex, that nigga’s on Complex? What?
Shit, I did it for the art, but it's hard when your mind is shootin missiles at your heart
I'll admit, I miss my fuckin' ex a lot
She prolly part the reason why I fuck with X a lot
Yeah nigga, I'm on shit just to keep my mind off
Room crowded but I see it with the sound off
Move forward just pretendin that it's all good
But you let em see the rope, they know it’s all knot
Now I'm duckin' pennies my niggas throwin' me 2 cents
But I just tell em, I'm tyin' up loose ends
And if you ever try to bring a real nigga down
I just fire up some loud, drown you muhfuckers out, my god

[Hook]
Light one, pour one, no one
Can't tell me nothin, I'm just doing me
Tell em let me breathe
I just got to find a way to silence all the screams, nigga
Light one, pour one, no one
Can't tell me nothin, I'm just doin' me
Tell em let me breathe
I just got to find a way to silence all the screams

[Verse 3]
Yeah, they tried to anchor down my dreams
Fuck em once, fuck em twice
I'm fuckin' back my nigga please
Had a dollar and a dream
I spent it, my tank on E
How I got here got me thinkin' how great a nigga could be
If he'd only believe, that other people believe
If the sky had never fallen, know I could probably see, uh
For now I'm livin' off E
That's ironic right? I want the high, but hate to feel the breeze
I was trapped inside a box, Dracula to all the bullshit
In the mirror with middle fingers and full clips
Should I medicate it with bars?
All I see is setback like Audemar in the fall
Light one, nah, fuck it just go hard, tomorrow tell the family I'm back this is rollcall
And why the fuck I'm waitin for a spot that was already mine?
Nothing stopped me, impossible is a state of mind!

[Hook]
Light one, pour one, no one
Can't tell me nothin', I'm just doing me
Tell em let me breathe
I just got to find a way to silence all the screams, nigga
Light one, pour one, no one
Can't tell me nothin', I'm just doin' me
Tell em let me breathe
I just got to find a way to silence all the screams

[Outro]
Diet consists of
Mints and skittles
Trippin a lot and
Workin a little
Blowin on purple
But it's loud
I'm alone in this crowd
Had to turn the screams down, turn the screams down
And then I...
Took a trip last Saturday, last Saturday","[('I had to leave to make a classic, pretty sure I’d be Bach', [['I stopped pursuing a music career for a second, but in the end it ultimately helped me to find my voice and vision. Using Bach is just a flip of I’ll be back…to make a classic.']]), ('That’s paranoia, that’s Nathan for ya', [['Nathan is my real name. Nathan is also slang for Nothing. That’s the real me – paranoid at home. My paranoia essentially stems from the idea that one day I’ll just wake up and be alone. That’s something I never really think people understand about me.']]), ('These niggas live for television, they tarot cards', [['A play on words – I felt that, at the time, most of the people around me were around me becuase they thought eventually supporting me would lead to some type of shine or glory for them. TV appearances and chains and money and shit like that. Television / Tell A Vision – so you know – Tarot cards.']]), ('She faded away cuz she told me she’d stay\n Shit done changed since I went to LA', [['Someone that I had feelings for moved to LA, and our whole relationship changed. I was thinking, “damn I’m just stuck in the past” and had to figure a way to get around whatever was blocking me from following my path.']])]",-0.9985,-0.9985,0.469,Angry
9,Touch the Corpse,['Irving Force'],9.25e-06,0.533,166949,0.936,0.291,1,0.263,-5.988,1,0.0766,109.764,4,0.384,"II. The Dawn of the Horror-Tale

As may naturally be expected of a form so closely connected with primal emotion, the horror-tale is as old as human thought and speech themselves.

Cosmic terror appears as an ingredient of the earliest folklore of all races, and is crystallised in the most archaic ballads, chronicles, and sacred writings. It was, indeed, a prominent feature of the elaborate ceremonial magic, with its rituals for the evocation of daemons and spectres, which flourished from prehistoric times, and which reached its highest development in Egypt and the Semitic nations. Fragments like the Book of Enoch and the Claviculae of Solomon well illustrate the power of the weird over the ancient Eastern mind, and upon such things were based enduring systems and traditions whose echoes extend obscurely even to the present time. Touches of this transcendental fear are seen in classic literature, and there is evidence of its still greater emphasis in a ballad literature which paralleled the classic stream but vanished for lack of a written medium. The Middle Ages, steeped in fanciful darkness, gave it an enormous impulse toward expression; and East and West alike were busy preserving and amplifying the dark heritage, both of random folklore and of academically formulated magic and cabbalism, which had descended to them. Witch, werewolf, vampire, and ghoul brooded ominously on the lips of bard and grandam, and needed but little encouragement to take the final step across the boundary that divides the chanted tale or song from the formal literary composition. In the Orient, the weird tale tended to assume a gorgeous colouring and sprightliness which almost transmuted it into sheer phantasy. In the West, where the mystical Teuton had come down from his black Boreal forests and the Celt remembered strange sacrifices in Druidic groves, it assumed a terrible intensity and convincing seriousness of atmosphere which doubled the force of its half-told, half-hinted horrors.

Much of the power of Western horror-lore was undoubtedly due to the hidden but often suspected presence of a hideous cult of nocturnal worshippers whose strange customs—descended from pre-Aryan and pre-agricultural times when a squat race of Mongoloids roved over Europe with their flocks and herds—were rooted in the most revolting fertility-rites of immemorial antiquity. This secret religion, stealthily handed down amongst peasants for thousands of years despite the outward reign of the Druidic, Graeco-Roman, and Christian faiths in the regions involved, was marked by wild “Witches’ Sabbaths” in lonely woods and atop distant hills on Walpurgis-Night and Hallowe’en, the traditional breeding-seasons of the goats and sheep and cattle; and became the source of vast riches of sorcery-legend, besides provoking extensive witchcraft- prosecutions of which the Salem affair forms the chief American example. Akin to it in essence, and perhaps connected with it in fact, was the frightful secret system of inverted theology or Satan-worship which produced such horrors as the famous “Black Mass”; whilst operating toward the same end we may note the activities of those whose aims were somewhat more scientific or philosophical—the astrologers, cabbalists, and alchemists of the Albertus Magnus or Raymond Lully type, with whom such rude ages invariably abound. The prevalence and depth of the mediaeval horror-spirit in Europe, intensified by the dark despair which waves of pestilence brought, may be fairly gauged by the grotesque carvings slyly introduced into much of the finest later Gothic ecclesiastical work of the time; the daemoniac gargoyles of Notre Dame and Mont St. Michel being among the most famous specimens. And throughout the period, it must be remembered, there existed amongst educated and uneducated alike a most unquestioning faith in every form of the supernatural; from the gentlest of Christian doctrines to the most monstrous morbidities of witchcraft and black magic. It was from no empty background that the Renaissance magicians and alchemists—Nostradamus, Trithemius, Dr. John Dee, Robert Fludd, and the like—were born.

In this fertile soil were nourished types and characters of sombre myth and legend which persist in weird literature to this day, more or less disguised or altered by modern technique. Many of them were taken from the earliest oral sources, and form part of mankind’s permanent heritage. The shade which appears and demands the burial of its bones, the daemon lover who comes to bear away his still living bride, the death-fiend or psychopomp riding the night-wind, the man-wolf, the sealed chamber, the deathless sorcerer—all these may be found in that curious body of mediaeval lore which the late Mr. Baring-Gould so effectively assembled in book form. Wherever the mystic Northern blood was strongest, the atmosphere of the popular tales became most intense; for in the Latin races there is a touch of basic rationality which denies to even their strangest superstitions many of the overtones of glamour so characteristic of our own forest-born and ice-fostered whisperings.
Just as all fiction first found extensive embodiment in poetry, so is it in poetry that we first encounter the permanent entry of the weird into standard literature. Most of the ancient instances, curiously enough, are in prose; as the werewolf incident in Petronius, the gruesome passages in Apuleius, the brief but celebrated letter of Pliny the Younger to Sura, and the odd compilation On Wonderful Events by the Emperor Hadrian’s Greek freedman, Phlegon. It is in Phlegon that we first find that hideous tale of the corpse-bride, “Philinnion and Machates”, later related by Proclus and in modern times forming the inspiration of Goethe’s “Bride of Corinth” and Washington Irving’s “German Student”. But by the time the old Northern myths take literary form, and in that later time when the weird appears as a steady element in the literature of the day, we find it mostly in metrical dress; as indeed we find the greater part of the strictly imaginative writing of the Middle Ages and Renaissance. The Scandinavian Eddas and Sagas thunder with cosmic horror, and shake with the stark fear of Ymir and his shapeless spawn; whilst our own Anglo-Saxon Beowulf and the later Continental Nibelung tales are full of eldritch weirdness. Dante is a pioneer in the classic capture of macabre atmosphere, and in Spenser’s stately stanzas will be seen more than a few touches of fantastic terror in landscape, incident, and character. Prose literature gives us Malory’s Morte d’Arthur, in which are presented many ghastly situations taken from early ballad sources—the theft of the sword and silk from the corpse in Chapel Perilous by Sir Launcelot, the ghost of Sir Gawaine, and the tomb-fiend seen by Sir Galahad—whilst other and cruder specimens were doubtless set forth in the cheap and sensational “chapbooks” vulgarly hawked about and devoured by the ignorant. In Elizabethan drama, with its Dr. Faustus, the witches in Macbeth, the ghost in Hamlet, and the horrible gruesomeness of Webster, we may easily discern the strong hold of the daemoniac on the public mind; a hold intensified by the very real fear of living witchcraft, whose terrors, first wildest on the Continent, begin to echo loudly in English ears as the witch-hunting crusades of James the First gain headway. To the lurking mystical prose of the ages is added a long line of treatises on witchcraft and daemonology which aid in exciting the imagination of the reading world.

Through the seventeenth and into the eighteenth century we behold a growing mass of fugitive legendry and balladry of darksome cast; still, however, held down beneath the surface of polite and accepted literature. Chapbooks of horror and weirdness multiplied, and we glimpse the eager interest of the people through fragments like Defoe’s “Apparition of Mrs. Veal”, a homely tale of a dead woman’s spectral visit to a distant friend, written to advertise covertly a badly selling theological disquisition on death. The upper orders of society were now losing faith in the supernatural, and indulging in a period of classic rationalism. Then, beginning with the translations of Eastern tales in Queen Anne’s reign and taking definite form toward the middle of the century, comes the revival of romantic feeling—the era of new joy in Nature, and in the radiance of past times, strange scenes, bold deeds, and incredible marvels. We feel it first in the poets, whose utterances take on new qualities of wonder, strangeness, and shuddering. And finally, after the timid appearance of a few weird scenes in the novels of the day—such as Smollett’s Adventures of Ferdinand, Count Fathom—the released instinct precipitates itself in the birth of a new school of writing; the “Gothic” school of horrible and fantastic prose fiction, long and short, whose literary posterity is destined to become so numerous, and in many cases so resplendent in artistic merit. It is, when one reflects upon it, genuinely remarkable that weird narration as a fixed and academically recognised literary form should have been so late of final birth. The impulse and atmosphere are as old as man, but the typical weird tale of standard literature is a child of the eighteenth century.","[('Akin to it in essence, and perhaps connected with it in fact, was the frightful secret system of inverted theology or Satan-worship which produced such horrors as the famous “Black Mass”', [['Bizarrely enough, Lovecraft here suggests that medieval witches may have actually performed Satanic Black Masses, even though there is no historical evidence or credible accounts whatsoever of such things having happened. Given his usual polemic skepticism towards all things superstitious, this is a perplexing position to see him taking.']]), ('In the Orient, the weird tale tended to assume a gorgeous colouring and sprightliness which almost transmuted it into sheer phantasy', [['It’s hard to know what tales Lovecraft is referring to here, given that “the Orient” was used to refer to virtually everything to the south and east of mainland Europe. Though he is able to discern between the subtleties of European tribes who lived in very close proximity (Celts, Druids, Teutons), he tosses the rest of the Old World under a single, blanket othering.']]), ('A hideous cult of nocturnal worshippers whose strange customs—descended from pre-Aryan and pre-agricultural times when a squat race of Mongoloids roved over Europe with their flocks and herds', [['Lovecraft’s racism is sometimes as strange as his fiction. What he’s trying to talk about here is the civilization that existed in Europe before the Indo-European migration. When he wrote this, speculation had begun that these people were steppe nomads, a theory which is accepted today, weirdly enough, though definitive research into the topic didn’t come until much later. Even so, the notion of them being “a squat race of Mongoloids” is a product of his own prejudiced fantasy, given that knowledge of what they looked like would have been entirely unobtainable at this time. Additionally, we also see an early usage of “Aryan” being used in a racist manner, differentiating white Europeans as being superior to “hideous” others. By the time Lovecraft had finished writing this in 1927, the association of the word with fascism was very well established.']])]",0.8966,0.8966,0.4019,Angry
