,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,lyrics,annotations,nlp_lyrics,nlp_annotations,valence+nlp,mood
0,San Luis,['Gregory Alan Isakov'],0.86,0.567,272347,0.434,0.257,7,0.115,-12.755,0,0.0349,82.459,4,0.254,"[Verse 1]
Weightlessness, no gravity
Were we somewhere in-between?
I’m a ghost of you, you’re a ghost of me
A bird’s-eye view of San Luis

[Verse 2]
Oh, highway boys all sleeping in
With their dirty mouths and broken strings
Oh, their eyes are shining like the sea
For you, the queen of San Luis
I’m a ghost of you, you’re a ghost of me
A bird’s-eye view of San Luis

[Bridge]
Cutting through the avenues
I'd always find my way to you
Beside the hook, the hammer lies
Fumbling round in the smoke
Spending time chasing ghosts
Hold me down, hold me down, child
Hold me down, hold me down, child

[Verse 3]
California called you queen
With your golden hair and magazine
Were you somewhere in-between?
Fast asleep, a flying dream
[Outro]
I'm a ghost of you, you’re a ghost of me
A bird’s-eye view of San Luis
I'm a ghost of you, you’re a ghost of me
A bird’s-eye view of San Luis
I'm a ghost of you, you’re a ghost of me
A bird’s-eye view of San Luis
I'm a ghost of you, you’re a ghost of me
A bird’s-eye view of San Luis","[('A bird’s-eye view of San Luis', [['San Luis is a small town in the south of Isakov’s current home state of Colorado.\n\nIt lies at the western foot of the Sangre de Cristo Mountains, the mountain range mentioned in one of Evening Machines‘ singles, “Dark, Dark, Dark”.\n\nIt is cited as the “oldest continuously populated town in Colorado”. Its current population is approximately 630 people.']])]",-0.9834,-0.9834,0.2343,Aroused
1,Volcano,['Damien Rice'],0.578,0.514,278600,0.289,1.84e-06,0,0.13,-12.928,1,0.0524,153.742,4,0.437,"[Verse 1: Damien Rice]
Don't hold yourself like that
You'll hurt your knees
Well I kissed your mouth and back
But that's all I need
Don't build your world around
Volcanoes melt you down

[Chorus: Damien Rice & Lisa Hannigan]
What I am to you is not real
What I am to you, you do not need
What I am to you is not what you mean to me
You give me miles and miles of mountains
And I'll ask for the sea

[Verse 2: Lisa Hannigan]
Don't throw yourself like that
In front of me
I kissed your mouth, your back
Is that all you need?
Don't drag my love around
Volcanoes melt me down

[Chorus: Damien Rice & Lisa Hannigan]
What I am to you is not real
What I am to you, you do not need
What I am to you is not what you mean to me
You give me miles and miles of mountains
And I'll ask . . 
[Bridge: Damien Rice]
What I give to you
Is just what I'm going through
This is nothing new, no no
Just another phase of finding
What I really need
Is what makes me bleed
But like a new disease
Lord, she's still too young to treat

What I am to you (oh she's still too young)
(Volcanoes melt you down)
Is not real, (she's still too young)
What I am to you, (oh she's still too young)
(Volcanoes melt you down)
You do not need (she's still too young)
What I am to you (oh she's still too young)
(Volcanoes melt you down)
Is not real, (she's still too young)
What I am to you, (oh she's still too young)
(Volcanoes melt you down)
You do not need (she's still too young)
What I am to you (oh she's still too young)
(Volcanoes melt you down)
Is not real, (she's still too young)
What I am to you, (oh she's still too young)
(Volcanoes melt you down)
You do not need (she's still too young)
What I am to you (oh she's still too young)
(Volcanoes melt you down)
Is not real, (she's still too young)
What I am to you, (oh she's still too young)
(Volcanoes melt you down)
You do not need (she's still too young)
What I am to you (oh she's still too young)
(I kissed your mouth)
(Volcanoes melt you down)
Is not real, (she's still too young)
What I am to you, (oh she's still too young)
(I kissed your mouth)
(Volcanoes melt you down)
You do not need (she's still too young)
And what I am to you (oh she's still too young)
(I kissed your mouth)
(Volcanoes melt you down)
Is not real, (she's still too young)
What I am to you, (oh she's still too young)
(I kissed your mouth)
(Volcanoes melt you down)
You do not need (she's still too young)

You do not need me","[('Don’t build your world around\n Volcanoes melt you down', [['Rice seems to use a volcano as a metaphor for himself, and perhaps others like him. Volcanoes are spontaneous, unpredictable, and dangerous.\n\nPompeii was a city built around a volcano; The metaphor is suggesting that if plan poorly, you can end up with destruction, in interpersonal relationships or in any form.']]), ('Don’t throw yourself like that\n In front of me\n I kissed your mouth, your back\n Is that all you need?\n Don’t drag my love around\n Volcanoes melt me down', [['A change of perspective is taken here, and the relationship is addressed by the other person. This individual is starting to realize that they’re being used and their partner does not share the same level of emotional interest. “Volcano” here is a metaphor for the other person in the relationship, beautiful, but destructive.']]), ('Well I kissed your mouth and back\n But that’s all I need', [['This tells you about the motives of the singer, who is not necessarily in this relationship for the right reasons, but instead for satisfying physical needs. This person does not truly love their partner, and uses them for sex, ie ‘that’s all I need’']]), ('Don’t hold yourself like that\n You’ll hurt your knees', [['This may refer to:\n\n\nthe common way people sit with their knees to their chests when they are angry\na pose of prayer on the knees\nthe pose of someone performing oral sex']]), ('What I am to you is not real\n What I am to you, you do not need\n What I am to you is not what you mean to me\n You give me miles and miles of mountains\n And I’ll ask for the sea', [['The character is saying that although they are together, they are mismatched. They have disparate levels of interest in one another. They like the concept of a person they have projected onto each other more than the actual person. They both need to gather more life experiences such as this one to know themselves better.\n\nYou give me miles and miles of mountains\nAnd I’ll ask for the sea.\n\nMountains are not “better” than the sea or “more difficult to cross” (think of all the people got lost because of the sea or its forces), they are just different.\n\nIn this case, two people met, got involved a little bit and figured out, that in this moment they just need different things. It’s nobody’s fault, it’s just life.']])]",0.8672,0.8672,0.4543,Aroused
2,TRUE,['SYML'],0.207,0.538,186023,0.433,0.0646,0,0.177,-10.766,0,0.0554,77.964,4,0.115,"[Verse 1]
I can’t believe it’s over
I was there they said “forever”
It’s getting harder to pretend
It’s good to know that it’s on-trend
Take the weight up off their shoulders
It’s better now before they grow up
These are some of my best friends
Things like this never happen
I’m smiling again
Like we did when we were younger
Wash me clеan with holy water
Take me down on thе weekend
Savor the flavor of wet skin
Now you and me, we can’t be closer
We are different than the others
I’m begging for your attention
Things like this never happen

[Chorus]
Lay me down again
Oh lover, don't let it in
Tell me it’s true (true)
Tell me it's true (true)
Tell me it's—
Tell me
Tell me
Tell me it's true
[Verse 2]
I can’t believe he told her
Did she know before he told her?
It’s feeling more like a loose end
It’s better now they can be friends
I’m smiling again
And as for me I fuck things over
Talk me down, keep your composure

[Chorus]
Lay me down again
Oh lover, don’t let it in
Tell me it’s true
Tell me it's true
Tell me it's—

[Bridge]
What you want, it’s what you need
Your happiness depends on me
If you want me if you need me
Tell me that you’ll never leave
Insecure my tendency
I do believe that we can make it through (tell me)
Tell me that’s true (tell me)
Now that I think about it
[Outro]
I can't believe it's over
These are some of my best friends",,0.995,0.995,0.1349,Aroused
3,Woman,['Mumford & Sons'],0.662,0.592,274553,0.555,0.452,1,0.111,-10.499,0,0.0381,156.957,4,0.142,"[Verse 1]
Woman
Caught behind those burning eyes
Tangled up in morning white
Do you ever really know?
Can you ever really know?

[Verse 2]
Woman
Watch her take me by surprise
When she lets me call her mine
Do you ever really know?
Can you ever really know?

[Pre-Chorus]
And I don't know the loneliness you've known
I don't hear the frosty words echo inside
When you're gone again

[Chorus]
I can't read your mind though I'm trying all the time, oh-oh-ohh
There's something I don't know, I can see it in your eyes
As the night ascends, all will slow again, oh-oh-ohh
I am left in awe of the woman I adore

[Verse 3]
Woman
I never had such a sight
Burn itself onto my mind
Do you ever really know?
Can you ever really know?
[Pre-Chorus 2]
But say the sun doesn't shine for you
I hope you learn that that's not true, in time
When you're gone again
Just as long again

[Chorus]
I can't read your mind though I'm trying all the time
There's something I don't know, I can see it in your eyes
As the night ascends, all will slow again
But I am left in awe of the woman I adore
I can't read your mind though I'm trying all the time
There's something I don't know, I can see it in your eyes
But as the night ascends, all will slow again
And I am left in awe of the woman I adore",,0.9498,0.9498,0.161,Aroused
4,Break My Baby,['KALEO'],0.106,0.529,265558,0.755,0.000607,10,0.157,-3.917,0,0.0383,73.998,4,0.383,"[Verse 1]
Sun is down on east side
While we all turn a blind eye
You know I’ve got your back
But would you ever do that for me?
For me? For me? For me?

Well, Billy boy, he’s gifted
You know you can’t deny it
Don’t leave us empty handed
'Cause you know we don’t deserve that from you
From you, from you, from you

[Chorus]
I want to break my baby
You know she loves to fake it
I want to break my baby, yeah
Hold her down
Bring her down now
Oh, now

[Verse 2]
They’ll take you in and spit you out
You’re only worth how much you sell
You’ve come too far, we both agree
Just give the people what they need
[Bridge]
Will you turn away
Or will you take my place?
Does it start to show
Now the pressure is on?
Will they call my name
When it all goes up in flames?
Oh, will you be by my side?

[Chorus]
I want to break my baby
You know she loves to fake it
I want to break my baby, yeah
Oh, hold her down
Oh, break it down now

Oh, break down
Woah, hold my love
Woah, hold my love
Woah, hold my love
Woah

[Outro]
Break my baby (Break my baby)
Break my baby (Break my baby)
Break my baby
You know she loves to fake it
Break my baby","[('Just give the people what they need', [['This line shows how the music industry thinks artists “owe” something to the people. Just because they are famous they need to give their life to the fans and not think about anything else.']]), ('Will you turn away\n Or will you take my place?\n Does it start to show\n Now the pressure is on?\n Will they call my name\n When it all goes up in flames?\n Oh, will you be by my side?', [['These are all questions out of the uncertainty that comes with being an artist in the music industry. Who can you trust when the pressure is on and who will let you down when you’re not on the charts anymore ?']]), ('They’ll take you in and spit you out\n You’re only worth how much you sell', [['In a world where cash is king you’re only worth how much money you make by most people. This shows the dark side of the music industry in which many people are only here to make the most money out of artists without even thinking about the artists themselves.']]), ('Well, Billy boy, he’s gifted\n You know you can’t deny it\n Don’t leave us empty handed\n ’Cause you know we don’t deserve that from you', [['JJ is probably quoting people from record labels that he has encountered sinc the beggining of the band. These people think that an artist owes you anything if they want to work with you.']]), ('Sun is down on east side\n While we all turn a blind eye', [['Turning a blind eye is a phrase used when you pretend you do not notice something. In the first sentence, it’s said that the sun has set, which means it’s dark. In other words, you can’t see and turn a blind eye.']])]",0.9646,0.9646,0.4023,Aroused
5,NFWMB,['Hozier'],0.895,0.379,259253,0.373,0.0718,3,0.115,-12.176,0,0.0309,176.002,1,0.352,"[Verse 1]
When I first saw you
The end was soon
To Bethlehem it slouched
And then, it must've caught a good look at you
Give your heart and soul to charity
'Cause the rest of you
The best of you
Honey, belongs to me

[Pre-Chorus]
Ain't it a gentle sound, the rolling in the graves?
Ain't it like thunder under earth, the sound it makes?
Ain't it exciting you, the rumble where you lay?
Ain't you my baby, ain't you my baby?

[Chorus]
Nothing fucks with my baby
Nothing can get a look in on my baby
Nothing fucks with my baby
Nothing, nothing, nothing, nothing

[Verse 2]
If I was born as a blackthorn tree
I'd wanna be felled by you
Held by you
Fuel the pyre of your enemies
[Pre-Chorus]
Ain't it warming you, the world gone up in flames?
Ain't it the life you, your lighting of the blaze?
Ain't it a waste they'd watch the throwing of the shade?
Ain't you my baby, ain't you my babe?

[Chorus]
Nothing fucks with my baby
Nothing can get a look in on my baby
Nothing fucks with my baby
Nothing, nothing, nothing, nothing","[('Ain’t it a waste they’d watch the throwing of the shade?', [['Another wordplay moment: the pre-chorus to this point has painted the image of a raging fire, which would be a light source that “throws shade.” But while watching the shadows, “they” have their backs to the real action.  Similarly, it is a criticism of “throwing shade” in its slang meaning: subtly disrespecting someone.']]), ('’Cause the rest of you\n The best of you\n Honey, belongs to me', [['Now that the singer’s lover has given away her heart and soul to “charity,” all that is left of her is her body, which Hozier describes as belonging to the singer. Belonging, meaning while her heart and soul are the nurturers of the loving aspect of their relationship, her body nurtures the physical aspect. He also adds that “the rest” of her (her body), is “the best” of her, relaying that she is, by herself, not a great person of character or morals and doesn’t have a good heart.\n\nEdit: A comment suggests that the singer never specifies the gender of the lover he is singing about, while true, Hozier has referred to this character as a female in interviews. One of his goals for this song was to subvert the “she’s the one who needs saving” stereotype of female characters in love songs, thus creating this frightening, strong, and seemingly un-movable character.\nThis comment also says, “Bold of [you] to assume… that all a female person has is a heart, soul, and body.” Well if songs were required to list everything a female “has”, then it would kind of ruin music. The heart represents intentions and nature, and every person has a soul and body, and the brain is a part of the body.']]), ('When I first saw you\n The end was soon', [['This is the setting for the beginning of the romance that ensues over the rest of the song. Hozier describes that when the singer first notices his love interest, the end of the world had already begun, or was about to begin.']]), ('It must’ve caught a good look at you', [['Hozier has mentioned that the song is partly about “imagining the object of your affections as a really terrifying individual who has a real darkness to themselves, who would be completely unphased by the worst possible scenario”.\nThis line shows just how powerful and terrifying this person must be, if they are this unphased by the end of the world\nhttps://www.youtube.com/watch?v=CDbma9rhCjc\n\nPROPOSED SUGGESTION: This line is sort of ambiguous. It’s unclear what about her stopped the end . It could be that it was so intimidated, but equally I think it’s possible that it was simply in awe and captivated by her. As if she alone could redeem the world it was on its way to burn.']]), ('Ain’t it warming you, the world gone up in flames?\n Ain’t it the life you, your lighting of the blaze?', [['This relates to the welcomed warmth of chaos and darkness that the person who caused it feels. Like an addiction, the power of the fire is also what makes them feel alive and want to cause more disaster. That way, the lover associates the image of his loved one with the image of fire. For him, both are unraveling and extremely powerful.']]), ('Ain’t it a gentle sound, the rolling in the graves?\n Ain’t it like thunder under earth, the sound it makes?', [['The “rolling in the graves” seems to echo the Jewish vision of the arrival of the Messiah. When the Messiah arrives, the dead of the earth will roll underground to Israel, awaken to greet the Messiah, and then go back to being dead. There is some discussion about the details of this- for in-depth questions, ask a rabbi.']]), ('Ain’t it exciting you, the rumble where you lay?\n Ain’t you my baby, ain’t you my baby?', [['The setup not only builds suspense but also shows how the speaker’s lover enjoys the darkness of thousands of dead people underground. In the words of Hozier, “the noise of all the dead people… but enjoying that and actually lying on the ground and actually being quite excited about the vibration of it”']]), ('Give your heart and soul to charity', [['Charity here, in the context of the Biblical and Christian themes, should be seen as the apostles and early Christians described it: the purest expression of love.\n\nSaint Paul’s writings in Corinthians famously show early Christian reverence to charity:\n“Charity never fails. If there are prophecies, they will be brought to nothing; if tongues, they will cease; if knowledge, it will be brought to nothing. For we know partially and we prophesy partially, but when the perfect comes, the partial will pass away. When I was a child, I used to talk as a child, think as a child, reason as a child; when I became a man, I put aside childish things. At present we see indistinctly, as in a mirror, but then face to face. At present I know partially; then I shall know fully, as I am fully known. So faith, hope charity remain, these three; but the greatest of these is charity.”  ~  1 Corinthians 13']]), ('Nothing fucks with my baby\n Nothing can get a look in on my baby\n Nothing fucks with my baby\n Nothing, nothing, nothing, nothing', [['Hozier inverts the stereotype of the man protecting his love. In the face of the Second Coming, his love just enjoys the chaos.\n\n“But also I kind of just wanted to subvert idea of being in love with somebody and feeling like you have to protect somebody…as a dude, ‘Nothing can harm you. Et cetera. I’ll protect you!’ In this it’s not. It’s ‘You can’t be harmed.’ It’s nothing to do with me, this person is just genuinely terrifying. And you love them for it.”\n-Hozier']]), ('Fuel the pyre of your enemies', [['Hozier follows up with the previous line by stating that he will go to great lengths for the one he loves — even if it is “fuel[ing] the pyre” of remains.\n\nA pyre is a large pile of wood used for burning a corpse during a funeral in some parts of the world. Hozier grew up in Ireland whereby close to 21% of deaths involve cremation and pyre.\n\nThroughout his career, Hozier has mentioned fires in multiple occasions, most notably on “Arsonist’s Lullaby” where he describes his infatuation with fires:\n\nWhen I was a child, I’d sit for hours\nStaring into open flame\nSomething in it had a power\nCould barely tear my eyes away\n\nThe singer-songwriter has also described being set on fire during the filming of the music video for “Dinner & Diatribes” as “so much fun” in a tweet promoting the song.']])]",0.8865,0.8865,0.3697,Aroused
6,letting go,['Ziggy Alberts'],0.83,0.72,268107,0.31,4.95e-05,7,0.106,-11.048,1,0.0352,118.411,4,0.354,"We cut through glaciers to coastlines
By the afternoon
And rivers cut through the gorge and
The waters clean and the waters smooth
See I've been trying to move along, move along
Consumed in keeping strong for far too long
When all I had to do was rest my head
And rest my heart
You don't have to feel like this, no


I'm letting go
See I've been trying
To hold on, hold onto this fear all alone
I'm letting go
See I've been trying
To hold on, hold onto this fear all alone
And it doesn't feel right anymore


And I came back to rest
And work along this canvas line
We can sleep to work at better rest at night
With less upon my mind
See I'vе been trying to move along, move along
Consumed in keeping strong for far too long
Whеn all I had to do was rest my head
And rest my heart
And you don't have to feel like this, no

I'm letting go
See I've been trying
To hold on, hold onto this fear all alone
And I'm letting go
See I've been trying
To hold on, hold onto this fear all alone
And it doesn't feel right anymore
Anymore, anymore, anymore
Anymore, anymore, anymore


I don’t want to do this
On my own, on my own, love
You don’t want to do this
On your own, on your own, love
We don’t want to do this
On our own, on our own, love
We don’t have to do this
On our own, on our own


I'm letting go
See I've been trying
To hold on, hold onto this fear all alone
And I'm letting go
See I've been trying
To hold on, hold onto this fear all alone
And it doesn't feel right anymore

Hmmm, no
Hmmm, hmmm",,-0.8885,-0.8885,0.3362,Aroused
7,Craving,['Haux'],0.898,0.482,163733,0.216,0.153,9,0.109,-18.653,0,0.0348,99.458,3,0.11,"[Verse 1]
Cold sweat, running down your spine
Feelings hid and secrets kept
Locked away inside your chest

[Chorus]
I'm craving for your love
Well I'm craving
I'm craving for your touch
Well I'm craving, I'm craving

[Verse 2]
Warm breath, rising up my spine
Time stood still when it finally hit
What we had, this is it

[Chorus]
I'm craving for your love
Well I'm craving
I'm craving for your touch
Well I'm craving
I'm craving for you love
Well I'm craving
I'm craving for your touch
Well I'm craving
I'm craving for you love
Well I'm craving
I'm craving for your touch
Well I'm craving, I'm craving",,0.985,0.985,0.1297,Aroused
8,Lover,['Noah Gundersen'],0.351,0.298,248613,0.424,0.00181,0,0.127,-7.954,1,0.0526,195.187,3,0.146,"[Verse 1]
I don't need no lover
I need a mother to come to my room
I don’t need no father
I need an ocean to carry my mood
And I need your love
I don't need one else around
I need you, love
I need to get the hell out of this town

[Chorus]
I don't need no lover
But I sure like keeping you around
I don’t need no lover
I'll try not to let you down

[Verse 2]
I don't doubt it
I got a feeling
I'll keep seeing you around

[Chorus]
I don't need no lover
But I sure like keeping you around
I don't need no lover
I'll try not to let you down, oh
[Outro]
I don't need no lover
But I sure like keeping you around
Honey, I don’t need no lover
I’ll try not to let you down
(Let you down, to let you down)
I don't need no lover
I sure like keeping you around (Keeping you around)
I don’t need no lover (Ooh, oh)
I'll try not to let you down",,0.8335,0.8335,0.1627,Aroused
9,Green Eyes,['JOSEPH'],0.222,0.289,230347,0.58,0.0034,6,0.094,-5.507,1,0.0464,72.003,4,0.282,"Could've been the way
The moonlight hit the dashboard
Passenger window rolled down
That got me thinking
There's something we should talk about
It's not worth waiting out

I can give you space if you need it
You can walk away, I'm not leaving
There's pride in my mouth, I got used to the taste
But I'll swallow it now and I'll be first to say

Those green eyes are my green light
I'm giving up on control
You see red lights
I see me blowing straight through to you
If we're headed for the cliffside
I'm ready for the fall, if you know me at all
You know I don't need lights to decide
I'm not changing my mind

We could both play the pretender
Circling round this parking lot
While one of us still remembers
We're lucky to have what we've got
We're taking the room for breathing
You can walk away, I'm not leaving
There's pride in your mouth, you got used to the taste
Can you swallow it now when you hear me say

Those green eyes are my green light
I'm giving up on control
You see red lights
I see me blowing straight through to you
If we're headed for the cliffside
I'm ready for the fall, if you know me at all
You know I don't need lights to decide
I'm not changing my mind

Thought I could read you
But I lost my place
Now we're on different pages, I need you
Thought I could read you
But I lost my place
Now we're on different pages, I need you
Thought I could read you
But I lost my place
Now we're on different pages, I need you
Thought I could read you
But I lost my place
Now we're on different pages
Those green eyes are my green light
I'm giving up on control
You see red lights
I see me blowing straight through to you
If we're headed for the cliffside
I'm ready for the fall, if you know me at all
You know I don't need lights to decide
I'm not changing my mind",,0.8645,0.8645,0.2993,Aroused
