,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,lyrics,annotations,nlp_lyrics,nlp_annotations,valence+nlp,mood
0,Get You (feat. Kali Uchis),"['Daniel Caesar', 'Kali Uchis']",0.426,0.659,277297,0.295,6.95e-05,11,0.0795,-8.528,0,0.0322,74.037,4,0.36,"Diana Mix:
Sam Wise - 10 mins
VINCH - Money Mitch
Noah Carter - Call Me Over
Hot - (Daniel OG, Lancey Foux, Danny Seth, Pearl De Luna)
Sam Wise - Rack Up
Lancey Foux - Starstruck
Bigbabygucci - Crime
Kevin Taylor - Shine
Wave & Boost - Froze
Octavian - Party Here
Yaeji - Drink I’m Sippin On

Niyat Mix:
Can’t wait- esta ft Xavier Omär
In the morning- J. Cole ft Drake
Bouff daddy (Dre skull remix)- J Hus ft Popcaan
Talk 2 U - Brent Faiyaz
Go with it- The Internet ft Vic Mensa
Ben’ ova- WSTRN
Africain- Sexion D’Assaut
Unfinished business- Lotto Boyzz
Dedikerad Teknodub edit
Same girl- Steve Lacy
Every kind of way (Jared Jackson remix)- H.E.R
Heebiejeebies- Aminé ft Kehlani
Get away- The Internet
Chris Mix:
Get you (feat. kali uchis) - Daniel Caesar
Ain't nobody takin my baby - Russ
Holla if ya hear me - Kweku Collins
Worlds to run - busdriver
Phlake - Pregnant
D’Angelo - Lady
Shakka feat. Wretch 32 - Heart don’t lie
Jalen Santoy - Foreplay
Och Nah Nah - Sir ft. Masego
2000 n Somethin - KAIIT
Photosynthesis (feat. jean deaux) - Saba
Ghost - Kweku Collins
Janet - Berhana",,0.6124,0.6124,0.3722,Aroused
1,Electric (feat. Khalid),"['Alina Baraz', 'Khalid']",0.593,0.637,245294,0.359,5.39e-05,10,0.108,-9.841,0,0.0325,111.049,4,0.142,"​mansionz - Dennis Rodman feat. Dennis Rodman
Clean Bandit - Symphony feat. Zara Larsson
G-Eazy & Kehlani - Good Life
Machine Gun Kelly - At My Best feat. Hailee Steinfeld
Weezer - Feels Like Summer
Tinashe - Flame
Mike WiLL Made-It - On the Come Up feat. Big Sean
Linkin Park - Battle Symphony
Blink-182 - Parking Lot
Maren Morris - Bummin' Cigarettes
Lady Gaga - Million Reasons (Andrelli Remix)
Cold War Kids - So Tied Up feat. Bishop Briggs
Frank Ocean - Chanel
Smino - Netflix & Dusse
Milky Chance - Bad Things feat. Izzy Bizu
Spoon - Tear It Down
Pitbull - Better On Me feat. Ty Dolla $ign
Rick Ross - Summer Seventeen feat. Yo Gotti
Tee Grizzley - From the D to the A feat. Lil Yachty
Trey Songz - Animal
1 AMVRKA - American Muscle
Zara Larsson - TG4M
Betty Who - Mama Say
Lauv & Eden Prince - The Other (Eden Prince Remix)
Real Estate - Stained Glass
Amy Shark - Weekends
Mura Masa - 1 Night feat. Charli XCX
BadBadNotGood - Lavender feat. KAYTRANADA & Snoop Dogg (Nightfall Remix)
Bryce Fox - Coldhearted
R3hab - Trouble feat. VÉRITÉ (It's Different Remix)
SAARA - Superpowers
Frances - When It Comes to Us feat. RITUAL
Jarryd James - How Do We Make It
Steve Moakler - Gold
ZHU - Nightcrawler
Clean Bandit - Rockabye feat. Sean Paul & Anne-Marie (Ryan Riback Remix)
Katy Perry - Chained to the Rhythm feat. Skip Marley (Hot Chip Remix)
Don Diablo & Marnik - Children of a Miracle
POWERS - Man On The Moon
SoMo - Champion
Phoebe Ryan - Dark Side (NOTD Remix)
Feist - Pleasure
Incubus - Glitterbomb
Sandro Cavazza - Don't Hold Me
Alina Baraz - Electric feat. Khalid (Marian Hill Remix)
Bridgit Mendler & Pell - Can't Bring This Down
Brad Paisley - Heaven South
Conor Oberst - Next of Kin
Angel Olsen - Who's Sorry Now
GoldLink - Pray Everyday (Survivor's Guilt)
Shallows - Drive Away
Dermot Kennedy - All My Friends
Jagwar Ma - Slipping (Soulwax Remix)
Elley Duhé - immortal
Depeche Mode - So Much Love",,0.9857,0.9857,0.1617,Aroused
2,Could've Been (feat. Bryson Tiller),"['H.E.R.', 'Bryson Tiller']",0.64,0.545,248467,0.33,7e-06,1,0.22,-11.719,0,0.164,103.553,4,0.399,"1. Bryson Tiller- Outta Time (feat. Drake)
2. Bryson Tiller- Exchange
3. Bryson Tiller- Don't
4. Bryson Tiller- Always Forever
5. Summer Walker & Bryson Tiller- Playing Games (Extended Version)
6. Bryson Tiller- Blame
7. Bryson Tiller- Rambo (Last Blood) [feat. The Weeknd]
8. Bryson Tiller- Years Go By
9. Bryson Tiller- Canceled
10. Bryson Tiller- Run Me Dry
11. DJ Khaled- Wild Thoughts (feat. Rihanna & Bryson Tiller)
12. Bryson Tiller- Just Another Interlude
13. Bryson Tiller- Inhale
14. H.E.R.- Could've Been (feat. Bryson Tiller)
15. Wale- Love... (Her Fault) [feat. Bryson Tiller]
16. Bryson Tiller- Sorry Not Sorry
17. Bryson Tiller- Self Righteous
18. Bryson Tiller- Self-Made
19. Playboi Carti- Fell In Luv (feat. Bryson Tiller)
20. Bryson Tiller- Sorrows
21. Bryson Tiller- Right My Wrongs
22. Ryan Trey- Nowhere to Run (feat. Bryson Tiller)
23. Jazmine Sullivan & Bryson Tiller- Insecure (from the HBO Original Series ''Insecure'')
24. Bryson Tiller- Somethin Tells Me
25. Bryson Tiller- Let Em' Know",,-0.6486,-0.6486,0.386,Aroused
3,Sativa,"['Jhené Aiko', 'Swae Lee']",0.334,0.741,276960,0.62,0.0,6,0.302,-7.439,0,0.0472,126.028,4,0.7,"[Intro: Jhené Aiko & Swae Lee]
Yeah, oh, oh
Yeah

[Chorus: Swae Lee]
Why you make it so complicated?
Off the drink, we concentratin'
I know you won't leave me hangin'
Smokin' weed out the container
We spend cash for entertainment
There's more where that came from, that's all I'm sayin'
It's me and you and we makin' arrangements
It's you and me and we makin' arrangements

[Verse 1: Jhené Aiko]
Is it hot in here or is it just me?
I'm so high in here, been smokin' on this weed
Told 'em, ""Go on, take a shot on three""
Told 'em, ""Drinks is on me""
Yeah, the drinks are on me
I said now go and take a shot on me
Only drug a bitch is on is the tree
But I lasted ten rounds like a freak
Like a G

[Pre-Chorus: Jhené Aiko]
Get ready (oh, yes, I'm ready)
Now we're on (And if we're on)
I said I'm ready (I said I'm ready)
Hold the phone (please hold the phone)
Get ready (oh, please get ready)
I am on one (oh, I am on one)
Where you be at? (where you gon' be at?)
Later on (later on)
[Chorus: Swae Lee & Jhené Aiko]
Why you make it so complicated?
Off the drink, we concentratin'
I know you won't leave me hangin'
Smokin' weed out the container
We spend cash for our entertainment
There's more where that came from, that's all I'm sayin'
It's me and you and we makin' arrangements
It's you and me and we makin' arrangements

[Verse 2: Jhené Aiko]
I'll keep it simple, baby
I'ma keep it simple with you, baby
You know I don't ever play no games
You know I don't ever complicate it
Got me feelin' some type of way
Concentratin', concentratin' on the way
You keep the rhythm
Oh my God, I'm glad you came
You came through with that sativa
Indica be havin' me stuck
You know just how to keep me up
You know it, better believe it

[Pre-Chorus: Jhené Aiko]
Get ready (oh, yeah, I'm ready)
Now we're on (oh, we're on)
I said I'm ready (oh yeah, I'm ready)
Hold the phone (hold the phone)
Get ready (get ready)
I am on one (I am on one)
Where you be at? (where you gon' be at?)
Later on (later on, later on, oh)
[Chorus: Swae Lee & Jhené Aiko]
Why you make it so complicated?
Off the drink, we concentratin'
I know you won't leave me hangin'
Smokin' weed out the container
We spend cash for our entertainment
There's more where that came from, that's all I'm sayin'
It's me and you and we makin' arrangements
It's you and me and we makin' arrangements
Why you make it so complicated? (why you make it so complicated?)
Off the drink, we concentratin' (off the drink and we concentratin')
I know you won't leave me hangin' (I know, I know)
Smokin' weed out the container (we smoke, we smoke)
We spend cash for our entertainment (yeah, yeah, yeah)
There's more where that came from, that's all I'm sayin' (that's all I'm saying)
It's me and you and we makin' arrangements (me and you, me and you, me and you)
It's you and me and we makin' arrangements (you and me, you and me, you and me)

[Outro: Swae Lee]
Dive in that, I'ma really dive in that
Dive in that, mmm, I'ma dive in that
Dive in that, mmm, let me dive in that
Dive in that, mmm, I'm gon' dive in that
Dive in that","[('It’s me and you and we makin’ arrangements\n It’s you and me and we makin’ arrangements', [['they’re planning to see each other']]), ('Smokin’ weed out the container', [['A reference to the title of the song, sativa; a type of weed that energizes rather than indica, which slows things down']]), ('Told ’em, “Drinks is on me”\n Yeah, the drinks are on me', [[""Jhené has the bill covered whenever she goes out with her friends. Interestingly enough, Swae Lee features on the song “Drinks On Us” by Mike WiLL Made-It where he raps on the hook:\n\nIf y'all wanna go the bar, drinks on us""]]), ('Only drug a bitch is on is the tree', [['Sativa is a type of weed, in which weed is also nicknamed, “tree”. She is saying that though she may drink, she’s only addicted to marijuana. Jhené has made multiple tracks off the names of weed, https://genius.com/Jhene-aiko-blue-dream-lyrics to name one of them.']]), ('You came through with that sativa\n Indica be havin’ me stuck', [['Sativa and Indica are the two strains of Marijuana, with Hybrids resulting from crossing strains when growing. There are many differences, the most notable being the effects; Sativa is energizing – used to focus, for creativity, and more. Indica is used for pain relief, sleep aid, and can bring “couch-lock” or the calm feeling where one doesn’t want to move making the user feel “stuck.”']])]",0.9918,0.9918,0.7198,Aroused
4,LOYAL (feat. Drake),"['PARTYNEXTDOOR', 'Drake']",0.517,0.866,197973,0.53,0.00159,0,0.0946,-6.347,0,0.0495,104.952,4,0.203,"Lewis Capaldi - Before You Go
Stormzy - Own It (feat. Ed Sheeran & Burna Boy)
Harry Styles - Watermelon Sugar
PARTYNEXTDOOR - Loyal (feat. Drake)
Trippie Redd - Who Needs Love
Coldplay - Champion Of The World
Maggie Rogers - Love You For A Long Time
Summer Walker - Something Real (with London On Da Track & Chris Brown)
Mark Ronson - Then There Were Two
Bad Bunny - Vete
Kesha - My Own Dance
beabadoobee - Don't You (Forget About Me) [Live from Abbey Road Studios, London]
HAIM - Hallelujah
Gracie Abrams - Stay
XXXTENTACION - bad vibes forever
Alicia Keys - Time Machine
DaVido - D & G (feat. Summer Walker)
David Guetta - Make It To Heaven (with Raye)
Labrinth - Oblivion (feat. Sia)
U2 - Ahimsa
Beck - Chemical
Ozzy Osbourne - Straight to Hell
Lolo Zouaï - Money Diamonds Roses
24kGoldn - DROPPED OUTTA COLLEGE
Tinashe - Save Room for Us
Grace VanderWaal - Poser
X Lovers - Cut My Lip
Dennis Lloyd - Unfaithful
Taylor Janzen - What I Do...
Zero 9:36 - Come Thru
Jason Aldean - Tattoos and Tequila
A Great Big World - Fall On Me
Nina Nesbitt - Still Waiting to Start
Spencer Barnett - I'm Fine
Johan Lenox - no one wants to dance anymore (feat. Yung Pinch)
Deaton Chris Anthony - Late Night Lovin' (feat. Omar Apollo, Jean Dawson & Korbin In Orbit)
Smokepurpp - Dirty Dirty (feat. Lil Skies)
Ciara - Melanin (feat. Lupita Nyong'o, Ester Dean, City Girls, & LA LA)
Juanes - Tequila
Alok - On & On
Ekali - Hard To Say Goodbye (feat. Chloe Angelides)
Lola Young - Blind Love
Adam Melchor - I CHOOSE YOU
Elah Hale - Posters
ALMA - Bad News Baby
03 Greedo - Disco Shit
Flipp Dinero - Westside
CHIKA - Can't Explain It (feat. Charlie Wilson)
Big Freedia - Louder (feat. Icona Pop)
AJ Mitchell - Unstoppable
Carlie Hanson - Side Effects
Stephen Puth - Crying My Eyes Out
Prince Fox - Same Love
Scarypoolparty - Millennial Love
Nasty Cherry - Fuck Modern Love
Des Rocs - Give Me the Night
MfnMelo - What a Life
Blac Youngsta - Like A Pro (feat. DaBaby)
Only The Family - Blika Blika
SKYXXX - Chicken Dinner
Mr Eazi - Tony Montana
Felix Jaehn - Close Your Eyes
Hannah Diamond - The Ending
Phangs - I Forgot You
Jessie J - One More Try
MIA GLADSTONE - GEEKIN
Terrace Martin - Intimidated
Jay Critch - Cameras
Casey Veggies - Big Racks (feat. Iamsu)
Farina - Así Así
ASTN - Ain't Dumb
Leyla Blue - I Don't Wanna Know
Emily Burns - Hate Me Too
Little Big Town - Sugar Coat
Filmore - London
The Who - I Don't Wanna Get Wise
Palaye Royale - Massacre, The New American Dream
DENM - Alright
L8LOOMER - shinelikewhoa
Fredo Bang - Mongoose (Fuck You)
Giveon - LIKE I WANT YOU
Ginger Root - B4
Christian Alexander - So High
Litany - Single Player Mode
Navvy - Scared to Be Happy
Delaney Jane - Circling The Cage
Alt Bloom - Stay
MKTO - Consider Me Yours
Tech N9ne - Angel Baby
Lil Poppa - On My Own
Mozzy - Everybody On Go
Taliwhoah - Sweet Sweet
SAYGRACE - Doin' Too Much
The Japanese House - Chewing Cotton Wool
Pouya - life? ... lol
Black Caviar - Kubrick Faked The Moon Landing",,0.9796,0.9796,0.2226,Aroused
5,A Muse,['dvsn'],0.646,0.774,222090,0.391,0.00165,5,0.0751,-6.753,1,0.165,134.057,4,0.42,"[Verse 1]
When I'm in a bad mood
It's good to know I have you
You got niggas from your past that still ain't past you
But you're on my time
But you're on my time now, and are past due
Now that we finally got them out the way
All bad decisions that I wanna make
I want your body in a million ways
Nobody ever makes me feel the same

[Chorus]
'Cause when I'm with, you
Arch it up, nice and slow
From the back, ooh
I'm about to lose control
'Cause you're my muse
Don't hold back, let it go
What did I do?
Only you will let me know

[Verse 2]
On me like a tattoo
I don't wanna take it out, but I have to
But only for a second, then I'm back in
You know when I come and how I'm packin'
Look over your shoulders, put your back in
You're leavin' in the mornin', you're supposed to be packin'
Yeah, we gon' have to push that flight back
Said you gotta go, you brought it right back
Those calls, those texts, you don't write back
Forgot about your phone, my sex is like that, like that
[Chorus]
When I'm with you
Arch it up, nice and slow
From the back, ooh
I'm about to lose control
'Cause you're my muse
Don't hold back, just let it go
What did I do?
Only you will let me know

[Outro]
And if you want it, say yeah, yeah, yeah
Oh (Oh), oh (Oh), oh, oh (Oh)
Yeah, yeah, yeah (Hey, oh yeah, yeah, singin')
Oh (Oh), oh (Oh), oh (Oh yeah), oh",,0.9824,0.9824,0.4396,Aroused
6,Girls Need Love,['Summer Walker'],0.666,0.653,143075,0.412,4.1e-05,6,0.125,-10.252,0,0.251,96.972,4,0.129,"[Verse 1]
Honestly

Honestly, I'm tryna stay focused
You must think I've got to be joking when I say
I don't think I can wait
I just need it now
Better swing my way

I just need some dick
I just need some love
Tired of fucking with these lame niggas baby
I just need a thug

Won't you be my plug, ayy
You could be the one, ayy
We could start with a handshake baby
I'ma need more than a hug

[Chorus]
Girls can't never say they want it
Girls can't never say how
Girls can't never say they need it
Girls can't never say now

Girls can't never say they want it
Girls can't never say how
Girls can't never say they need it
Girls can't never say now oh now
[Verse 2]
Give it to me like you need it, baby
Want you to hear me screaming, heavy breathing
I don't need a reason baby
I want it till you can't fight
I can give it to you right babe oh

I wanna be your healing
I can be real good
Please don't get in your feelings
Ayy, I need some lo-o-o-o-ove
Ayy, I need some lo-o-o-o-ove
Ayy, I need some lo-o-o-o-ove
Ayy, and you can't judge

[Chorus 2]
Girls need love too (Yeah)
Girls, girls need love too
Girls need love (Let me tell you something)
Girls need love (Girls need loving too)
Girls need love too
So what's a girl to do when she needs loving too","[('Girls can’t never say they want it\n Girls can’t never say how\n Girls can’t never say they need it\n Girls can’t never say now\n \n Girls can’t never say they want it\n Girls can’t never say how\n Girls can’t never say they need it\n Girls can’t never say now oh now', [['Here, Walker addresses the sexual double standard that stigmatizes girls and women who are sexually pro-active, while rewarding males for the same behavior. According to conventional gender roles, women are discouraged from overtly existing as sexual beings, or being open enough to express when they need their desires met in the same way that men are allowed to.']]), ('Won’t you be my plug, ayy\n You could be the one, ayy', [['“Plug” is a slang word that often refers to a drug connection, but can also be a person who is a resource for anything valuable. This line implies that the speaker’s desire for sex is as powerful as an addict’s need for drugs.  Walker delves into this theme even more deeply in “Wasted”, which contemplates the allure of an intoxicating yet unhealthy relationship.\n\nComparing romantic longings with those of drug users is a classic trope in popular music, going back to songs like 1973’s “Love Jones” or even 1932’s “You’re Getting to Be a Habit With Me.”  Considering that love actually does cause the production of mind-altering chemicals, this is perhaps unsurprising.']])]",0.9928,0.9928,0.1489,Aroused
7,Fire,['SiR'],0.222,0.677,153560,0.439,9.23e-06,5,0.303,-10.309,1,0.0499,132.05,4,0.441,"[Intro]
'Cause I ain't about to roll it if I ain't rollin' that fire
Yeah the sun is goin' down but I'm tryna take you higher
We both know this house could never be a home
But ain't you sick of spendin' all your nights alone?
If it's lovin' that you want, girl, I promise you desire

[Chorus]
No conversation when I come around
Run my fingers through your baby hair
I wanna take you there
For sure, you know what it's about
We'll find our limit when you say we're there
I wanna take you there
You toot it up, I tear it down
You bring it back, I wear it out
Hit it like whoop, whoop, whoop, whoop, whoop

[Verse]
Baby, you're the finest
Pussy taste like diamonds
How'd you get so timeless?
Wanna get behind it, behind it
Remind ya, I know how to find it
Hit it how you like it
Show you how we slide, how we slide, back in L.A., L.A.
Park circle, that way
Ready for the showdown, the Wild Wild West way
Ooh, you know you're flame
And I put that on my last name
I'ma take my time in it, climb in it for the day
[Chorus]
No conversation when I come around
Run my fingers through your baby hair
I wanna take you there
For sure, you know what it's about
We'll find our limit when you say we're there
I wanna take you there
You toot it up, I tear it down
You bring it back, I wear it out
Hit it like whoop, whoop, whoop, whoop, whoop

[Outro]
'Cause I ain't about to roll it if I ain't rollin' that fire
Yeah the sun is goin' down but I'm tryna take you higher
We both know this house could never be a home
But ain't you sick of spendin' all your nights alone?
If it's lovin' that you want, girl, I promise you desire",,0.9909,0.9909,0.4608,Aroused
8,Story of Us,['Tinashe'],0.307,0.774,165289,0.621,1.74e-05,6,0.283,-6.977,0,0.0368,144.04,4,0.212,"[Intro]
You're the prince of...
Built a castle

[Chorus]
Yeah, you're the prince of my heart
And now there ain't no way they gon' keep us apart, keep us apart
Yeah, we built a castle of trust
And I'm your queen to be
Now the story of us about to start
Yeah, you're the prince of my heart
And now there ain't no way they gon' keep us apart, keep us apart
Yeah, we built a castle of trust
And I'm your queen to be
Now the story of us about to start

[Verse 1]
Once upon a time you're mine
Once upon a time we start to fall in love
Laid up with you every night
Wish upon a star it ain't too good to be true

[Pre-Chorus]
Waitin' on something
What you waitin' on, waitin' on? Yeah
Life's too short, baby, gotta take control of what you want, yeah
I'm gonna make you my own happy ever after
[Chorus]
Yeah, you're the prince of my heart (Prince of my heart)
And now there ain't no way they gon' keep us apart, keep us apart
Yeah, we built a castle of trust
And I'm your queen to be
Now the story of us about to start
Yeah, you're the prince of my heart
And now there ain't no way they gon' keep us apart, keep us apart
Yeah, we built a castle of trust
And I'm your queen to be
Now the story of us about to start

[Verse 2]
No, you never felt this way
Thought you been in love before
But it wasn't love love like this
And you never ever gonna need your space
Who would want space from something
That feel so damn good? Don't it?

[Pre-Chorus]
Ooh woah, ooh woah
Fly me out to Boston, Ritz-Carlton
It's getting later, we're getting louder
Fuckin' on the bathroom counter
[Chorus]
Yeah, you're the prince of my heart
And now there ain't no way they gon' keep us apart, keep us apart
Yeah, we built a castle of trust
And I'm your queen to be
Now the story of us about to start
Yeah, you're the prince of my heart
And now there ain't no way they gon' keep us apart, keep us apart
Yeah, we built a castle of trust
And I'm your queen to be
Now the story of us about to start

[Outro]
You're the prince of...
Built a castle",,0.9968,0.9968,0.2319,Aroused
9,Feels,['Kehlani'],0.259,0.369,181140,0.609,4.1e-05,9,0.133,-4.477,0,0.184,80.362,1,0.381,"[Verse 1]
I ask myself, ""Is this shit real?""
I contemplate 'bout how I feel
But you make it way too hard to think
That this could be what true love is

[Pre-Chorus]
I don't want wait another minute for ya
Oh, you got me falling from the ceiling for ya
Knew right from the start there was no limit to ya
And I'm catching feelings, baby

[Chorus]
You give me feels and I
Know that it, know that it, know that it's real
You give me, you give me feels
You give me feels and I
Know that it, know that it, know that it's real
You give me, you give me feels

[Verse 2]
It took a lot of hard shit just to learn
How not to break down and stop, baby
No matter what I seen in the past
I won't let it impact how we grow now, baby
I can't let it slip away or drift away
Can't go to waste, go to waste, uh
I say it straight, straight to your face
Won't contemplate, yeah, contemplate that, baby
[Pre-Chorus]
I don't want wait another minute for ya (No no)
Oh, you got me falling from the ceiling for ya (Oh yeah)
Knew right from the start there was no limit for me
And I'm catching feelings, baby

[Chorus]
You give me feels and I (You give)
Know that it, know that it, know that it's real (That it's real)
You give me, you give me feels (Feels)
You give me feels and I
Know that it, know that it, know that it's real
You give me, you give me feels (Oh)

[Bridge]
You give me feels (You give me feels)
You give me feels, you give me feels (Feels)
You give me feels (You, you, you, you, you, you, uh)
You give me feels, you give me feels (Feels)

[Chorus]
You give me feels and I (Oh)
Know that it, know that it, know that it's real (That it's real)
You give me, you give me feels
You give me feels and I
Know that it, know that it, know that it's real (Know that it's real)
You give me, you give me feels (Oh)
You give me feels",,-0.7946,-0.7946,0.3651,Aroused
