,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,nlp_lyrics,nlp_annotations,valence+nlp,mood
0,Bread,['Effin'],0.00257,0.616,172800,0.938,0.00567,1,0.094,-3.001,1,0.414,112.822,1,0.218,-0.9612,-0.9612,0.1988,Angry
1,Pop Your Hip,['Body Ocean'],0.00145,0.801,296585,0.869,0.698,2,0.0626,-4.48,1,0.0565,122.992,4,0.485,-1,-1,0.465,Angry
2,Subterfuge,['Krischvn'],0.0318,0.817,230045,0.822,0.238,1,0.162,-3.295,1,0.18,139.984,4,0.272,1,1,0.292,Angry
3,Ice Cold (feat. KARRA),"['Habstrakt', 'Karra']",0.00532,0.755,180000,0.947,0.4,5,0.293,-4.771,0,0.212,124.026,4,0.311,,,0.311,Angry
4,MollyBreath,"['Sonny Banks', 'Stereoliez']",0.00688,0.85,231411,0.723,0.29,11,0.0522,-4.892,0,0.129,128.017,4,0.563,,,0.563,Angry
5,Tell Me,['Rawtek'],0.000746,0.64,174400,0.956,0.0862,11,0.119,-2.414,0,0.0575,150.016,4,0.158,-0.9896,-0.9896,0.1382,Angry
6,So Good,['Good Times Ahead'],0.00702,0.752,218824,0.79,0.717,11,0.164,-7.812,1,0.0867,126.997,4,0.243,0.9992,0.9992,0.263,Angry
7,Time to Come with Us,['Panteros666'],0.00872,0.794,306667,0.939,0.366,4,0.0296,-4.379,0,0.0908,125.975,4,0.921,,,0.921,Angry
8,Beauty & The Grim,['Dr. Ozi'],0.000907,0.617,204800,0.992,0.101,2,0.267,-2.327,1,0.294,149.898,4,0.526,,,0.526,Angry
9,How I Like It,['VINAI'],0.00176,0.603,147094,0.988,4.29E-05,0,0.221,-2.28,1,0.0885,160.12,4,0.182,0.6124,0.6124,0.1942,Angry
10,Gang Shit,"['Dion Timmer', 'Virtual Riot', 'Virus Syndicate']",0.00428,0.658,254400,0.912,0.00202,11,0.662,-2.057,1,0.064,150.014,4,0.381,-0.9994,-0.9994,0.361,Angry
11,KAMIKAZE (VIP),"['GRAVEDGR', 'Lil Texas']",0.00195,0.335,190439,0.979,0.165,8,0.511,-0.932,1,0.0648,95.11,4,0.181,-0.9994,-0.9994,0.161,Angry
12,BLISS 2K,['MUST DIE!'],0.0167,0.518,207400,0.99,0.762,8,0.643,-1.734,1,0.107,150.022,4,0.429,-0.9463,-0.9463,0.4101,Angry
13,Night Terror (feat. Of Mice & Men),"['Kayzo', 'YULTRON', 'Of Mice & Men']",0.00225,0.657,204611,0.744,0.0433,7,0.362,-5.193,1,0.0341,90.026,4,0.241,0.9756,0.9756,0.2605,Angry
14,Liar,"['BVRNOUT', 'Leah Culver']",0.0805,0.655,209526,0.858,2.12E-05,0,0.0987,-3.183,1,0.235,128,4,0.158,-0.9984,-0.9984,0.138,Angry
15,Novocaine,"['Valentino Khan', 'Kayzo']",0.00705,0.674,170823,0.977,0.794,8,0.11,-2.554,0,0.109,169.92,4,0.731,-0.9918,-0.9918,0.7112,Angry
