,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,nlp_lyrics,nlp_annotations,valence+nlp,mood
0,IDK You Yet,['Alexander 23'],0.884,0.629,184638,0.306,0.0776,1,0.124,-11.735,1,0.0424,76.994,1,0.191,0.9498,0.9498,0.21,Sad
1,Good Without,['Mimi Webb'],0.0723,0.616,182121,0.576,0.0,11,0.375,-5.495,0,0.0532,89.962,4,0.269,0.9865,0.9865,0.2887,Sad
2,Falling,['Harry Styles'],0.839,0.567,240133,0.267,1.46e-06,4,0.089,-6.502,1,0.0299,110.011,4,0.0592,-0.9715,-0.9715,0.0398,Sad
3,Is It Just Me? (feat. JP Cooper),"['Emily Burns', 'JP Cooper']",0.688,0.478,203300,0.339,0.0,4,0.104,-7.355,1,0.0544,145.441,4,0.288,-0.9499,-0.9499,0.269,Sad
4,Train Wreck,['James Arthur'],0.701,0.311,208827,0.485,0.0,6,0.0726,-5.726,0,0.0365,77.355,4,0.225,-0.6234,-0.6234,0.2125,Sad
5,you broke me first,['Tate McRae'],0.785,0.667,169266,0.373,0.0,4,0.0906,-9.389,1,0.05,124.148,4,0.0823,-0.9971,-0.9971,0.0624,Sad
6,drivers license,['Olivia Rodrigo'],0.721,0.585,242014,0.436,1.31e-05,10,0.105,-8.761,1,0.0601,143.874,4,0.132,0.8574,0.8574,0.1491,Sad
7,Happiest Year,['Jaymes Young'],0.885,0.501,228443,0.167,0.0,1,0.111,-14.061,1,0.0484,112.275,3,0.356,0.9924,0.9924,0.3758,Sad
8,Black Hole - Acoustic Version,['Griff'],0.854,0.824,175980,0.3,0.0,1,0.174,-6.678,0,0.0565,112.867,4,0.227,0.9954,0.9954,0.2469,Sad
9,we'll be fine,['Luz'],0.748,0.563,262960,0.382,0.0,10,0.0714,-11.138,1,0.0404,120.802,4,0.197,0.9949,0.9949,0.2169,Sad
10,Heather,['Conan Gray'],0.584,0.357,198040,0.425,0.0,5,0.322,-7.301,1,0.0333,102.078,3,0.27,0.9886,0.9886,0.2898,Sad
11,Arms Around You,['Jamie Grey'],0.841,0.53,191147,0.271,0.0,11,0.103,-9.847,1,0.0491,101.796,4,0.392,-0.9341,-0.9341,0.3733,Sad
12,Conversations in the Dark,['John Legend'],0.754,0.372,237427,0.355,0.0,8,0.167,-8.436,0,0.03,126.705,4,0.142,0.9661,0.9661,0.1613,Sad
13,Learn To Let Go,['St. Lundi'],0.62,0.473,210094,0.309,0.0,11,0.152,-9.086,1,0.0332,135.791,4,0.316,0.9703,0.9703,0.3354,Sad
14,Don't Need Love - Acoustic,"['220 KID', 'GRACEY']",0.882,0.628,180467,0.303,0.0,7,0.101,-8.63,0,0.0319,114.762,4,0.47,0.9854,0.9854,0.4897,Sad
15,Unstable (feat. The Kid LAROI),"['Justin Bieber', 'The Kid LAROI']",0.737,0.495,158324,0.333,0.0,4,0.112,-10.109,0,0.0288,99.757,4,0.37,0.9889,0.9889,0.3898,Sad
16,What They'll Say About Us,['FINNEAS'],0.895,0.535,187601,0.314,0.00015,7,0.0874,-12.823,0,0.0408,145.095,4,0.0663,0.8394,0.8394,0.0831,Sad
17,Unconditional,['Aaron Smith'],0.886,0.438,203000,0.309,1.78e-06,8,0.21,-9.022,0,0.0565,137.705,4,0.314,0.9954,0.9954,0.3339,Sad
18,Haunted House,['Holly Humberstone'],0.871,0.366,133227,0.269,0.0,9,0.101,-9.197,1,0.0439,127.523,4,0.238,-0.0276,-0.0276,0.2374,Sad
19,Break My Heart - Piano Acoustic,['JC Stewart'],0.943,0.448,218293,0.247,3.61e-05,6,0.109,-10.454,0,0.0466,134.5,4,0.276,0.0464,0.0464,0.2769,Sad
20,if this is the last time,['LANY'],0.0175,0.565,203842,0.586,0.0,11,0.204,-7.726,1,0.0363,147.986,4,0.43,0.9906,0.9906,0.4498,Sad
21,lie to me,"['Tate McRae', 'Ali Gatie']",0.0151,0.642,177440,0.392,0.0,4,0.352,-7.846,0,0.0372,138.065,4,0.0479,-0.8981,-0.8981,0.0299,Sad
22,Seasons,['Rhys Lewis'],0.798,0.391,199867,0.223,7.82e-06,8,0.219,-15.361,1,0.0346,100.033,4,0.147,0.9462,0.9462,0.1659,Sad
23,If The World Was Ending,"['JP Saxe', 'Julia Michaels']",0.863,0.378,208687,0.47,0.0,1,0.0954,-10.095,1,0.197,75.955,4,0.602,0.7616,0.7616,0.6172,Sad
24,Crying Over You,"['The Band CAMINO', 'Chelsea Cutler']",0.679,0.463,178950,0.411,0.0,11,0.0453,-8.25,1,0.0414,147.3,4,0.163,-0.974,-0.974,0.1435,Sad
25,Body,['Jordan Suaste'],0.627,0.452,205402,0.325,0.0,4,0.0645,-8.687,0,0.0337,97.987,4,0.33,0.4199,0.4199,0.3384,Sad
26,Unlearn (with Gracie Abrams),"['benny blanco', 'Gracie Abrams']",0.897,0.429,155361,0.214,0.0,1,0.105,-12.261,1,0.242,77.849,4,0.189,0.9472,0.9472,0.2079,Sad
27,"Beginning Middle End - From The Netflix Film ""To All The Boys: Always and Forever""",['Leah Nobel'],0.43,0.674,194827,0.676,3.13e-05,2,0.108,-6.878,1,0.0367,78.99,4,0.919,0.9923,0.9923,0.9388,Sad
28,Let Me Love You Like A Woman,['Lana Del Rey'],0.969,0.403,200661,0.245,4.74e-05,0,0.119,-11.862,1,0.0569,128.333,4,0.148,0.998,0.998,0.168,Sad
29,I'm Not Ok,['RHODES'],0.517,0.394,203928,0.35,0.0,5,0.0738,-7.751,1,0.0323,125.941,4,0.163,-0.9436,-0.9436,0.1441,Sad
30,Falling Up,['Dean Lewis'],0.648,0.654,206948,0.756,0.0,2,0.0995,-3.594,1,0.0534,103.551,4,0.475,-0.9872,-0.9872,0.4553,Sad
31,Say Something,['Kodaline'],0.0454,0.34,233999,0.354,0.0,4,0.167,-9.079,1,0.0306,103.838,4,0.216,-0.5605,-0.5605,0.2048,Sad
32,London's Requiem,['Louis Dunford'],0.407,0.448,302400,0.34,4.44e-06,11,0.107,-8.048,1,0.0337,102.696,4,0.15,-0.9935,-0.9935,0.1301,Sad
33,Cool Girl,['dodie'],0.872,0.73,199385,0.205,0.0593,2,0.095,-15.489,1,0.0957,124.989,4,0.206,0.997,0.997,0.2259,Sad
34,Runaway,['AURORA'],0.609,0.342,250040,0.278,8.17e-05,11,0.107,-9.349,1,0.0352,86.134,3,0.104,-0.7993,-0.7993,0.088,Sad
35,My Mistakes,['Matthew Nolan'],0.878,0.464,194167,0.268,0.0,8,0.0939,-10.288,1,0.0464,143.755,4,0.167,1.0,1.0,0.187,Sad
36,Blame,"['Grace Carter', 'Jacob Banks']",0.781,0.34,251527,0.398,6.08e-05,6,0.193,-8.156,0,0.0711,171.391,3,0.197,-0.9537,-0.9537,0.1779,Sad
37,Diamonds - Acoustic,['Sam Smith'],0.841,0.489,194542,0.284,0.0,10,0.137,-8.699,0,0.0508,186.337,4,0.335,0.9902,0.9902,0.3548,Sad
38,Young & Sad,['Noah Cyrus'],0.592,0.618,190183,0.428,0.0,7,0.192,-8.5,0,0.038,142.021,4,0.359,-0.9504,-0.9504,0.34,Sad
39,Seven,['Claudia Valentina'],0.865,0.801,223827,0.143,0.0,7,0.132,-10.698,0,0.0475,119.891,4,0.562,-0.6872,-0.6872,0.5483,Sad
40,I Miss You - Paddy's Song,['Gavin James'],0.553,0.523,209007,0.377,0.0,9,0.116,-7.914,1,0.0293,139.897,4,0.234,0.2869,0.2869,0.2397,Sad
41,hurt so bad,['Cian Ducrot'],0.337,0.461,242489,0.452,0.0,2,0.269,-6.529,1,0.0366,168.074,3,0.282,-0.9614,-0.9614,0.2628,Sad
42,Wait For Me,['Jack Curley'],0.448,0.73,221728,0.688,0.0,10,0.0954,-7.56,0,0.0307,135.986,4,0.694,-0.9192,-0.9192,0.6756,Sad
43,Elsewhere,['Minke'],0.926,0.549,272727,0.186,0.0004,0,0.151,-13.781,1,0.0274,110.152,4,0.199,0.9212,0.9212,0.2174,Sad
44,Can't Wait To Be Dead,['FINNEAS'],0.0122,0.724,175969,0.438,2.91e-05,9,0.0954,-8.477,1,0.0285,99.947,4,0.322,-0.6124,-0.6124,0.3098,Sad
45,Swingsets,['Nell Mescal'],0.74,0.378,196875,0.265,0.0643,8,0.101,-10.336,0,0.0292,76.097,4,0.182,,,0.182,Sad
46,Call Me When It's Over,['James Smith'],0.627,0.482,227801,0.347,3.69e-05,6,0.144,-9.776,1,0.0472,172.732,4,0.511,0.7703,0.7703,0.5264,Sad
47,Recover,['FWA'],0.857,0.487,168467,0.234,0.0,11,0.195,-6.919,1,0.0441,179.239,4,0.54,-0.9902,-0.9902,0.5202,Sad
48,Bedroom Ceiling,['Sody'],0.728,0.49,180086,0.416,0.0,6,0.0694,-7.702,1,0.127,125.928,4,0.236,-0.3827,-0.3827,0.2283,Sad
49,If We're Being Honest,['Novo Amor'],0.888,0.498,235053,0.432,0.617,3,0.136,-7.297,1,0.0296,132.928,4,0.126,0.9687,0.9687,0.1454,Sad
