,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,nlp_lyrics,nlp_annotations,valence+nlp,mood
0,San Luis,['Gregory Alan Isakov'],0.86,0.567,272347,0.434,0.257,7,0.115,-12.755,0,0.0349,82.459,4,0.254,-0.9834,-0.9834,0.2343,Aroused
1,Volcano,['Damien Rice'],0.578,0.514,278600,0.289,1.84e-06,0,0.13,-12.928,1,0.0524,153.742,4,0.437,0.8672,0.8672,0.4543,Aroused
2,TRUE,['SYML'],0.207,0.538,186023,0.433,0.0646,0,0.177,-10.766,0,0.0554,77.964,4,0.115,0.995,0.995,0.1349,Aroused
3,Woman,['Mumford & Sons'],0.662,0.592,274553,0.555,0.452,1,0.111,-10.499,0,0.0381,156.957,4,0.142,0.9498,0.9498,0.161,Aroused
4,Break My Baby,['KALEO'],0.106,0.529,265558,0.755,0.000607,10,0.157,-3.917,0,0.0383,73.998,4,0.383,0.9646,0.9646,0.4023,Aroused
5,NFWMB,['Hozier'],0.895,0.379,259253,0.373,0.0718,3,0.115,-12.176,0,0.0309,176.002,1,0.352,0.8865,0.8865,0.3697,Aroused
6,letting go,['Ziggy Alberts'],0.83,0.72,268107,0.31,4.95e-05,7,0.106,-11.048,1,0.0352,118.411,4,0.354,-0.8885,-0.8885,0.3362,Aroused
7,Craving,['Haux'],0.898,0.482,163733,0.216,0.153,9,0.109,-18.653,0,0.0348,99.458,3,0.11,0.985,0.985,0.1297,Aroused
8,Green Eyes,['JOSEPH'],0.222,0.289,230347,0.58,0.0034,6,0.094,-5.507,1,0.0464,72.003,4,0.282,0.8645,0.8645,0.2993,Aroused
9,Know You Better,['Black Pumas'],0.167,0.699,249920,0.605,0.0799,9,0.0728,-8.774,0,0.0702,158.048,4,0.965,0.9705,0.9705,0.9844,Aroused
10,Til It Breaks,['Ashley Monroe'],0.386,0.712,201520,0.354,1.14e-05,1,0.116,-7.814,0,0.0309,133.969,4,0.528,0.7783,0.7783,0.5436,Aroused
11,Lover,['Noah Gundersen'],0.351,0.298,248613,0.424,0.00181,0,0.127,-7.954,1,0.0526,195.187,3,0.146,0.8335,0.8335,0.1627,Aroused
12,You Come Down,['Marika Hackman'],0.61,0.594,174427,0.395,0.00652,5,0.128,-9.747,0,0.0338,111.856,4,0.188,-0.8519,-0.8519,0.171,Aroused
13,Slow Mover,['Angie McMahon'],0.391,0.544,190093,0.478,0.0,3,0.0824,-7.099,1,0.0446,94.935,4,0.422,0.9697,0.9697,0.4414,Aroused
14,Revelry,['The Careful Ones'],0.357,0.8,216405,0.492,0.0138,8,0.0965,-12.963,0,0.0393,102.049,4,0.697,-0.8735,-0.8735,0.6795,Aroused
15,Skinny Love,['Bon Iver'],0.843,0.565,238520,0.257,3.03e-06,0,0.109,-14.04,1,0.0579,76.493,4,0.111,0.9626,0.9626,0.1303,Aroused
16,Long Blue Light,['Leif Vollebekk'],0.517,0.552,200173,0.485,0.106,9,0.164,-9.111,1,0.0332,71.548,4,0.51,-0.8689,-0.8689,0.4926,Aroused
