,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,nlp_lyrics,nlp_annotations,valence+nlp,mood
0,Get You (feat. Kali Uchis),"['Daniel Caesar', 'Kali Uchis']",0.426,0.659,277297,0.295,6.95e-05,11,0.0795,-8.528,0,0.0322,74.037,4,0.36,0.6124,0.6124,0.3722,Aroused
1,Electric (feat. Khalid),"['Alina Baraz', 'Khalid']",0.593,0.637,245294,0.359,5.39e-05,10,0.108,-9.841,0,0.0325,111.049,4,0.142,0.9857,0.9857,0.1617,Aroused
2,Could've Been (feat. Bryson Tiller),"['H.E.R.', 'Bryson Tiller']",0.64,0.545,248467,0.33,7e-06,1,0.22,-11.719,0,0.164,103.553,4,0.399,-0.6486,-0.6486,0.386,Aroused
3,Sativa,"['Jhené Aiko', 'Swae Lee']",0.334,0.741,276960,0.62,0.0,6,0.302,-7.439,0,0.0472,126.028,4,0.7,0.9918,0.9918,0.7198,Aroused
4,LOYAL (feat. Drake),"['PARTYNEXTDOOR', 'Drake']",0.517,0.866,197973,0.53,0.00159,0,0.0946,-6.347,0,0.0495,104.952,4,0.203,0.9796,0.9796,0.2226,Aroused
5,A Muse,['dvsn'],0.646,0.774,222090,0.391,0.00165,5,0.0751,-6.753,1,0.165,134.057,4,0.42,0.9824,0.9824,0.4396,Aroused
6,Girls Need Love,['Summer Walker'],0.666,0.653,143075,0.412,4.1e-05,6,0.125,-10.252,0,0.251,96.972,4,0.129,0.9928,0.9928,0.1489,Aroused
7,Fire,['SiR'],0.222,0.677,153560,0.439,9.23e-06,5,0.303,-10.309,1,0.0499,132.05,4,0.441,0.9909,0.9909,0.4608,Aroused
8,Story of Us,['Tinashe'],0.307,0.774,165289,0.621,1.74e-05,6,0.283,-6.977,0,0.0368,144.04,4,0.212,0.9968,0.9968,0.2319,Aroused
9,Feels,['Kehlani'],0.259,0.369,181140,0.609,4.1e-05,9,0.133,-4.477,0,0.184,80.362,1,0.381,-0.7946,-0.7946,0.3651,Aroused
10,Don't,['Bryson Tiller'],0.242,0.743,200213,0.331,0.0,4,0.0938,-6.027,0,0.262,97.066,4,0.218,-0.9653,-0.9653,0.1987,Aroused
