,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,nlp_lyrics,nlp_annotations,valence+nlp,mood
0,Viento Estelar,['Universo'],0.965,0.141,185943,0.0405,0.966,3,0.0983,-29.013,1,0.0382,59.418,4,0.0378,-0.9549,-0.9549,0.0187,Sleepy
1,Beautiful Imagination,['Little Circuits'],0.797,0.102,143053,0.0333,0.927,3,0.111,-34.177,1,0.0476,89.605,4,0.0591,0.9998,0.9998,0.0791,Sleepy
2,Nepenthe,['Clyde Boudreaux'],0.993,0.133,151750,0.00512,0.851,9,0.0954,-33.295,1,0.038,67.818,4,0.0495,,,0.0495,Sleepy
3,Lenitivo,['Jeanelle Bolduc'],0.987,0.183,180625,0.0123,0.785,9,0.0869,-34.571,1,0.0409,72.183,4,0.0636,,,0.0636,Sleepy
4,Campus,['Løkss'],0.878,0.145,219474,0.0115,0.855,0,0.122,-28.292,1,0.0421,72.12,4,0.032,-0.9233,-0.9233,0.0135,Sleepy
5,Sogno Illuminum,['Enchanted Feel'],0.992,0.245,140786,0.00496,0.881,0,0.101,-35.992,1,0.0412,70.336,4,0.0635,,,0.0635,Sleepy
6,Sleepy Journey,['Cokobi'],0.872,0.198,170700,0.0397,0.952,4,0.107,-31.777,1,0.0385,80.986,1,0.0392,0.9998,0.9998,0.0592,Sleepy
7,Touha,['Marie Protivová'],0.932,0.107,176000,0.0355,0.933,2,0.0996,-33.218,0,0.0414,89.788,4,0.0817,,,0.0817,Sleepy
8,Shimmering Above Clouds,['Jeff Birma'],0.91,0.18,177400,0.0339,0.862,7,0.108,-27.447,0,0.0374,67.831,4,0.116,,,0.116,Sleepy
9,In My Time,['Maurie'],0.944,0.128,166424,0.00714,0.856,0,0.127,-37.194,1,0.041,70.789,5,0.0399,-0.9641,-0.9641,0.0206,Sleepy
10,Notes,['Alaskan Tapes'],0.976,0.214,127074,0.0125,0.848,6,0.375,-33.141,1,0.037,82.824,4,0.0389,0.9992,0.9992,0.0589,Sleepy
11,State of Unreality,['Lugar'],0.784,0.0621,161379,0.0402,0.855,5,0.113,-29.003,1,0.055,69.037,4,0.0362,1.0,1.0,0.0562,Sleepy
12,Med slutna ögon,['Najma Wallin'],0.974,0.175,133500,0.00759,0.925,7,0.113,-35.072,1,0.0454,70.872,4,0.0838,,,0.0838,Sleepy
13,Endless Sky,['Nils August Valentin'],0.972,0.296,106214,0.0318,0.965,3,0.128,-29.544,1,0.0377,178.746,4,0.181,-1.0,-1.0,0.161,Sleepy
14,Et øyeblikk,['Tine Mydland'],0.995,0.24,161000,0.00495,0.892,7,0.146,-33.827,1,0.0385,70.405,5,0.0962,,,0.0962,Sleepy
15,Sdraiata accanto a me,['Scintillante'],0.981,0.0664,188000,0.00692,0.937,10,0.108,-33.73,0,0.0434,73.711,4,0.072,,,0.072,Sleepy
16,Renewal,['Liquid Mind'],0.888,0.146,491147,0.198,0.882,0,0.0824,-20.648,1,0.0408,79.937,4,0.0333,0.9985,0.9985,0.0533,Sleepy
17,Sömn,['Sanja Göransson'],0.986,0.186,168000,0.00308,0.879,3,0.112,-36.144,1,0.0448,96.221,4,0.0396,-0.9906,-0.9906,0.0198,Sleepy
18,Kritagya,['Elise Ryen'],0.936,0.164,168250,0.00569,0.934,9,0.0954,-35.348,1,0.0445,73.934,3,0.163,1.0,1.0,0.183,Sleepy
19,Purity,['Zims Ele'],0.619,0.28,153833,0.118,0.914,9,0.107,-23.946,0,0.0361,89.866,4,0.104,0.493,0.493,0.1139,Sleepy
20,Moment To Moment,['Modal Colours'],0.946,0.113,155202,0.0413,0.886,5,0.103,-29.786,1,0.0432,78.745,4,0.152,1.0,1.0,0.172,Sleepy
21,Arnasa,['Laila Wollo'],0.942,0.102,190957,0.028,0.964,0,0.1,-37.166,1,0.0573,67.272,3,0.0587,,,0.0587,Sleepy
22,Pacific,['Savannah De Lucia'],0.905,0.206,188964,0.0344,0.809,5,0.144,-29.487,1,0.045,70.484,4,0.0579,0.999,0.999,0.0779,Sleepy
23,Hopeful,['Unwritten Skies'],0.987,0.163,162783,0.0094,0.874,2,0.104,-33.708,1,0.0354,72.478,3,0.138,0.9963,0.9963,0.1579,Sleepy
24,Sedate Dawn,['Quinn Joshua'],0.91,0.0999,165802,0.0273,0.66,11,0.11,-31.428,1,0.0405,68.322,3,0.117,,,0.117,Sleepy
25,Nattljus,['Månvarv'],0.964,0.0709,199250,0.0235,0.904,0,0.0853,-34.208,1,0.0408,75.607,3,0.0519,,,0.0519,Sleepy
26,Lost For Words,['Nadine Gaertner'],0.987,0.0707,187833,0.0116,0.937,2,0.0773,-35.147,1,0.0447,76.12,4,0.189,-0.9999,-0.9999,0.169,Sleepy
27,Old Station Atmos,['Xavier Ortando'],0.995,0.148,211162,0.00157,0.859,0,0.114,-36.877,1,0.0392,69.889,1,0.121,,,0.121,Sleepy
28,Norm and Mirza,['Emotional Pleasure'],0.944,0.17,238095,0.0907,0.676,4,0.0947,-27.98,1,0.0402,124.083,4,0.032,1.0,1.0,0.052,Sleepy
29,Leticia,['Kaua Correia'],0.992,0.104,186500,0.00391,0.848,9,0.1,-36.7,1,0.0409,78.275,4,0.0929,,,0.0929,Sleepy
30,Moments of Stillness,['Hector Warrens'],0.943,0.292,182765,0.0803,0.909,4,0.109,-25.197,1,0.0372,68.611,4,0.067,0.9999,0.9999,0.087,Sleepy
31,Andas,['Noa Sandberg'],0.884,0.144,185920,0.0158,0.834,10,0.106,-34.45,1,0.0424,67.858,3,0.209,0.9999,0.9999,0.229,Sleepy
32,Sequoia,['Klaangen'],0.972,0.138,173381,0.0201,0.847,5,0.146,-34.792,0,0.0352,72.008,4,0.0395,,,0.0395,Sleepy
33,Radiant Dream,['Eryk Kamylla'],0.983,0.304,165385,0.071,0.932,7,0.0972,-27.894,1,0.0453,78.084,1,0.0839,,,0.0839,Sleepy
34,Yakamoz,['Esin Pierce'],0.975,0.0635,192000,0.0429,0.969,5,0.104,-31.502,0,0.0443,50.779,3,0.0997,,,0.0997,Sleepy
35,Ladybugs,['Serene & Pax'],0.98,0.148,189500,0.00215,0.816,2,0.095,-32.153,1,0.0372,64.37,4,0.0727,,,0.0727,Sleepy
36,Hovering,['Judithe Abelsen'],0.994,0.0747,225000,0.00506,0.923,5,0.108,-34.786,1,0.0426,78.588,3,0.153,,,0.153,Sleepy
37,In the Gold of the Sun,['miss Isa'],0.984,0.47,191524,0.0355,0.934,7,0.101,-27.239,1,0.035,111.965,4,0.0456,0.9999,0.9999,0.0656,Sleepy
38,Acércate,['Pearl Melendez'],0.983,0.148,193500,0.00571,0.821,9,0.104,-35.191,1,0.04,138.736,4,0.0521,,,0.0521,Sleepy
39,Noraezean,['Darcie Roman'],0.864,0.11,212000,0.00326,0.903,0,0.123,-35.61,1,0.0494,93.07,4,0.0376,,,0.0376,Sleepy
40,Appreciation,['Vishal Casey'],0.99,0.206,169000,0.0132,0.974,7,0.108,-30.649,1,0.0406,74.014,3,0.0872,-1.0,-1.0,0.0672,Sleepy
41,Desiderio,['Artemio Li Fonti'],0.988,0.0701,206500,0.00432,0.877,9,0.0891,-34.881,1,0.0419,76.644,4,0.136,,,0.136,Sleepy
42,Make It Last,['Samira Tesfay'],0.986,0.178,174500,0.0065,0.791,10,0.106,-36.665,1,0.0414,67.036,3,0.122,,,0.122,Sleepy
43,Reappearance,['Spacetactular'],0.959,0.0778,122637,0.00796,0.907,3,0.106,-35.644,1,0.0376,79.221,3,0.0491,,,0.0491,Sleepy
44,Sonhando,['Nessa Manuel'],0.995,0.152,188000,0.00262,0.944,5,0.0902,-34.951,1,0.0409,138.904,3,0.0765,0.644,0.644,0.0894,Sleepy
45,Birdcage Walk,['Stone Steps'],0.579,0.0737,212400,0.153,0.85,0,0.103,-23.758,1,0.052,61.786,5,0.0619,1.0,1.0,0.0819,Sleepy
46,Bella,['Massimu'],0.519,0.0707,220875,0.0549,0.846,9,0.114,-27.495,0,0.0557,76.712,3,0.043,-0.7003,-0.7003,0.029,Sleepy
47,Secrets,['Selma Ström'],0.951,0.249,168947,0.0307,0.902,4,0.0695,-27.894,0,0.0333,57.053,4,0.0391,1.0,1.0,0.0591,Sleepy
48,Soñando contigo,['Artura Ponce Valles'],0.991,0.127,199500,0.00401,0.856,10,0.106,-35.229,1,0.0408,73.205,3,0.0875,-0.9996,-0.9996,0.0675,Sleepy
49,Lights Out,['Solene Edgar'],0.972,0.177,173500,0.0652,0.911,2,0.0802,-29.909,0,0.0462,72.676,1,0.168,1.0,1.0,0.188,Sleepy
50,vindur,['Atli Þórirsson'],0.984,0.0718,153600,0.0728,0.946,10,0.103,-31.405,0,0.0405,75.346,1,0.0366,,,0.0366,Sleepy
51,Sineway,['Boreal Embla'],0.974,0.123,141138,0.00485,0.832,1,0.116,-36.102,1,0.0481,77.05,3,0.0394,1.0,1.0,0.0594,Sleepy
52,Paper Planes,['Gerda Holmes'],0.887,0.152,210000,0.0593,0.878,2,0.0874,-27.497,1,0.0346,71.618,4,0.0712,-1.0,-1.0,0.0512,Sleepy
53,Oko marries Eb,"['Rim-Shaz', 'Shibb', 'Mihail Holland']",0.988,0.209,205254,0.03,0.907,9,0.104,-25.489,0,0.0413,104.953,4,0.0371,,,0.0371,Sleepy
54,Becalming,['Rebecka Aether'],0.992,0.158,190346,0.0186,0.921,11,0.101,-33.662,0,0.0456,135.36,3,0.0531,1.0,1.0,0.0731,Sleepy
55,Illa Pancha,['Huma'],0.748,0.153,160000,0.0485,0.683,9,0.111,-29.07,1,0.0422,63.351,3,0.0374,-0.2722,-0.2722,0.032,Sleepy
56,Tranquility,['Úrkoma'],0.986,0.235,218000,0.0741,0.928,1,0.0865,-23.27,0,0.0399,65.207,4,0.0377,,,0.0377,Sleepy
57,Turndown Service,['Adeline Verver'],0.946,0.164,115800,0.0188,0.893,10,0.081,-34.105,1,0.0341,71.96,4,0.0593,,,0.0593,Sleepy
58,Separated,['Juno Reed'],0.987,0.0672,157497,0.0115,0.904,0,0.1,-30.287,1,0.0452,75.441,3,0.0358,1.0,1.0,0.0558,Sleepy
59,Suivez-moi,"[""Charmaine D'Avis""]",0.992,0.0874,200500,0.00818,0.905,9,0.0875,-35.716,1,0.0367,69.2,3,0.133,-0.8634,-0.8634,0.1157,Sleepy
60,Day One,['Alma Meris'],0.92,0.0912,222292,0.0823,0.889,0,0.109,-25.735,1,0.0386,83.155,3,0.0366,0.9992,0.9992,0.0566,Sleepy
61,Everything is Different,['Nadia Pugh'],0.972,0.18,186000,0.0462,0.749,5,0.0788,-33.567,0,0.04,68.15,4,0.0392,-0.9921,-0.9921,0.0194,Sleepy
62,Andestus,['Eyla Calmes'],0.96,0.158,220447,0.00276,0.913,9,0.101,-35.317,1,0.0496,71.954,5,0.187,,,0.187,Sleepy
63,Moment Of Peace,['Dreams And Memories'],0.973,0.182,175937,0.0119,0.969,11,0.0934,-37.195,1,0.0346,80.813,4,0.159,0.9061,0.9061,0.1771,Sleepy
64,Aurora,['The Destination'],0.793,0.165,185769,0.164,0.808,0,0.107,-20.668,1,0.0433,130.222,4,0.0326,0.9011,0.9011,0.0506,Sleepy
65,Aphelion,['Poppy Robson'],0.975,0.218,187375,0.0135,0.891,9,0.107,-30.351,0,0.0411,127.484,4,0.0461,,,0.0461,Sleepy
