,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,nlp_lyrics,nlp_annotations,valence+nlp,mood
0,Make You Feel My Love,['Adele'],0.907,0.559,212040,0.172,0.000383,10,0.105,-10.636,1,0.0291,77.025,4,0.0955,0.9819,0.9819,0.1151,Aroused
1,Your Song,['Elton John'],0.851,0.551,244227,0.27,7.04e-06,3,0.0966,-12.808,1,0.0326,128.221,4,0.289,0.9963,0.9963,0.3089,Aroused
2,All of Me,['John Legend'],0.922,0.422,269560,0.264,0.0,8,0.132,-7.064,1,0.0322,119.93,4,0.331,0.9812,0.9812,0.3506,Aroused
3,At Last - Single Version,['Etta James'],0.721,0.168,182400,0.326,0.0006,5,0.316,-9.981,1,0.0324,174.794,3,0.322,0.9966,0.9966,0.3419,Aroused
4,Beyond,['Leon Bridges'],0.229,0.581,240600,0.687,0.0,6,0.109,-5.4,1,0.105,76.014,4,0.187,0.9759,0.9759,0.2065,Aroused
5,Thinking out Loud,['Ed Sheeran'],0.474,0.781,281560,0.445,0.0,2,0.184,-6.061,1,0.0295,78.998,4,0.591,0.9975,0.9975,0.6109,Aroused
6,Baby Can I Hold You,['Tracy Chapman'],0.0811,0.692,193120,0.422,0.0,2,0.0848,-10.533,1,0.0333,74.375,4,0.468,0.8768,0.8768,0.4855,Aroused
7,A Thousand Years,['Christina Perri'],0.309,0.421,285120,0.407,0.000961,10,0.11,-7.445,1,0.0267,139.028,3,0.161,0.9956,0.9956,0.1809,Aroused
8,Stand by Me,['Ben E. King'],0.57,0.65,180056,0.306,7.07e-06,9,0.0707,-9.443,1,0.0393,118.068,4,0.605,-0.2481,-0.2481,0.6,Aroused
9,My Love Is Your Love,['Whitney Houston'],0.0557,0.77,261573,0.475,4.81e-06,7,0.0607,-9.512,1,0.159,82.511,4,0.474,0.9993,0.9993,0.494,Aroused
10,Halo,['Beyoncé'],0.272,0.508,261640,0.72,0.0,11,0.0563,-5.908,0,0.0628,79.983,4,0.472,0.9716,0.9716,0.4914,Aroused
11,Let's Stay Together,['Al Green'],0.53,0.734,198400,0.416,2.04e-05,2,0.0365,-9.304,0,0.0529,101.498,4,0.603,0.9166,0.9166,0.6213,Aroused
