,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,nlp_lyrics,nlp_annotations,valence+nlp,mood
0,SUGAR,['BROCKHAMPTON'],0.449,0.453,204533,0.538,0.0,1,0.19,-8.212,1,0.0638,122.973,4,0.516,0.9993,0.9993,0.536,Sad
1,Yeah Right,['Joji'],0.624,0.672,174358,0.59,0.236,1,0.0991,-9.574,1,0.129,169.036,4,0.21,0.9895,0.9895,0.2298,Sad
2,The Loser,['Verzache'],0.485,0.748,131587,0.297,0.27,1,0.138,-10.613,1,0.132,123.983,4,0.114,-0.999,-0.999,0.094,Sad
3,Pluto Projector,['Rex Orange County'],0.707,0.379,267520,0.219,0.000691,5,0.118,-11.196,1,0.0307,79.786,4,0.188,0.9681,0.9681,0.2074,Sad
4,Think About U (feat. Joji),"['Ryan Hemsworth', 'Joji']",0.849,0.472,168975,0.357,0.115,0,0.255,-10.09,1,0.0328,121.89,4,0.0532,-0.8779,-0.8779,0.0356,Sad
5,Show Me How,['Men I Trust'],0.674,0.791,215111,0.267,0.534,5,0.102,-11.997,1,0.0415,165.99,4,0.544,0.984,0.984,0.5637,Sad
6,Second Base,['Forrest Nolan'],0.882,0.562,157930,0.257,0.0,6,0.218,-12.937,1,0.0965,81.322,4,0.285,0.9781,0.9781,0.3046,Sad
7,I Think There's Something You Should Know,['The 1975'],0.0164,0.624,240986,0.787,0.317,5,0.194,-9.481,1,0.0601,123.475,4,0.136,0.343,0.343,0.1429,Sad
8,Ugly,['Deb Never'],0.0872,0.767,184615,0.509,8.79e-06,0,0.13,-7.331,1,0.0847,142.942,4,0.143,-0.9386,-0.9386,0.1242,Sad
9,fomo,['EDEN'],0.908,0.326,189553,0.312,0.00302,5,0.124,-10.282,1,0.0318,80.695,3,0.197,0.9974,0.9974,0.2169,Sad
10,right here,['keshi'],0.0839,0.597,195093,0.496,0.0,5,0.117,-9.441,1,0.077,160.05,4,0.319,0.9837,0.9837,0.3387,Sad
11,It's Not The Same Anymore,['Rex Orange County'],0.873,0.666,386200,0.317,3.74e-05,5,0.111,-10.644,1,0.0327,117.676,4,0.359,-0.9199,-0.9199,0.3406,Sad
12,"100,000,000",['BERWYN'],0.603,0.778,190000,0.472,0.00269,1,0.113,-7.496,1,0.277,84.063,4,0.673,-0.9988,-0.9988,0.653,Sad
13,Lie,"['quickly, quickly']",0.887,0.423,247320,0.375,0.837,11,0.106,-12.984,0,0.0634,129.778,4,0.157,-0.9997,-0.9997,0.137,Sad
14,drive thru poem,['Ethan Jewell'],0.837,0.376,186993,0.233,0.231,3,0.213,-18.958,0,0.066,94.057,4,0.133,0.4615,0.4615,0.1422,Sad
15,Honest,['rei brown'],0.825,0.798,156632,0.44,0.0107,5,0.111,-8.96,1,0.0319,94.961,4,0.429,0.9485,0.9485,0.448,Sad
16,rosier,['brakence'],0.65,0.572,222493,0.257,0.0,11,0.428,-13.572,0,0.346,114.673,4,0.544,-0.5538,-0.5538,0.5329,Sad
